Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-05-30T15:10:31Z, 13660, 0.016398
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-05-30T15:10:44Z, 26323, 0.017019
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-05-30T15:10:57Z, 39001, 0.017230
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-05-30T15:11:09Z, 51672, 0.017340
QBXq3gAABAABsgROlhZJHbMlpEglWWsTsuPXdA==,QBXq3gAABAABsgROlhYlHbMipEglWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTJePXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWSUTsuPXdA==,1.000000, 2022-05-30T15:11:22Z, 64561, 0.017348
QBXq3gAABQABE/I4jZO9THxRHEJRebips0vGGQ==,QBXq3gAABQABE/I4jZNRTHyFHEJRebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipUUvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneVGps0vGGQ==,0.833333, 2022-05-30T15:11:35Z, 77235, 0.014501
QBXq3gAABgABVMNJJTl9QPq8b768eSSSBfr7Wg==,QBXq3gAABgABVMNJJTm8QPqKb768eSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSvPr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GebySBfr7Wg==,0.714286, 2022-05-30T15:11:48Z, 89906, 0.012457
QBXq3gAABwAB5OQ9879Hguzt2PHt9KkBAKGMUg==,QBXq3gAABwAB5OQ987/tguzm2PHt9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkB7aGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9O0BAKGMUg==,0.625000, 2022-05-30T15:12:00Z, 102575, 0.010919
QBXq3gAACAABtnEGYBSOZlTEzkPEXEJY0/5Czg==,QBXq3gAACAABtnEGYBTEZlRdzkPEXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYxP5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXMRY0/5Czg==,0.555556, 2022-05-30T15:12:13Z, 115260, 0.009717
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.600000, 2022-05-30T15:12:25Z, 127706, 0.010524
QBXq3gAACgAB4J5MGLcM8IY8a9E8YNx4zhIZKg==,QBXq3gAACgAB4J5MGLc88IZxa9E8YNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4PBIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYDx4zhIZKg==,0.545455, 2022-05-30T15:12:38Z, 140596, 0.009559
QBXq3gAACwABeiMIbZ4A4j+498K4NMwB/n6ucg==,QBXq3gAACwABeiMIbZ644j9r98K4NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBuH6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NLgB/n6ucg==,0.500000, 2022-05-30T15:12:51Z, 153266, 0.008769
QBXq3gAADAABPKsQO4Q7vVk3TGY3U8OQcmtdZA==,QBXq3gAADAABPKsQO4Q3vVkXTGY3U8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQN2tdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU0SQcmtdZA==,0.538462, 2022-05-30T15:13:03Z, 165721, 0.009462
QBXq3gAADQAB5bM7t6M2OWtRffVR3B2UDcVbbw==,QBXq3gAADQAB5bM7t6NROWuZffVR3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UUcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3FGUDcVbbw==,0.571429, 2022-05-30T15:13:16Z, 178390, 0.010045
QBXq3gAADgABme9SPmYig5MRLaIRC385ivmH7g==,QBXq3gAADgABme9SPmYRg5MJLaIRC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385EfmH7g==,QBXq3gAADgABme9SPmYigxMJLaJEBxE5ivmH7g==,0.533333, 2022-05-30T15:13:29Z, 191279, 0.009369
QBXq3gAADwABlTZyzE3lFJRUdZRUU6Vm85mKEw==,QBXq3gAADwABlTZyzE1UFJR/dZRUU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6VmVJmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU3Nm85mKEw==,0.500000, 2022-05-30T15:13:42Z, 203994, 0.008785
QBXq3gAAEAABlNIBRlELWCLxodHxRVqZcw1G7g==,QBXq3gAAEAABlNIBRlHxWCKOodHxRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZ8Q1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRfGZcw1G7g==,0.470588, 2022-05-30T15:13:54Z, 216626, 0.008272
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.500000, 2022-05-30T15:14:07Z, 229088, 0.008800
QBXq3gAAEgABj88jQzaTdZFJ1u5JnHBra/lFmg==,QBXq3gAAEgABj88jQzZJdZGE1u5JnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBrSflFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnElra/lFmg==,0.526316, 2022-05-30T15:14:20Z, 241969, 0.009257
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.550000, 2022-05-30T15:14:32Z, 254416, 0.009685
QBXq3gAAFAABW8ygIUNCROm7q5W7FsTkbTJxwQ==,QBXq3gAAFAABW8ygIUO7ROnsq5W7FsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsTkuzJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFrvkbTJxwQ==,0.523810, 2022-05-30T15:14:45Z, 267318, 0.009217
QBXq3gAAFQAB7v3thZFtPjdimGhiZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFiPjfnmGhiZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZJxpYq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZGJpHq4WmA==,0.500000, 2022-05-30T15:14:58Z, 279979, 0.008801
QBXq3gAAFgABPf91rNkW5sidDIKdooamoBEFXQ==,QBXq3gAAFgABPf91rNmd5sguDIKdooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ooamnREFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9op2moBEFXQ==,0.521739, 2022-05-30T15:15:10Z, 292649, 0.009185
QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,0.541667, 2022-05-30T15:15:23Z, 305111, 0.009544
QBXq3gAAGAAB0m9KjfscKZu+J1i+aAclYVKt8w==,QBXq3gAAGAAB0m9Kjfu+KZvmJ1i+aAclYVKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaAclvlKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaL4lYVKt8w==,0.520000, 2022-05-30T15:15:36Z, 317994, 0.009157
QBXq3gAAGQABJHFkMPFvoEpllndlbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFloEqklndlbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIZeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbmWIEeAmzQ==,0.538462, 2022-05-30T15:15:48Z, 330671, 0.009484
QBXq3gAAGgABCHVadsZTcYGwPkOwwDsGmCTZRw==,QBXq3gAAGgABCHVadsawcYG9PkOwwDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGsCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwLAGmCTZRw==,0.518519, 2022-05-30T15:16:01Z, 343342, 0.009134
QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,0.535714, 2022-05-30T15:16:14Z, 355799, 0.009444
QBXq3gAAHAAB1OuDfwx4n3kthkYtDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwwtn3m3hkYtDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDXUALTvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDS0AuzvbGQ==,0.517241, 2022-05-30T15:16:26Z, 368681, 0.009114
QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,0.533333, 2022-05-30T15:16:39Z, 381164, 0.009403
QBXq3gAAHgABwR7mAGpUxF1n6INnBwTedYNF4Q==,QBXq3gAAHgABwR7mAGpnxF3p6INnBwTedYNF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYBwTeZ4NF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYB2fedYNF4Q==,0.516129, 2022-05-30T15:16:52Z, 394024, 0.009096
QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,0.531250, 2022-05-30T15:17:04Z, 406482, 0.009368
QBXq3gAAIAABvB0V4fm87G/ofZTozbZv1v0sag==,QBXq3gAAIAABvB0V4fno7G/yfZTozbZv1v0sag==,QBXq3gAAIAABvB0V4fm87G/yfZTKzbZv6P0sag==,QBXq3gAAIAABvB0V4fm87G/yfZTKzehv1v0sag==,0.545455, 2022-05-30T15:17:17Z, 419151, 0.009619
QBXq3gAAIQABbhsX+9OS2bn6nbP6CfaFvfbGag==,QBXq3gAAIQABbhsX+9P62blYnbP6CfaFvfbGag==,QBXq3gAAIQABbhsX+9OS2blYnbO8CfaF+vbGag==,QBXq3gAAIQABbhsX+9OS2blYnbO8CfqFvfbGag==,0.558824, 2022-05-30T15:17:30Z, 431983, 0.009852
QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,0.571429, 2022-05-30T15:17:42Z, 444500, 0.010079
QBXq3gAAIwABLpOVrpJOweZtJ3ttFvh4x6pqiQ==,QBXq3gAAIwABLpOVrpJtweZHJ3ttFvh4x6pqiQ==,QBXq3gAAIwABLpOVrpJOweZHJ3sVFvh4bapqiQ==,QBXq3gAAIwABLpOVrpJOweZHJ3sVFm14x6pqiQ==,0.555556, 2022-05-30T15:17:55Z, 457417, 0.009794
QBXq3gAAJAABSf3J7XlmbsxzdyFzLwCq+5vZnw==,QBXq3gAAJAABSf3J7XlzbsxPdyFzLwCq+5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRLwCqc5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRL3Oq+5vZnw==,0.540541, 2022-05-30T15:18:08Z, 470068, 0.009531
QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,0.552632, 2022-05-30T15:18:20Z, 482511, 0.009749
QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,QBXq3gAAJgABKzFGsth3ogmnBAJ/ODOQoTnbSA==,0.564103, 2022-05-30T15:18:33Z, 495186, 0.009952
QBXq3gAAJwABFVGGQAXS2z6edRmej1khRMRl6w==,QBXq3gAAJwABFVGGQAWe2z61dRmej1khRMRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj1khnsRl6w==,QBXq3gAAJwABFVGGQAXS2z61dRlDj54hRMRl6w==,0.550000, 2022-05-30T15:18:46Z, 508071, 0.009699
QBXq3gAAKAABSS4eTr0LI4yUo2mUf+2pyk9UCA==,QBXq3gAAKAABSS4eTr2UI4wIo2mUf+2pyk9UCA==,QBXq3gAAKAABSS4eTr0LI4wIo2k3f+2plE9UCA==,QBXq3gAAKAABSS4eTr0LI4wIo2k3f5Spyk9UCA==,0.560976, 2022-05-30T15:18:59Z, 520747, 0.009893
QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,QBXq3gAAKQABxE0jRMZ73Gnuy0PkY+xmJZEc6g==,0.571429, 2022-05-30T15:19:11Z, 533194, 0.010083
