TotalTime(ms),Throughput(kbp),PDR,time
12512,0.017903,1.000000,2022-05-28T14:53:00Z
25120,0.017834,1.000000,2022-05-28T14:53:12Z
37791,0.017782,1.000000,2022-05-28T14:53:25Z
50473,0.017752,1.000000,2022-05-28T14:53:38Z
75955,0.014746,0.833333,2022-05-28T14:54:03Z
114036,0.011786,0.666667,2022-05-28T14:54:41Z
126492,0.012396,0.700000,2022-05-28T14:54:54Z
152001,0.011789,0.666667,2022-05-28T14:55:19Z
227855,0.008848,0.500000,2022-05-28T14:56:35Z
240750,0.009304,0.526316,2022-05-28T14:56:48Z
253203,0.009731,0.550000,2022-05-28T14:57:00Z
303887,0.008845,0.500000,2022-05-28T14:57:51Z
354578,0.008213,0.464286,2022-05-28T14:58:42Z
379914,0.008254,0.466667,2022-05-28T14:59:07Z
405255,0.008291,0.468750,2022-05-28T14:59:32Z
418159,0.008571,0.484848,2022-05-28T14:59:45Z
443275,0.008591,0.485714,2022-05-28T15:00:11Z
456122,0.008840,0.500000,2022-05-28T15:00:23Z
481285,0.008843,0.500000,2022-05-28T15:00:49Z
493958,0.009070,0.512821,2022-05-28T15:01:01Z
531979,0.008842,0.500000,2022-05-28T15:01:39Z
557319,0.008842,0.500000,2022-05-28T15:02:05Z
570232,0.009035,0.511111,2022-05-28T15:02:17Z
595325,0.009030,0.510638,2022-05-28T15:02:43Z
607997,0.009211,0.520833,2022-05-28T15:02:55Z
658689,0.008842,0.500000,2022-05-28T15:03:46Z
684028,0.008842,0.500000,2022-05-28T15:04:11Z
696925,0.009000,0.509091,2022-05-28T15:04:24Z
734724,0.008841,0.500000,2022-05-28T15:05:02Z
747385,0.008991,0.508475,2022-05-28T15:05:15Z
760068,0.009136,0.516667,2022-05-28T15:05:27Z
785425,0.009126,0.516129,2022-05-28T15:05:53Z
798073,0.009262,0.523810,2022-05-28T15:06:05Z
861431,0.008841,0.500000,2022-05-28T15:07:09Z
886784,0.008841,0.500000,2022-05-28T15:07:34Z
912133,0.008841,0.500000,2022-05-28T15:07:59Z
924948,0.008961,0.506849,2022-05-28T15:08:12Z
937473,0.009080,0.513514,2022-05-28T15:08:25Z
950133,0.009195,0.520000,2022-05-28T15:08:37Z
988214,0.009067,0.512821,2022-05-28T15:09:15Z
1013483,0.009062,0.512500,2022-05-28T15:09:41Z
1038831,0.009056,0.512195,2022-05-28T15:10:06Z
1051501,0.009160,0.518072,2022-05-28T15:10:19Z
1064176,0.009262,0.523810,2022-05-28T15:10:31Z
1102194,0.009145,0.517241,2022-05-28T15:11:09Z
1114858,0.009242,0.522727,2022-05-28T15:11:22Z
1140202,0.009233,0.522222,2022-05-28T15:11:47Z
1165761,0.009223,0.521739,2022-05-28T15:12:13Z
1190886,0.009217,0.521277,2022-05-28T15:12:38Z
1203570,0.009306,0.526316,2022-05-28T15:12:51Z
1241570,0.009201,0.520408,2022-05-28T15:13:29Z
1254398,0.009286,0.525253,2022-05-28T15:13:42Z
1292259,0.009187,0.519608,2022-05-28T15:14:20Z
1317605,0.009180,0.519231,2022-05-28T15:14:45Z
1355618,0.009088,0.514019,2022-05-28T15:15:23Z
1368289,0.009168,0.518519,2022-05-28T15:15:36Z
1393631,0.009162,0.518182,2022-05-28T15:16:01Z
1418972,0.009156,0.517857,2022-05-28T15:16:26Z
1444313,0.009150,0.517544,2022-05-28T15:16:52Z
1507672,0.008914,0.504202,2022-05-28T15:17:55Z
1533039,0.008913,0.504132,2022-05-28T15:18:20Z
1545741,0.008985,0.508197,2022-05-28T15:18:33Z
1558358,0.009056,0.512195,2022-05-28T15:18:46Z
1571026,0.009125,0.516129,2022-05-28T15:18:58Z
1621722,0.008978,0.507812,2022-05-28T15:19:49Z
1647068,0.008976,0.507692,2022-05-28T15:20:14Z
1672420,0.008974,0.507576,2022-05-28T15:20:40Z
1685293,0.009038,0.511278,2022-05-28T15:20:53Z
1710440,0.009036,0.511111,2022-05-28T15:21:18Z
1723305,0.009099,0.514706,2022-05-28T15:21:31Z
1748436,0.009096,0.514493,2022-05-28T15:21:56Z
1773786,0.009092,0.514286,2022-05-28T15:22:21Z
1786669,0.009152,0.517730,2022-05-28T15:22:34Z
1799126,0.009213,0.521127,2022-05-28T15:22:46Z
1811792,0.009273,0.524476,2022-05-28T15:22:59Z
