PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-05-28T14:53:00Z, 11607, 0.019299
1.000000, 2022-05-28T14:53:12Z, 24217, 0.018499
1.000000, 2022-05-28T14:53:25Z, 36889, 0.018217
1.000000, 2022-05-28T14:53:38Z, 49571, 0.018075
0.800000, 2022-05-28T14:53:50Z, 62453, 0.014347
0.833333, 2022-05-28T14:54:03Z, 75056, 0.014922
0.714286, 2022-05-28T14:54:16Z, 87799, 0.012756
0.625000, 2022-05-28T14:54:28Z, 100463, 0.011148
0.666667, 2022-05-28T14:54:41Z, 113135, 0.011880
0.700000, 2022-05-28T14:54:54Z, 125590, 0.012485
0.636364, 2022-05-28T14:55:06Z, 138480, 0.011323
0.666667, 2022-05-28T14:55:19Z, 151101, 0.011860
0.615385, 2022-05-28T14:55:32Z, 163823, 0.010939
0.571429, 2022-05-28T14:55:44Z, 176501, 0.010153
0.533333, 2022-05-28T14:55:57Z, 189166, 0.009473
0.500000, 2022-05-28T14:56:10Z, 201837, 0.008878
0.470588, 2022-05-28T14:56:22Z, 214508, 0.008354
0.500000, 2022-05-28T14:56:35Z, 226953, 0.008883
0.526316, 2022-05-28T14:56:48Z, 239850, 0.009339
0.550000, 2022-05-28T14:57:00Z, 252301, 0.009766
0.523810, 2022-05-28T14:57:13Z, 265195, 0.009291
0.500000, 2022-05-28T14:57:26Z, 277861, 0.008868
0.478261, 2022-05-28T14:57:38Z, 290532, 0.008481
0.500000, 2022-05-28T14:57:51Z, 302986, 0.008872
0.480000, 2022-05-28T14:58:04Z, 315876, 0.008510
0.461538, 2022-05-28T14:58:16Z, 328550, 0.008181
0.444444, 2022-05-28T14:58:29Z, 341238, 0.007877
0.464286, 2022-05-28T14:58:42Z, 353675, 0.008234
0.448276, 2022-05-28T14:58:55Z, 366597, 0.007943
0.466667, 2022-05-28T14:59:07Z, 379013, 0.008274
0.451613, 2022-05-28T14:59:20Z, 391919, 0.008002
0.468750, 2022-05-28T14:59:32Z, 404353, 0.008310
