TotalTime(ms),Throughput(kbp),PDR,data,time
14424,0.015530,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:10:49Z
27084,0.016541,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:11:01Z
39777,0.016894,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:11:14Z
52431,0.017089,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:11:27Z
77809,0.014394,0.833333,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:11:52Z
128457,0.010463,0.600000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:12:43Z
141559,0.011077,0.636364,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:12:56Z
154015,0.011635,0.666667,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:13:08Z
229838,0.008771,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:14:24Z
242717,0.009229,0.526316,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:14:37Z
255172,0.009656,0.550000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:14:49Z
280737,0.009575,0.545455,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:15:15Z
305858,0.009521,0.541667,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:15:40Z
356542,0.008796,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:16:31Z
369433,0.009095,0.517241,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:16:44Z
381925,0.009384,0.533333,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:16:56Z
407228,0.009351,0.531250,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:17:21Z
445247,0.009056,0.514286,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:17:59Z
483265,0.008807,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:18:38Z
495940,0.009033,0.512821,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:18:50Z
521507,0.009020,0.512195,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:19:16Z
533948,0.009229,0.523810,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:19:28Z
559298,0.009212,0.522727,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:19:54Z
597343,0.009000,0.510638,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:20:32Z
609980,0.009181,0.520833,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:20:44Z
660669,0.008815,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:21:35Z
686015,0.008816,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:22:00Z
724238,0.008660,0.491228,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:22:38Z
736719,0.008817,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:22:51Z
749375,0.008967,0.508475,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:23:04Z
762048,0.009112,0.516667,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:23:16Z
787382,0.009104,0.516129,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:23:42Z
800059,0.009239,0.523810,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:23:54Z
863416,0.008821,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:24:58Z
876223,0.008947,0.507246,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:25:10Z
888762,0.009073,0.514286,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:25:23Z
914108,0.009067,0.513889,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:25:48Z
939442,0.009061,0.513514,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:26:14Z
952120,0.009175,0.520000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:26:26Z
1040818,0.008609,0.487805,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:27:55Z
1053490,0.008718,0.493976,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:28:08Z
1066167,0.008824,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:28:20Z
1091673,0.008823,0.500000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:28:46Z
1104176,0.008926,0.505747,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:28:58Z
1116845,0.009025,0.511364,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:29:11Z
1142192,0.009021,0.511111,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:29:36Z
1154902,0.009116,0.516484,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:29:49Z
1167755,0.009207,0.521739,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:30:02Z
1192885,0.009201,0.521277,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:30:27Z
1218405,0.009192,0.520833,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:30:53Z
1243573,0.009186,0.520408,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:31:18Z
1294272,0.009000,0.509804,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:32:09Z
1319604,0.008997,0.509615,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:32:34Z
1332403,0.009078,0.514286,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:32:47Z
1357666,0.009074,0.514019,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:33:12Z
1370300,0.009154,0.518519,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:33:25Z
1383175,0.009231,0.522936,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:33:37Z
1395646,0.009309,0.527273,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:33:50Z
1420978,0.009301,0.526786,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:34:15Z
1433859,0.009373,0.530973,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:34:28Z
1446319,0.009447,0.535088,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:34:41Z
1484408,0.009356,0.529915,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:35:19Z
1509674,0.009348,0.529412,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:35:44Z
1522381,0.009417,0.533333,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:35:57Z
1560361,0.009331,0.528455,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:36:35Z
1573122,0.009398,0.532258,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:36:47Z
1585942,0.009463,0.536000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:37:00Z
1623723,0.009381,0.531250,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:37:38Z
1636618,0.009444,0.534884,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:37:51Z
1649073,0.009508,0.538462,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:38:03Z
1674431,0.009498,0.537879,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:38:29Z
1699910,0.009488,0.537313,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:38:54Z
1712420,0.009549,0.540741,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:39:07Z
1725253,0.009608,0.544118,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:39:19Z
1750445,0.009598,0.543478,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:39:45Z
1764506,0.009648,0.546763,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:39:59Z
1775840,0.009713,0.550000,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:40:10Z
1801139,0.009701,0.549296,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:40:35Z
1813799,0.009756,0.552448,AWcAAAJoAAMCAAAEAgAA,2022-05-31T15:40:48Z
