PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-05-31T15:10:48Z, 12207, 0.018350
1.000000, 2022-05-31T15:11:01Z, 24868, 0.018015
1.000000, 2022-05-31T15:11:14Z, 37562, 0.017890
1.000000, 2022-05-31T15:11:26Z, 50216, 0.017843
0.800000, 2022-05-31T15:11:39Z, 63111, 0.014197
0.833333, 2022-05-31T15:11:52Z, 75593, 0.014816
0.714286, 2022-05-31T15:12:05Z, 88452, 0.012662
0.625000, 2022-05-31T15:12:17Z, 101120, 0.011076
0.555556, 2022-05-31T15:12:30Z, 113873, 0.009836
0.600000, 2022-05-31T15:12:42Z, 126241, 0.010646
0.636364, 2022-05-31T15:12:56Z, 139344, 0.011253
0.666667, 2022-05-31T15:13:08Z, 151802, 0.011805
0.615385, 2022-05-31T15:13:21Z, 164475, 0.010895
0.571429, 2022-05-31T15:13:33Z, 177155, 0.010115
0.533333, 2022-05-31T15:13:46Z, 189950, 0.009434
0.500000, 2022-05-31T15:13:59Z, 202486, 0.008850
0.470588, 2022-05-31T15:14:11Z, 215171, 0.008328
0.500000, 2022-05-31T15:14:24Z, 227623, 0.008857
0.526316, 2022-05-31T15:14:37Z, 240503, 0.009314
0.550000, 2022-05-31T15:14:49Z, 252954, 0.009741
0.523810, 2022-05-31T15:15:02Z, 265872, 0.009268
0.545455, 2022-05-31T15:15:15Z, 278524, 0.009651
0.521739, 2022-05-31T15:15:27Z, 291195, 0.009231
0.541667, 2022-05-31T15:15:40Z, 303641, 0.009590
0.520000, 2022-05-31T15:15:53Z, 316546, 0.009199
0.500000, 2022-05-31T15:16:06Z, 329283, 0.008843
0.481481, 2022-05-31T15:16:18Z, 341877, 0.008518
0.500000, 2022-05-31T15:16:31Z, 354325, 0.008851
0.517241, 2022-05-31T15:16:43Z, 367220, 0.009150
0.533333, 2022-05-31T15:16:56Z, 379710, 0.009439
0.516129, 2022-05-31T15:17:09Z, 392566, 0.009130
0.531250, 2022-05-31T15:17:21Z, 405012, 0.009402
0.515152, 2022-05-31T15:17:34Z, 417957, 0.009111
0.500000, 2022-05-31T15:17:47Z, 430578, 0.008844
0.514286, 2022-05-31T15:17:59Z, 443032, 0.009101
0.500000, 2022-05-31T15:18:12Z, 455923, 0.008844
0.486486, 2022-05-31T15:18:25Z, 468596, 0.008604
0.500000, 2022-05-31T15:18:37Z, 481048, 0.008847
0.512821, 2022-05-31T15:18:50Z, 493725, 0.009074
0.500000, 2022-05-31T15:19:03Z, 506610, 0.008843
0.512195, 2022-05-31T15:19:16Z, 519293, 0.009058
0.523810, 2022-05-31T15:19:28Z, 531733, 0.009268
0.511628, 2022-05-31T15:19:41Z, 544632, 0.009048
0.522727, 2022-05-31T15:19:53Z, 557082, 0.009248
0.511111, 2022-05-31T15:20:06Z, 570001, 0.009039
0.500000, 2022-05-31T15:20:19Z, 582634, 0.008843
0.510638, 2022-05-31T15:20:31Z, 595127, 0.009033
0.520833, 2022-05-31T15:20:44Z, 607764, 0.009214
0.510204, 2022-05-31T15:20:57Z, 620699, 0.009022
0.500000, 2022-05-31T15:21:10Z, 633331, 0.008842
0.490196, 2022-05-31T15:21:22Z, 646033, 0.008668
0.500000, 2022-05-31T15:21:35Z, 658452, 0.008845
0.490566, 2022-05-31T15:21:48Z, 671343, 0.008675
0.500000, 2022-05-31T15:22:00Z, 683800, 0.008845
0.490909, 2022-05-31T15:22:13Z, 696685, 0.008681
0.482143, 2022-05-31T15:22:26Z, 709376, 0.008526
0.491228, 2022-05-31T15:22:38Z, 722023, 0.008687
0.500000, 2022-05-31T15:22:51Z, 734502, 0.008844
0.508475, 2022-05-31T15:23:03Z, 747160, 0.008994
0.516667, 2022-05-31T15:23:16Z, 759832, 0.009139
0.508197, 2022-05-31T15:23:29Z, 772723, 0.008986
0.516129, 2022-05-31T15:23:41Z, 785166, 0.009129
0.523810, 2022-05-31T15:23:54Z, 797843, 0.009265
0.515625, 2022-05-31T15:24:07Z, 810730, 0.009118
0.507692, 2022-05-31T15:24:20Z, 823404, 0.008977
0.500000, 2022-05-31T15:24:32Z, 836114, 0.008841
0.492537, 2022-05-31T15:24:45Z, 848763, 0.008709
0.500000, 2022-05-31T15:24:57Z, 861200, 0.008843
0.507246, 2022-05-31T15:25:10Z, 874009, 0.008970
0.514286, 2022-05-31T15:25:23Z, 886546, 0.009096
0.507042, 2022-05-31T15:25:36Z, 899434, 0.008966
0.513889, 2022-05-31T15:25:48Z, 911891, 0.009089
0.506849, 2022-05-31T15:26:01Z, 924778, 0.008962
0.513514, 2022-05-31T15:26:13Z, 937227, 0.009082
0.520000, 2022-05-31T15:26:26Z, 949903, 0.009197
0.513158, 2022-05-31T15:26:39Z, 962798, 0.009074
0.506494, 2022-05-31T15:26:52Z, 975470, 0.008956
0.500000, 2022-05-31T15:27:04Z, 988143, 0.008841
0.493671, 2022-05-31T15:27:17Z, 1000812, 0.008729
0.487500, 2022-05-31T15:27:42Z, 1026151, 0.008513
0.493827, 2022-05-31T15:27:55Z, 1038602, 0.008627
0.500000, 2022-05-31T15:28:08Z, 1051274, 0.008736
0.506024, 2022-05-31T15:28:20Z, 1063952, 0.008843
0.500000, 2022-05-31T15:28:33Z, 1076898, 0.008736
0.505882, 2022-05-31T15:28:46Z, 1089459, 0.008841
0.511628, 2022-05-31T15:28:58Z, 1101961, 0.008944
0.517241, 2022-05-31T15:29:11Z, 1114628, 0.009043
0.511364, 2022-05-31T15:29:24Z, 1127529, 0.008940
0.516854, 2022-05-31T15:29:36Z, 1139977, 0.009039
0.522222, 2022-05-31T15:29:49Z, 1152689, 0.009133
0.527473, 2022-05-31T15:30:02Z, 1165540, 0.009225
0.521739, 2022-05-31T15:30:14Z, 1178215, 0.009126
0.526882, 2022-05-31T15:30:27Z, 1190670, 0.009218
0.531915, 2022-05-31T15:30:52Z, 1216191, 0.009209
0.526316, 2022-05-31T15:31:05Z, 1228905, 0.009114
0.531250, 2022-05-31T15:31:18Z, 1241356, 0.009203
0.525773, 2022-05-31T15:31:31Z, 1254290, 0.009108
0.520408, 2022-05-31T15:31:43Z, 1266916, 0.009017
0.515152, 2022-05-31T15:31:56Z, 1279586, 0.008928
0.520000, 2022-05-31T15:32:08Z, 1292056, 0.009015
0.514851, 2022-05-31T15:32:21Z, 1304927, 0.008926
0.519608, 2022-05-31T15:32:34Z, 1317388, 0.009012
0.524272, 2022-05-31T15:32:46Z, 1330189, 0.009093
0.519231, 2022-05-31T15:32:59Z, 1342950, 0.009007
0.523810, 2022-05-31T15:33:12Z, 1355449, 0.009089
0.528302, 2022-05-31T15:33:24Z, 1368085, 0.009169
0.532710, 2022-05-31T15:33:37Z, 1380961, 0.009246
0.537037, 2022-05-31T15:33:50Z, 1393429, 0.009324
0.532110, 2022-05-31T15:34:03Z, 1406309, 0.009238
0.536364, 2022-05-31T15:34:15Z, 1418763, 0.009315
0.540541, 2022-05-31T15:34:28Z, 1431645, 0.009388
0.544643, 2022-05-31T15:34:40Z, 1444103, 0.009462
0.539823, 2022-05-31T15:34:53Z, 1457047, 0.009378
0.535088, 2022-05-31T15:35:06Z, 1469692, 0.009297
0.539130, 2022-05-31T15:35:18Z, 1482195, 0.009370
0.534483, 2022-05-31T15:35:32Z, 1495710, 0.009285
0.538462, 2022-05-31T15:35:44Z, 1507460, 0.009361
0.542373, 2022-05-31T15:35:56Z, 1520168, 0.009431
0.537815, 2022-05-31T15:36:09Z, 1533017, 0.009351
0.533333, 2022-05-31T15:36:22Z, 1545703, 0.009275
0.537190, 2022-05-31T15:36:34Z, 1558145, 0.009344
0.540984, 2022-05-31T15:36:47Z, 1570906, 0.009411
0.544715, 2022-05-31T15:37:00Z, 1583729, 0.009476
0.540323, 2022-05-31T15:37:13Z, 1596379, 0.009401
0.536000, 2022-05-31T15:37:25Z, 1609053, 0.009327
0.539683, 2022-05-31T15:37:38Z, 1621507, 0.009394
0.543307, 2022-05-31T15:37:51Z, 1634404, 0.009457
0.546875, 2022-05-31T15:38:03Z, 1646856, 0.009521
0.542636, 2022-05-31T15:38:16Z, 1659741, 0.009447
0.546154, 2022-05-31T15:38:28Z, 1672214, 0.009511
0.541985, 2022-05-31T15:38:41Z, 1685087, 0.009438
0.545455, 2022-05-31T15:38:54Z, 1697696, 0.009500
0.548872, 2022-05-31T15:39:06Z, 1710204, 0.009561
0.552239, 2022-05-31T15:39:19Z, 1723039, 0.009620
0.548148, 2022-05-31T15:39:32Z, 1735827, 0.009549
0.551471, 2022-05-31T15:39:44Z, 1748227, 0.009610
0.554745, 2022-05-31T15:39:59Z, 1762292, 0.009660
0.557971, 2022-05-31T15:40:10Z, 1773623, 0.009725
0.553957, 2022-05-31T15:40:23Z, 1786501, 0.009655
0.557143, 2022-05-31T15:40:35Z, 1798923, 0.009712
0.560284, 2022-05-31T15:40:48Z, 1811582, 0.009768
