TotalTime(ms),Throughput(kbp),PDR,time
15050,0.014884,1.000000,2022-06-14T15:13:16Z
27731,0.016155,1.000000,2022-06-14T15:13:29Z
40384,0.016640,1.000000,2022-06-14T15:13:42Z
53063,0.016885,1.000000,2022-06-14T15:13:54Z
65733,0.017039,1.000000,2022-06-14T15:14:07Z
103745,0.012955,0.750000,2022-06-14T15:14:45Z
116421,0.013468,0.777778,2022-06-14T15:14:58Z
129090,0.013882,0.800000,2022-06-14T15:15:10Z
154436,0.013054,0.750000,2022-06-14T15:15:36Z
192455,0.011639,0.666667,2022-06-14T15:16:14Z
217831,0.011312,0.647059,2022-06-14T15:16:39Z
255807,0.010508,0.600000,2022-06-14T15:17:17Z
281153,0.010357,0.590909,2022-06-14T15:17:42Z
293828,0.010673,0.608696,2022-06-14T15:17:55Z
306491,0.010963,0.625000,2022-06-14T15:18:08Z
357188,0.010034,0.571429,2022-06-14T15:18:58Z
369852,0.010296,0.586207,2022-06-14T15:19:11Z
382524,0.010541,0.600000,2022-06-14T15:19:24Z
407871,0.010435,0.593750,2022-06-14T15:19:49Z
420960,0.010642,0.606061,2022-06-14T15:20:02Z
433214,0.010858,0.617647,2022-06-14T15:20:14Z
483902,0.010184,0.578947,2022-06-14T15:21:05Z
496575,0.010375,0.589744,2022-06-14T15:21:18Z
534581,0.010056,0.571429,2022-06-14T15:21:56Z
559937,0.010001,0.568182,2022-06-14T15:22:21Z
572607,0.010171,0.577778,2022-06-14T15:22:34Z
597945,0.010115,0.574468,2022-06-14T15:22:59Z
610621,0.010272,0.583333,2022-06-14T15:23:12Z
635962,0.010214,0.580000,2022-06-14T15:23:37Z
686653,0.009787,0.555556,2022-06-14T15:24:28Z
724666,0.009582,0.543860,2022-06-14T15:25:06Z
737336,0.009721,0.551724,2022-06-14T15:25:19Z
750079,0.009855,0.559322,2022-06-14T15:25:31Z
762680,0.009986,0.566667,2022-06-14T15:25:44Z
788029,0.009949,0.564516,2022-06-14T15:26:09Z
800702,0.010071,0.571429,2022-06-14T15:26:22Z
813373,0.010190,0.578125,2022-06-14T15:26:35Z
826043,0.010305,0.584615,2022-06-14T15:26:47Z
864058,0.010110,0.573529,2022-06-14T15:27:25Z
889402,0.010074,0.571429,2022-06-14T15:27:51Z
914763,0.010040,0.569444,2022-06-14T15:28:16Z
940087,0.010008,0.567568,2022-06-14T15:28:41Z
952785,0.010109,0.573333,2022-06-14T15:28:54Z
978110,0.010077,0.571429,2022-06-14T15:29:19Z
990769,0.010174,0.576923,2022-06-14T15:29:32Z
1016129,0.010140,0.575000,2022-06-14T15:29:57Z
1041483,0.010109,0.573171,2022-06-14T15:30:23Z
1054141,0.010200,0.578313,2022-06-14T15:30:35Z
1066813,0.010289,0.583333,2022-06-14T15:30:48Z
1104824,0.010137,0.574713,2022-06-14T15:31:26Z
1117529,0.010223,0.579545,2022-06-14T15:31:39Z
1130314,0.010305,0.584270,2022-06-14T15:31:51Z
1142925,0.010387,0.588889,2022-06-14T15:32:04Z
1180874,0.010243,0.580645,2022-06-14T15:32:42Z
1193545,0.010322,0.585106,2022-06-14T15:32:55Z
1206210,0.010400,0.589474,2022-06-14T15:33:07Z
1244228,0.010262,0.581633,2022-06-14T15:33:45Z
1256963,0.010336,0.585859,2022-06-14T15:33:58Z
1269558,0.010410,0.590000,2022-06-14T15:34:11Z
1294900,0.010379,0.588235,2022-06-14T15:34:36Z
1320246,0.010350,0.586538,2022-06-14T15:35:01Z
1358268,0.010225,0.579439,2022-06-14T15:35:39Z
1370971,0.010293,0.583333,2022-06-14T15:35:52Z
1396286,0.010267,0.581818,2022-06-14T15:36:17Z
1421618,0.010242,0.580357,2022-06-14T15:36:43Z
1434296,0.010307,0.584071,2022-06-14T15:36:55Z
1446972,0.010372,0.587719,2022-06-14T15:37:08Z
1484984,0.010257,0.581197,2022-06-14T15:37:46Z
1510326,0.010234,0.579832,2022-06-14T15:38:11Z
1548343,0.010127,0.573770,2022-06-14T15:38:50Z
1561045,0.010188,0.577236,2022-06-14T15:39:02Z
1573682,0.010249,0.580645,2022-06-14T15:39:15Z
1586360,0.010308,0.584000,2022-06-14T15:39:28Z
1624381,0.010205,0.578125,2022-06-14T15:40:06Z
1637049,0.010262,0.581395,2022-06-14T15:40:18Z
1649728,0.010319,0.584615,2022-06-14T15:40:31Z
1675070,0.010297,0.583333,2022-06-14T15:40:56Z
1700411,0.010275,0.582090,2022-06-14T15:41:22Z
1713081,0.010330,0.585185,2022-06-14T15:41:34Z
1751096,0.010234,0.579710,2022-06-14T15:42:12Z
1776443,0.010214,0.578571,2022-06-14T15:42:38Z
1801786,0.010194,0.577465,2022-06-14T15:43:03Z
1814456,0.010247,0.580420,2022-06-14T15:43:16Z
