Hamming_weight, Result
14.000000, 1
20.000000, 1
12.000000, 1
21.000000, 0
16.000000, 1
24.000000, 0
24.000000, 0
19.000000, 1
17.000000, 1
18.000000, 0
16.000000, 1
16.000000, 1
19.000000, 1
15.000000, 1
20.000000, 0
25.000000, 0
21.000000, 0
18.000000, 0
23.000000, 0
18.000000, 0
10.000000, 1
16.000000, 1
17.000000, 0
28.000000, 0
21.000000, 0
22.000000, 0
23.000000, 1
22.000000, 0
24.000000, 0
18.000000, 0
17.000000, 0
20.000000, 0
21.000000, 0
26.000000, 0
18.000000, 0
16.000000, 0
23.000000, 1
21.000000, 0
26.000000, 0
24.000000, 0
19.000000, 0
23.000000, 0
21.000000, 0
27.000000, 0
14.000000, 1
21.000000, 0
20.000000, 0
19.000000, 1
19.000000, 0
21.000000, 0
18.000000, 1
20.000000, 0
19.000000, 0
25.000000, 0
22.000000, 0
16.000000, 1
28.000000, 0
29.000000, 0
27.000000, 0
20.000000, 0
17.000000, 1
23.000000, 0
22.000000, 0
15.000000, 1
20.000000, 0
12.000000, 1
22.000000, 0
16.000000, 0
17.000000, 1
23.000000, 1
21.000000, 0
25.000000, 0
18.000000, 0
20.000000, 0
21.000000, 1
17.000000, 1
16.000000, 1
22.000000, 0
17.000000, 0
25.000000, 0
10.000000, 1
19.000000, 1
21.000000, 0
20.000000, 1
