TotalTime(ms),Throughput(kbp),PDR,time
10540,0.021253,1.000000,2022-05-25T20:59:54Z
23210,0.019302,1.000000,2022-05-25T21:00:07Z
35875,0.018732,1.000000,2022-05-25T21:00:19Z
48551,0.018455,1.000000,2022-05-25T21:00:32Z
61254,0.018284,1.000000,2022-05-25T21:00:45Z
73894,0.018188,1.000000,2022-05-25T21:00:57Z
86773,0.018070,1.000000,2022-05-25T21:01:10Z
112118,0.015983,0.888889,2022-05-25T21:01:36Z
124569,0.016184,0.900000,2022-05-25T21:01:48Z
162820,0.013758,0.769231,2022-05-25T21:02:26Z
188205,0.013092,0.733333,2022-05-25T21:02:52Z
200883,0.013381,0.750000,2022-05-25T21:03:04Z
213337,0.013650,0.764706,2022-05-25T21:03:17Z
225953,0.013879,0.777778,2022-05-25T21:03:29Z
251293,0.013371,0.750000,2022-05-25T21:03:55Z
264423,0.013554,0.761905,2022-05-25T21:04:08Z
302004,0.012609,0.708333,2022-05-25T21:04:45Z
314662,0.012814,0.720000,2022-05-25T21:04:58Z
352658,0.012068,0.678571,2022-05-25T21:05:36Z
365802,0.012247,0.689655,2022-05-25T21:05:49Z
378052,0.012443,0.700000,2022-05-25T21:06:01Z
390734,0.012612,0.709677,2022-05-25T21:06:14Z
403343,0.012773,0.718750,2022-05-25T21:06:27Z
417016,0.012892,0.727273,2022-05-25T21:06:40Z
428832,0.013059,0.735294,2022-05-25T21:06:52Z
441626,0.013188,0.742857,2022-05-25T21:07:05Z
454258,0.013314,0.750000,2022-05-25T21:07:18Z
479380,0.013084,0.736842,2022-05-25T21:07:43Z
492044,0.013202,0.743590,2022-05-25T21:07:55Z
504769,0.013313,0.750000,2022-05-25T21:08:08Z
530071,0.013100,0.738095,2022-05-25T21:08:33Z
557629,0.012854,0.727273,2022-05-25T21:09:01Z
593441,0.012456,0.702128,2022-05-25T21:09:37Z
606096,0.012566,0.708333,2022-05-25T21:09:49Z
618865,0.012668,0.714286,2022-05-25T21:10:02Z
644397,0.012514,0.705882,2022-05-25T21:10:28Z
656780,0.012619,0.711538,2022-05-25T21:10:40Z
669674,0.012711,0.716981,2022-05-25T21:10:53Z
682128,0.012807,0.722222,2022-05-25T21:11:06Z
695023,0.012892,0.727273,2022-05-25T21:11:18Z
720139,0.012753,0.719298,2022-05-25T21:11:44Z
732807,0.012838,0.724138,2022-05-25T21:11:56Z
745481,0.012921,0.728814,2022-05-25T21:12:09Z
758172,0.013000,0.733333,2022-05-25T21:12:22Z
783557,0.012864,0.725806,2022-05-25T21:12:47Z
796241,0.012941,0.730159,2022-05-25T21:13:00Z
821738,0.012812,0.723077,2022-05-25T21:13:25Z
847069,0.012693,0.716418,2022-05-25T21:13:50Z
859564,0.012769,0.720588,2022-05-25T21:14:03Z
872427,0.012838,0.724638,2022-05-25T21:14:16Z
884864,0.012910,0.728571,2022-05-25T21:14:28Z
910213,0.012797,0.722222,2022-05-25T21:14:54Z
922926,0.012863,0.726027,2022-05-25T21:15:06Z
935573,0.012929,0.729730,2022-05-25T21:15:19Z
948225,0.012993,0.733333,2022-05-25T21:15:32Z
973788,0.012882,0.727273,2022-05-25T21:15:57Z
986318,0.012945,0.730769,2022-05-25T21:16:10Z
1011587,0.012843,0.725000,2022-05-25T21:16:35Z
1036933,0.012745,0.719512,2022-05-25T21:17:00Z
1049681,0.012804,0.722892,2022-05-25T21:17:13Z
1062275,0.012863,0.726190,2022-05-25T21:17:26Z
1100298,0.012622,0.712644,2022-05-25T21:18:04Z
1112961,0.012680,0.715909,2022-05-25T21:18:16Z
1125639,0.012736,0.719101,2022-05-25T21:18:29Z
1138301,0.012791,0.722222,2022-05-25T21:18:42Z
1150987,0.012845,0.725275,2022-05-25T21:18:54Z
1176533,0.012756,0.720430,2022-05-25T21:19:20Z
1188990,0.012811,0.723404,2022-05-25T21:19:32Z
1201659,0.012862,0.726316,2022-05-25T21:19:45Z
1214351,0.012912,0.729167,2022-05-25T21:19:58Z
1239678,0.012829,0.724490,2022-05-25T21:20:23Z
1252363,0.012878,0.727273,2022-05-25T21:20:36Z
1277916,0.012796,0.722772,2022-05-25T21:21:01Z
1290457,0.012845,0.725490,2022-05-25T21:21:14Z
1315739,0.012768,0.721154,2022-05-25T21:21:39Z
1328390,0.012816,0.723810,2022-05-25T21:21:52Z
1341274,0.012859,0.726415,2022-05-25T21:22:05Z
1353723,0.012907,0.728972,2022-05-25T21:22:17Z
1366402,0.012951,0.731481,2022-05-25T21:22:30Z
1391751,0.012876,0.727273,2022-05-25T21:22:55Z
1404629,0.012917,0.729730,2022-05-25T21:23:08Z
1417085,0.012962,0.732143,2022-05-25T21:23:20Z
1442440,0.012889,0.728070,2022-05-25T21:23:46Z
1455109,0.012931,0.730435,2022-05-25T21:23:59Z
1467986,0.012970,0.732759,2022-05-25T21:24:11Z
1505786,0.012793,0.722689,2022-05-25T21:24:49Z
1531269,0.012727,0.719008,2022-05-25T21:25:15Z
1544024,0.012767,0.721311,2022-05-25T21:25:27Z
1556490,0.012808,0.723577,2022-05-25T21:25:40Z
1569147,0.012848,0.725806,2022-05-25T21:25:53Z
1582036,0.012885,0.728000,2022-05-25T21:26:05Z
1607388,0.012821,0.724409,2022-05-25T21:26:31Z
1619845,0.012860,0.726562,2022-05-25T21:26:43Z
1632720,0.012896,0.728682,2022-05-25T21:26:56Z
1645179,0.012935,0.730769,2022-05-25T21:27:09Z
1657870,0.012971,0.732824,2022-05-25T21:27:21Z
1670525,0.013007,0.734848,2022-05-25T21:27:34Z
1695940,0.012944,0.731343,2022-05-25T21:27:59Z
1708534,0.012980,0.733333,2022-05-25T21:28:12Z
1721207,0.013014,0.735294,2022-05-25T21:28:25Z
1733928,0.013048,0.737226,2022-05-25T21:28:37Z
