Data1,Data2,Data3,Data4,Data5,Data6,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,,,1.000000, 2022-06-04T19:27:32Z, 12918, 0.017340
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,,,1.000000, 2022-06-04T19:27:44Z, 25568, 0.017522
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,,,1.000000, 2022-06-04T19:27:57Z, 38242, 0.017572
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,,,1.000000, 2022-06-04T19:28:10Z, 50912, 0.017599
QBXq3gAABAABsgROlhZJHbMXpEgXWWsTsuPXdA==,QBXq3gAABAABsgROlhYXHbMipEgXWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTF+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWRcTsuPXdA==,,,0.800000, 2022-06-04T19:28:22Z, 63808, 0.014042
QBXq3gAABQABE/I4jZO9THzLHELLebips0vGGQ==,QBXq3gAABQABE/I4jZPLTHyFHELLebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipy0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnecups0vGGQ==,,,0.833333, 2022-06-04T19:28:35Z, 76258, 0.014687
QBXq3gAABgABVMNJJTl9QPrJb77JeSSSBfr7Wg==,QBXq3gAABgABVMNJJTnJQPqKb77JeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSyfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GecmSBfr7Wg==,,,0.714286, 2022-06-04T19:28:48Z, 89149, 0.012563
QBXq3gAABwAB5OQ9879HguyF2PGF9KkBAKGMUg==,QBXq3gAABwAB5OQ987+Fguzm2PGF9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBhaGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9IUBAKGMUg==,,,0.625000, 2022-06-04T19:29:00Z, 101808, 0.011001
QBXq3gAACAABtnEGYBSOZlQ6zkM6XEJY0/5Czg==,QBXq3gAACAABtnEGYBQ6ZlRdzkM6XEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYOv5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXDpY0/5Czg==,,,0.555556, 2022-06-04T19:29:13Z, 114492, 0.009782
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,,,0.600000, 2022-06-04T19:29:26Z, 126934, 0.010588
QBXq3gAACgAB4J5MGLcM8IaOa9GOYNx4zhIZKg==,QBXq3gAACgAB4J5MGLeO8IZxa9GOYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4jhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYI54zhIZKg==,,,0.636364, 2022-06-04T19:29:39Z, 139898, 0.011208
QBXq3gAACwABeiMIbZ4A4j+J98KJNMwB/n6ucg==,QBXq3gAACwABeiMIbZ6J4j9r98KJNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBiX6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NIkB/n6ucg==,,,0.666667, 2022-06-04T19:29:51Z, 152505, 0.011750
QBXq3gAADAABPKsQO4Q7vVnGTGbGU8OQcmtdZA==,QBXq3gAADAABPKsQO4TGvVkXTGbGU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQxmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8aQcmtdZA==,,,0.692308, 2022-06-04T19:30:04Z, 165174, 0.012205
QBXq3gAADQAB5bM7t6M2OWviffXi3B2UDcVbbw==,QBXq3gAADQAB5bM7t6PiOWuZffXi3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2U4sVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3OKUDcVbbw==,,,0.714286, 2022-06-04T19:30:17Z, 177861, 0.012594
QBXq3gAADgABme9SPmYig5PSLaLSC385ivmH7g==,QBXq3gAADgABme9SPmbSg5MJLaLSC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC3850vmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC9I5ivmH7g==,,,0.733333, 2022-06-04T19:30:29Z, 190291, 0.012949
QBXq3gAADwABlTZyzE3lFJRFdZRFU6Vm85mKEw==,QBXq3gAADwABlTZyzE1FFJR/dZRFU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6VmRZmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU0Vm85mKEw==,,,0.750000, 2022-06-04T19:30:42Z, 203200, 0.013228
QBXq3gAAEAABlNIBRlELWCJDodFDRVqZcw1G7g==,QBXq3gAAEAABlNIBRlFDWCKOodFDRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZQw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRUOZcw1G7g==,,,0.764706, 2022-06-04T19:30:54Z, 215792, 0.013494
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,,,0.777778, 2022-06-04T19:31:07Z, 228315, 0.013735
QBXq3gAAEgABj88jQzaTdZGr1u6rnHBra/lFmg==,QBXq3gAAEgABj88jQzardZGE1u6rnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBrq/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnKtra/lFmg==,,,0.736842, 2022-06-04T19:31:20Z, 241204, 0.013001
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,,,0.750000, 2022-06-04T19:31:32Z, 253662, 0.013246
QBXq3gAAFAABW8ygIUNCROkeq5UeFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUMeROnsq5UeFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsTkHjJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFh7kbTJxwQ==,,,0.714286, 2022-06-04T19:31:45Z, 266548, 0.012606
QBXq3gAAFQAB7v3thZFtPjeCmGiCZJxpHq4WmA==,QBXq3gAAFQAB7v3thZGCPjfnmGiCZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZJxpgq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZIJpHq4WmA==,,,0.727273, 2022-06-04T19:31:58Z, 279215, 0.012836
QBXq3gAAFgABPf91rNkW5sggDIIgooamoBEFXQ==,QBXq3gAAFgABPf91rNkg5sguDIIgooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ooamIBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9oiCmoBEFXQ==,,,0.739130, 2022-06-04T19:32:10Z, 291809, 0.013050
