Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-05-28T10:33:31Z, 14043, 0.015951
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-05-28T10:33:44Z, 26708, 0.016774
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-05-28T10:33:56Z, 39374, 0.017067
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-05-28T10:34:09Z, 52047, 0.017215
QBXq3gAABAABsgROlhZJHbOvpEivWWsTsuPXdA==,QBXq3gAABAABsgROlhavHbMipEivWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTr+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWa8TsuPXdA==,1.000000, 2022-05-28T10:34:22Z, 64733, 0.017302
QBXq3gAABQABE/I4jZO9THxmHEJmebips0vGGQ==,QBXq3gAABQABE/I4jZNmTHyFHEJmebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipzUvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneWaps0vGGQ==,1.000000, 2022-05-28T10:34:35Z, 77610, 0.017317
QBXq3gAABgABVMNJJTl9QPqMb76MeSSSBfr7Wg==,QBXq3gAABgABVMNJJTmMQPqKb76MeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSjPr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeYySBfr7Wg==,1.000000, 2022-05-28T10:34:47Z, 90065, 0.017410
QBXq3gAABwAB5OQ9879Hgux62PF69KkBAKGMUg==,QBXq3gAABwAB5OQ98796guzm2PF69KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBeqGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9HoBAKGMUg==,1.000000, 2022-05-28T10:35:00Z, 103003, 0.017398
QBXq3gAACAABtnEGYBSOZlTHzkPHXEJY0/5Czg==,QBXq3gAACAABtnEGYBTHZlRdzkPHXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYQf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXMdY0/5Czg==,1.000000, 2022-05-28T10:35:12Z, 115407, 0.017469
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,1.000000, 2022-05-28T10:35:25Z, 128075, 0.017490
QBXq3gAACgAB4J5MGLcM8IaUa9GUYNx4zhIZKg==,QBXq3gAACgAB4J5MGLeU8IZxa9GUYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4lBIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYJR4zhIZKg==,1.000000, 2022-05-28T10:35:38Z, 140964, 0.017480
QBXq3gAACwABeiMIbZ4A4j+D98KDNMwB/n6ucg==,QBXq3gAACwABeiMIbZ6D4j9r98KDNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBuH6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NIMB/n6ucg==,1.000000, 2022-05-28T10:35:51Z, 153639, 0.017496
QBXq3gAADAABPKsQO4Q7vVmhTGahU8OQcmtdZA==,QBXq3gAADAABPKsQO4ShvVkXTGahU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQoWtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU6GQcmtdZA==,1.000000, 2022-05-28T10:36:03Z, 166307, 0.017510
QBXq3gAADQAB5bM7t6M2OWugffWg3B2UDcVbbw==,QBXq3gAADQAB5bM7t6OgOWuZffWg3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UoMVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3KCUDcVbbw==,1.000000, 2022-05-28T10:36:16Z, 178825, 0.017537
QBXq3gAADgABme9SPmYig5O4LaK4C385ivmH7g==,QBXq3gAADgABme9SPma4g5MJLaK4C385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385F/mH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC7g5ivmH7g==,1.000000, 2022-05-28T10:36:29Z, 191464, 0.017549
QBXq3gAADwABlTZyzE3lFJRWdZRWU6Vm85mKEw==,QBXq3gAADwABlTZyzE1WFJR/dZRWU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6VmVpmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU1Zm85mKEw==,1.000000, 2022-05-28T10:36:41Z, 204133, 0.017557
QBXq3gAAEAABlNIBRlELWCLjodHjRVqZcw1G7g==,QBXq3gAAEAABlNIBRlHjWCKOodHjRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZ4w1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbReOZcw1G7g==,1.000000, 2022-05-28T10:36:54Z, 216991, 0.017549
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,1.000000, 2022-05-28T10:37:07Z, 229501, 0.017569
QBXq3gAAEgABj88jQzaTdZGh1u6hnHBra/lFmg==,QBXq3gAAEgABj88jQzahdZGE1u6hnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBroflFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnKFra/lFmg==,1.000000, 2022-05-28T10:37:19Z, 242121, 0.017578
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,1.000000, 2022-05-28T10:37:32Z, 254789, 0.017583
QBXq3gAAFAABW8ygIUNCROnNq5XNFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUPNROnsq5XNFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsTkzTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsfkbTJxwQ==,1.000000, 2022-05-28T10:37:45Z, 267532, 0.017583
QBXq3gAAFQAB7v3thZFtPjfWmGjWZJxpHq4WmA==,QBXq3gAAFQAB7v3thZHWPjfnmGjWZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZJxp1q4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZNZpHq4WmA==,1.000000, 2022-05-28T10:37:57Z, 280352, 0.017578
QBXq3gAAFgABPf91rNkW5sjxDILxooamoBEFXQ==,QBXq3gAAFgABPf91rNnx5sguDILxooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ooam8REFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ovGmoBEFXQ==,1.000000, 2022-05-28T10:38:10Z, 293017, 0.017583
QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,QBXq3gAAFwABfvVnWmykujVG92hqCGDQkkMgUA==,1.000000, 2022-05-28T10:38:23Z, 305476, 0.017599
QBXq3gAAGAAB0m9KjfscKZu+J1i+aAclYVKt8w==,QBXq3gAAGAAB0m9Kjfu+KZvmJ1i+aAclYVKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaAclvlKt8w==,QBXq3gAAGAAB0m9KjfscKZvmJ1iKaL4lYVKt8w==,1.000000, 2022-05-28T10:38:35Z, 318284, 0.017594
QBXq3gAAGQABJHFkMPFvoErKlnfKbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPHKoEqklnfKbjmIEeAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbjmIyuAmzQ==,QBXq3gAAGQABJHFkMPFvoEqklncxbsqIEeAmzQ==,1.000000, 2022-05-28T10:38:48Z, 331033, 0.017593
QBXq3gAAGgABCHVadsZTcYG+PkO+wDsGmCTZRw==,QBXq3gAAGgABCHVadsa+cYG9PkO+wDsGmCTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwDsGviTZRw==,QBXq3gAAGgABCHVadsZTcYG9PkPAwL4GmCTZRw==,1.000000, 2022-05-28T10:39:01Z, 343493, 0.017607
QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,QBXq3gAAGwABi0jwHXoiY/DiZrh82DwWJO3B0g==,1.000000, 2022-05-28T10:39:13Z, 356162, 0.017610
QBXq3gAAHAAB1OuDfwx4n3kxhkYxDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwwxn3m3hkYxDXUAuzvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDXUAMTvbGQ==,QBXq3gAAHAAB1OuDfwx4n3m3hkboDTEAuzvbGQ==,1.000000, 2022-05-28T10:39:26Z, 368907, 0.017609
QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,QBXq3gAAHQAB9SaOV8lPLLwKHTFtdvMGthi4Mg==,1.000000, 2022-05-28T10:39:39Z, 381500, 0.017615
QBXq3gAAHgABwR7mAGpUxF2j6IOjBwTedYNF4Q==,QBXq3gAAHgABwR7mAGqjxF3p6IOjBwTedYNF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYBwTeo4NF4Q==,QBXq3gAAHgABwR7mAGpUxF3p6INYB6PedYNF4Q==,1.000000, 2022-05-28T10:39:51Z, 394386, 0.017607
QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,QBXq3gAAHwABzwC4XBLTq7yinVzIzmWIhm5NFA==,1.000000, 2022-05-28T10:40:04Z, 406848, 0.017618
QBXq3gAAIAABvB0V4fm87G8ZfZQZzbZv1v0sag==,QBXq3gAAIAABvB0V4fkZ7G/yfZQZzbZv1v0sag==,QBXq3gAAIAABvB0V4fm87G/yfZTKzbZvGf0sag==,QBXq3gAAIAABvB0V4fm87G/yfZTKzRlv1v0sag==,1.000000, 2022-05-28T10:40:17Z, 419798, 0.017608
QBXq3gAAIQABbhsX+9OS2bnUnbPUCfaFvfbGag==,QBXq3gAAIQABbhsX+9PU2blYnbPUCfaFvfbGag==,QBXq3gAAIQABbhsX+9OS2blYnbO8CfaF1PbGag==,QBXq3gAAIQABbhsX+9OS2blYnbO8CdSFvfbGag==,1.000000, 2022-05-28T10:40:29Z, 432340, 0.017616
QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,QBXq3gAAIgABx5GZLvO6APb1E98JPqtv5ceekQ==,1.000000, 2022-05-28T10:40:42Z, 444857, 0.017624
QBXq3gAAJAABSf3J7XlmbsyndyGnLwCq+5vZnw==,QBXq3gAAJAABSf3J7XmnbsxPdyGnLwCq+5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRLwCqp5vZnw==,QBXq3gAAJAABSf3J7XlmbsxPdyGRL6eq+5vZnw==,1.000000, 2022-05-28T10:41:07Z, 470424, 0.017142
QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,QBXq3gAAJQABEwfD7GBqj957tCjb54Pt+LPVqg==,1.000000, 2022-05-28T10:41:20Z, 482876, 0.017164
