TotalTime(ms),Throughput(kbp),PDR,data,time
13918,0.016094,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:51:10Z
26590,0.016849,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:51:23Z
39270,0.017112,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:51:36Z
51928,0.017255,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:51:48Z
64646,0.017325,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:52:01Z
77493,0.017343,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:52:14Z
90163,0.017391,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:52:27Z
102830,0.017427,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:52:39Z
115505,0.017454,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:52:52Z
127958,0.017506,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:53:04Z
140636,0.017520,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:53:17Z
165970,0.016196,0.923077,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:53:42Z
229329,0.012698,0.722222,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:54:46Z
254676,0.012314,0.700000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:55:11Z
267378,0.012566,0.714286,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:55:24Z
280230,0.012789,0.727273,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:55:37Z
292699,0.013010,0.739130,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:55:49Z
305359,0.013204,0.750000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:56:02Z
318065,0.013381,0.760000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:56:14Z
356043,0.012583,0.714286,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:56:52Z
381390,0.012334,0.700000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:57:18Z
406733,0.012116,0.687500,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:57:43Z
419543,0.012280,0.696970,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:57:56Z
432217,0.012438,0.705882,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:58:09Z
444745,0.012591,0.714286,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:58:21Z
482771,0.012064,0.684211,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:58:59Z
495435,0.012207,0.692308,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:59:12Z
508137,0.012343,0.700000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:59:24Z
520994,0.012468,0.707317,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:59:37Z
533446,0.012597,0.714286,AWcAAAJoAAMCAAAEAgAA,2022-05-21T20:59:50Z
558791,0.012427,0.704545,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:00:15Z
596810,0.012011,0.680851,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:00:53Z
609474,0.012128,0.687500,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:01:06Z
622369,0.012237,0.693878,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:01:19Z
635113,0.012344,0.700000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:01:31Z
647709,0.012450,0.705882,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:01:44Z
660161,0.012555,0.711538,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:01:57Z
673053,0.012647,0.716981,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:02:09Z
685504,0.012744,0.722222,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:02:22Z
698397,0.012829,0.727273,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:02:35Z
710848,0.012920,0.732143,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:02:47Z
723536,0.013003,0.736842,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:03:00Z
736205,0.013083,0.741379,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:03:13Z
748864,0.013161,0.745763,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:03:25Z
761536,0.013236,0.750000,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:03:38Z
774435,0.013305,0.754098,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:03:51Z
786878,0.013379,0.758065,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:04:03Z
799549,0.013448,0.761905,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:04:16Z
812292,0.013512,0.765625,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:04:29Z
825113,0.013574,0.769231,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:04:41Z
850236,0.013436,0.761194,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:05:07Z
862905,0.013499,0.764706,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:05:19Z
875664,0.013558,0.768116,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:05:32Z
888249,0.013618,0.771429,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:05:45Z
900930,0.013675,0.774648,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:05:57Z
913596,0.013730,0.777778,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:06:10Z
926413,0.013782,0.780822,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:06:23Z
938936,0.013837,0.783784,AWcAAAJoAAMCAAAEAgAA,2022-05-21T21:06:35Z
