TotalTime(ms),Throughput(kbp),PDR,time
15952,0.014042,1.000000,2022-05-30T18:30:13Z
28627,0.015649,1.000000,2022-05-30T18:30:26Z
41294,0.016273,1.000000,2022-05-30T18:30:38Z
53965,0.016603,1.000000,2022-05-30T18:30:51Z
66852,0.016754,1.000000,2022-05-30T18:31:04Z
79522,0.016901,1.000000,2022-05-30T18:31:17Z
92195,0.017007,1.000000,2022-05-30T18:31:29Z
117546,0.015245,0.888889,2022-05-30T18:31:55Z
129997,0.015508,0.900000,2022-05-30T18:32:07Z
155545,0.014401,0.833333,2022-05-30T18:32:33Z
180897,0.013621,0.785714,2022-05-30T18:32:58Z
193559,0.013887,0.800000,2022-05-30T18:33:11Z
218911,0.013302,0.764706,2022-05-30T18:33:36Z
231371,0.013554,0.777778,2022-05-30T18:33:49Z
244276,0.013755,0.789474,2022-05-30T18:34:01Z
256698,0.013962,0.800000,2022-05-30T18:34:14Z
269598,0.014125,0.809524,2022-05-30T18:34:27Z
282257,0.014285,0.818182,2022-05-30T18:34:39Z
294939,0.014430,0.826087,2022-05-30T18:34:52Z
307385,0.014575,0.833333,2022-05-30T18:35:05Z
320356,0.014684,0.840000,2022-05-30T18:35:18Z
332953,0.014801,0.846154,2022-05-30T18:35:30Z
345619,0.014907,0.851852,2022-05-30T18:35:43Z
358071,0.015014,0.857143,2022-05-30T18:35:55Z
383415,0.014606,0.833333,2022-05-30T18:36:21Z
396308,0.014696,0.838710,2022-05-30T18:36:33Z
408760,0.014796,0.843750,2022-05-30T18:36:46Z
421595,0.014877,0.848485,2022-05-30T18:36:59Z
446781,0.014540,0.828571,2022-05-30T18:37:24Z
459662,0.014619,0.833333,2022-05-30T18:37:37Z
484807,0.014323,0.815789,2022-05-30T18:38:02Z
497464,0.014409,0.820513,2022-05-30T18:38:15Z
510346,0.014484,0.825000,2022-05-30T18:38:28Z
523030,0.014561,0.829268,2022-05-30T18:38:40Z
535486,0.014641,0.833333,2022-05-30T18:38:53Z
560864,0.014378,0.818182,2022-05-30T18:39:18Z
573578,0.014450,0.822222,2022-05-30T18:39:31Z
586383,0.014516,0.826087,2022-05-30T18:39:44Z
598865,0.014588,0.829787,2022-05-30T18:39:56Z
611512,0.014652,0.833333,2022-05-30T18:40:09Z
624395,0.014709,0.836735,2022-05-30T18:40:22Z
649739,0.014480,0.823529,2022-05-30T18:40:47Z
662188,0.014546,0.826923,2022-05-30T18:40:59Z
675092,0.014599,0.830189,2022-05-30T18:41:12Z
687539,0.014661,0.833333,2022-05-30T18:41:25Z
700315,0.014713,0.836364,2022-05-30T18:41:37Z
713101,0.014764,0.839286,2022-05-30T18:41:50Z
725710,0.014816,0.842105,2022-05-30T18:42:03Z
738225,0.014868,0.844828,2022-05-30T18:42:15Z
750889,0.014916,0.847458,2022-05-30T18:42:28Z
763569,0.014961,0.850000,2022-05-30T18:42:41Z
788908,0.014765,0.838710,2022-05-30T18:43:06Z
801578,0.014811,0.841270,2022-05-30T18:43:19Z
