PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-05-30T18:30:13Z, 12850, 0.017432
1.000000, 2022-05-30T18:30:26Z, 25525, 0.017551
1.000000, 2022-05-30T18:30:38Z, 38194, 0.017594
1.000000, 2022-05-30T18:30:51Z, 50863, 0.017616
1.000000, 2022-05-30T18:31:04Z, 63753, 0.017568
1.000000, 2022-05-30T18:31:16Z, 76424, 0.017586
1.000000, 2022-05-30T18:31:29Z, 89096, 0.017599
0.875000, 2022-05-30T18:31:42Z, 101769, 0.015407
0.888889, 2022-05-30T18:31:54Z, 114447, 0.015658
0.900000, 2022-05-30T18:32:07Z, 126896, 0.015887
0.909091, 2022-05-30T18:32:32Z, 152445, 0.014694
0.833333, 2022-05-30T18:32:45Z, 165125, 0.013565
0.846154, 2022-05-30T18:32:58Z, 177797, 0.013859
0.857143, 2022-05-30T18:33:11Z, 190460, 0.014113
0.800000, 2022-05-30T18:33:23Z, 202913, 0.013247
0.812500, 2022-05-30T18:33:36Z, 215812, 0.013493
0.823529, 2022-05-30T18:33:48Z, 228269, 0.013738
0.833333, 2022-05-30T18:34:01Z, 241176, 0.013932
0.842105, 2022-05-30T18:34:14Z, 253598, 0.014133
0.850000, 2022-05-30T18:34:27Z, 266499, 0.014289
0.857143, 2022-05-30T18:34:39Z, 279158, 0.014443
0.863636, 2022-05-30T18:34:52Z, 291840, 0.014583
0.869565, 2022-05-30T18:35:04Z, 304284, 0.014723
0.875000, 2022-05-30T18:35:17Z, 317257, 0.014827
0.880000, 2022-05-30T18:35:30Z, 329853, 0.014940
0.884615, 2022-05-30T18:35:43Z, 342520, 0.015041
0.888889, 2022-05-30T18:35:55Z, 354969, 0.015145
0.857143, 2022-05-30T18:36:08Z, 367857, 0.014614
0.862069, 2022-05-30T18:36:20Z, 380315, 0.014725
0.866667, 2022-05-30T18:36:33Z, 393209, 0.014811
0.870968, 2022-05-30T18:36:46Z, 405659, 0.014909
0.875000, 2022-05-30T18:36:59Z, 418497, 0.014987
0.848485, 2022-05-30T18:37:11Z, 431222, 0.014545
0.852941, 2022-05-30T18:37:24Z, 443680, 0.014641
0.857143, 2022-05-30T18:37:37Z, 456563, 0.014719
0.833333, 2022-05-30T18:37:49Z, 469240, 0.014321
0.837838, 2022-05-30T18:38:02Z, 481706, 0.014415
0.842105, 2022-05-30T18:38:14Z, 494363, 0.014499
0.846154, 2022-05-30T18:38:27Z, 507247, 0.014573
0.850000, 2022-05-30T18:38:40Z, 519931, 0.014648
0.853659, 2022-05-30T18:38:52Z, 532385, 0.014726
0.833333, 2022-05-30T18:39:05Z, 545275, 0.014378
0.837209, 2022-05-30T18:39:18Z, 557763, 0.014458
0.840909, 2022-05-30T18:39:31Z, 570479, 0.014528
0.844444, 2022-05-30T18:39:43Z, 583285, 0.014593
0.847826, 2022-05-30T18:39:56Z, 595765, 0.014663
0.851064, 2022-05-30T18:40:08Z, 608411, 0.014727
0.854167, 2022-05-30T18:40:21Z, 621296, 0.014782
0.836735, 2022-05-30T18:40:34Z, 634006, 0.014486
0.840000, 2022-05-30T18:40:47Z, 646640, 0.014549
0.843137, 2022-05-30T18:40:59Z, 659087, 0.014614
0.846154, 2022-05-30T18:41:12Z, 671992, 0.014667
0.849057, 2022-05-30T18:41:24Z, 684439, 0.014727
0.851852, 2022-05-30T18:41:37Z, 697213, 0.014779
0.854545, 2022-05-30T18:41:50Z, 710002, 0.014828
0.857143, 2022-05-30T18:42:03Z, 722611, 0.014879
0.859649, 2022-05-30T18:42:15Z, 735122, 0.014931
0.862069, 2022-05-30T18:42:28Z, 747788, 0.014978
0.864407, 2022-05-30T18:42:41Z, 760467, 0.015022
0.850000, 2022-05-30T18:42:53Z, 773353, 0.014772
0.852459, 2022-05-30T18:43:06Z, 785806, 0.014823
0.854839, 2022-05-30T18:43:19Z, 798477, 0.014868
0.857143, 2022-05-30T18:43:31Z, 811163, 0.014912
0.843750, 2022-05-30T18:43:44Z, 824044, 0.014679
0.830769, 2022-05-30T18:43:57Z, 836714, 0.014457
0.833333, 2022-05-30T18:44:11Z, 851111, 0.014475
0.835821, 2022-05-30T18:44:22Z, 861849, 0.014555
0.838235, 2022-05-30T18:44:35Z, 874727, 0.014597
0.840580, 2022-05-30T18:44:47Z, 887187, 0.014644
0.842857, 2022-05-30T18:45:00Z, 900071, 0.014683
0.845070, 2022-05-30T18:45:13Z, 912521, 0.014728
0.847222, 2022-05-30T18:45:25Z, 925419, 0.014765
0.849315, 2022-05-30T18:45:38Z, 937867, 0.014808
0.851351, 2022-05-30T18:45:51Z, 950534, 0.014846
0.853333, 2022-05-30T18:46:03Z, 963259, 0.014883
0.855263, 2022-05-30T18:46:16Z, 976106, 0.014916
0.857143, 2022-05-30T18:46:29Z, 988773, 0.014952
0.846154, 2022-05-30T18:46:41Z, 1001451, 0.014763
0.848101, 2022-05-30T18:46:54Z, 1013899, 0.014802
0.850000, 2022-05-30T18:47:07Z, 1026786, 0.014835
0.851852, 2022-05-30T18:47:32Z, 1051914, 0.014693
0.853659, 2022-05-30T18:47:45Z, 1064593, 0.014729
0.855422, 2022-05-30T18:47:58Z, 1077477, 0.014760
0.857143, 2022-05-30T18:48:10Z, 1090147, 0.014794
0.858824, 2022-05-30T18:48:23Z, 1102599, 0.014830
0.860465, 2022-05-30T18:48:35Z, 1115268, 0.014863
0.862069, 2022-05-30T18:48:48Z, 1128162, 0.014891
0.863636, 2022-05-30T18:49:01Z, 1140641, 0.014925
0.865169, 2022-05-30T18:49:14Z, 1153506, 0.014953
0.866667, 2022-05-30T18:49:26Z, 1166177, 0.014982
0.868132, 2022-05-30T18:49:39Z, 1178850, 0.015011
0.869565, 2022-05-30T18:49:51Z, 1191302, 0.015042
0.870968, 2022-05-30T18:50:04Z, 1203974, 0.015070
0.872340, 2022-05-30T18:50:17Z, 1216814, 0.015095
0.873684, 2022-05-30T18:50:30Z, 1229538, 0.015121
0.875000, 2022-05-30T18:50:42Z, 1241994, 0.015150
0.876289, 2022-05-30T18:50:55Z, 1254695, 0.015175
0.877551, 2022-05-30T18:51:07Z, 1267347, 0.015200
0.878788, 2022-05-30T18:51:20Z, 1280225, 0.015222
0.880000, 2022-05-30T18:51:33Z, 1292684, 0.015249
0.881188, 2022-05-30T18:51:45Z, 1305353, 0.015272
0.882353, 2022-05-30T18:51:58Z, 1318014, 0.015296
0.883495, 2022-05-30T18:52:11Z, 1330716, 0.015318
0.884615, 2022-05-30T18:52:24Z, 1343582, 0.015338
0.885714, 2022-05-30T18:52:36Z, 1356033, 0.015362
0.886792, 2022-05-30T18:52:49Z, 1368707, 0.015384
0.887850, 2022-05-30T18:53:02Z, 1381594, 0.015402
0.888889, 2022-05-30T18:53:14Z, 1394045, 0.015426
0.889908, 2022-05-30T18:53:27Z, 1406948, 0.015443
0.890909, 2022-05-30T18:53:39Z, 1419390, 0.015466
0.891892, 2022-05-30T18:53:52Z, 1432221, 0.015484
0.892857, 2022-05-30T18:54:05Z, 1444736, 0.015505
0.893805, 2022-05-30T18:54:18Z, 1457663, 0.015521
0.894737, 2022-05-30T18:54:30Z, 1470301, 0.015540
0.895652, 2022-05-30T18:54:43Z, 1483001, 0.015558
0.896552, 2022-05-30T18:54:56Z, 1495573, 0.015577
0.897436, 2022-05-30T18:55:08Z, 1508097, 0.015596
0.898305, 2022-05-30T18:55:21Z, 1520992, 0.015611
0.890756, 2022-05-30T18:55:34Z, 1533664, 0.015482
0.891667, 2022-05-30T18:55:46Z, 1546141, 0.015502
0.892562, 2022-05-30T18:55:59Z, 1558785, 0.015520
0.893443, 2022-05-30T18:56:12Z, 1571455, 0.015537
0.894309, 2022-05-30T18:56:24Z, 1584345, 0.015552
0.895161, 2022-05-30T18:56:37Z, 1597015, 0.015569
0.896000, 2022-05-30T18:57:02Z, 1622152, 0.015466
0.896825, 2022-05-30T18:57:15Z, 1634820, 0.015483
0.897638, 2022-05-30T18:57:28Z, 1647487, 0.015500
0.898438, 2022-05-30T18:57:40Z, 1660377, 0.015515
0.899225, 2022-05-30T18:57:53Z, 1672843, 0.015533
0.900000, 2022-05-30T18:58:06Z, 1685732, 0.015547
0.900763, 2022-05-30T18:58:18Z, 1698400, 0.015563
0.901515, 2022-05-30T18:58:31Z, 1710887, 0.015580
0.902256, 2022-05-30T18:58:44Z, 1723736, 0.015594
0.902985, 2022-05-30T18:58:57Z, 1736456, 0.015609
0.903704, 2022-05-30T18:59:09Z, 1748856, 0.015626
0.904412, 2022-05-30T18:59:22Z, 1761754, 0.015639
0.905109, 2022-05-30T18:59:34Z, 1774212, 0.015655
0.905797, 2022-05-30T18:59:47Z, 1787093, 0.015668
0.906475, 2022-05-30T19:00:12Z, 1812229, 0.015574
