Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-05-24T13:13:00Z, 12555, 0.017841
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-05-24T13:13:13Z, 25275, 0.017725
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-05-24T13:13:38Z, 50571, 0.013288
QBXq3gAABAABsgROlhZJHbMvpEgvWWsTsuPXdA==,QBXq3gAABAABsgROlhYvHbMipEgvWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTL+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWS8TsuPXdA==,1.000000, 2022-05-24T13:13:51Z, 63459, 0.014119
QBXq3gAABQABE/I4jZO9THwoHEIoebips0vGGQ==,QBXq3gAABQABE/I4jZMoTHyFHEIoebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipKEvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneSips0vGGQ==,0.800000, 2022-05-24T13:14:04Z, 76140, 0.011768
QBXq3gAABgABVMNJJTl9QPrXb77XeSSSBfr7Wg==,QBXq3gAABgABVMNJJTnXQPqKb77XeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSS1/r7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GedeSBfr7Wg==,0.833333, 2022-05-24T13:14:17Z, 88814, 0.012611
QBXq3gAABwAB5OQ9879Hguyn2PGn9KkBAKGMUg==,QBXq3gAABwAB5OQ987+nguzm2PGn9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBp6GMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KcBAKGMUg==,0.857143, 2022-05-24T13:14:29Z, 101472, 0.013245
QBXq3gAACAABtnEGYBSOZlRszkNsXEJY0/5Czg==,QBXq3gAACAABtnEGYBRsZlRdzkNsXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYbP5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXGxY0/5Czg==,0.875000, 2022-05-24T13:14:42Z, 114139, 0.013738
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.888889, 2022-05-24T13:14:54Z, 126599, 0.014155
QBXq3gAACgAB4J5MGLcM8Ibda9HdYNx4zhIZKg==,QBXq3gAACgAB4J5MGLfd8IZxa9HdYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx43RIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYN14zhIZKg==,0.900000, 2022-05-24T13:15:07Z, 139427, 0.014459
QBXq3gAACwABeiMIbZ4A4j9x98JxNMwB/n6ucg==,QBXq3gAACwABeiMIbZ5x4j9r98JxNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBcX6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NHEB/n6ucg==,0.909091, 2022-05-24T13:15:20Z, 152156, 0.014722
QBXq3gAADAABPKsQO4Q7vVmkTGakU8OQcmtdZA==,QBXq3gAADAABPKsQO4SkvVkXTGakU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQpGtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU6SQcmtdZA==,0.916667, 2022-05-24T13:15:33Z, 164831, 0.014949
QBXq3gAADQAB5bM7t6M2OWujffWj3B2UDcVbbw==,QBXq3gAADQAB5bM7t6OjOWuZffWj3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2Uo8Vbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3KOUDcVbbw==,0.923077, 2022-05-24T13:15:45Z, 177494, 0.015144
QBXq3gAADgABme9SPmYig5OPLaKPC385ivmH7g==,QBXq3gAADgABme9SPmaPg5MJLaKPC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385j/mH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC485ivmH7g==,0.928571, 2022-05-24T13:15:58Z, 189955, 0.015330
QBXq3gAADwABlTZyzE3lFJQadZQaU6Vm85mKEw==,QBXq3gAADwABlTZyzE0aFJR/dZQaU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6VmGpmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRUxpm85mKEw==,0.933333, 2022-05-24T13:16:11Z, 202843, 0.015460
QBXq3gAAEAABlNIBRlELWCJjodFjRVqZcw1G7g==,QBXq3gAAEAABlNIBRlFjWCKOodFjRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZYw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRWOZcw1G7g==,0.937500, 2022-05-24T13:16:23Z, 215538, 0.015589
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.941176, 2022-05-24T13:16:36Z, 227970, 0.015721
QBXq3gAAEgABj88jQzaTdZGa1u6anHBra/lFmg==,QBXq3gAAEgABj88jQzaadZGE1u6anHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBrmvlFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnJpra/lFmg==,0.944444, 2022-05-24T13:16:49Z, 240857, 0.015810
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.947368, 2022-05-24T13:17:01Z, 253309, 0.015917
QBXq3gAAFAABW8ygIUNCROmHq5WHFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUOHROnsq5WHFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsTkhzJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFofkbTJxwQ==,0.950000, 2022-05-24T13:17:14Z, 266284, 0.015983
QBXq3gAAFQAB7v3thZFtPjdsmGhsZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFsPjfnmGhsZJxpHq4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZJxpbK4WmA==,QBXq3gAAFQAB7v3thZFtPjfnmGijZGxpHq4WmA==,0.952381, 2022-05-24T13:17:27Z, 278873, 0.016065
QBXq3gAAFgABPf91rNkW5sjoDILoooamoBEFXQ==,QBXq3gAAFgABPf91rNno5sguDILoooamoBEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ooam6BEFXQ==,QBXq3gAAFgABPf91rNkW5sguDIK9ouimoBEFXQ==,0.954545, 2022-05-24T13:17:39Z, 291541, 0.016135
