PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-05-22T19:09:55Z, 14025, 0.015971
1.000000, 2022-05-22T19:10:08Z, 26702, 0.016778
1.000000, 2022-05-22T19:10:20Z, 39368, 0.017070
1.000000, 2022-05-22T19:10:33Z, 52042, 0.017217
0.800000, 2022-05-22T19:10:46Z, 64929, 0.013800
0.833333, 2022-05-22T19:10:58Z, 77549, 0.014442
0.857143, 2022-05-22T19:11:11Z, 90271, 0.014889
0.750000, 2022-05-22T19:11:24Z, 102945, 0.013056
0.777778, 2022-05-22T19:11:37Z, 115620, 0.013562
0.800000, 2022-05-22T19:11:49Z, 128067, 0.013993
0.818182, 2022-05-22T19:12:02Z, 141030, 0.014295
0.833333, 2022-05-22T19:12:15Z, 153631, 0.014580
0.846154, 2022-05-22T19:12:27Z, 166303, 0.014816
0.857143, 2022-05-22T19:12:40Z, 178837, 0.015030
0.866667, 2022-05-22T19:12:53Z, 191645, 0.015195
0.812500, 2022-05-22T19:13:05Z, 204312, 0.014253
0.823529, 2022-05-22T19:13:18Z, 216988, 0.014452
0.833333, 2022-05-22T19:13:30Z, 229439, 0.014644
0.842105, 2022-05-22T19:13:43Z, 242329, 0.014790
0.850000, 2022-05-22T19:13:56Z, 254787, 0.014946
0.857143, 2022-05-22T19:14:08Z, 267535, 0.015071
0.863636, 2022-05-22T19:14:21Z, 280344, 0.015181
0.869565, 2022-05-22T19:14:34Z, 293040, 0.015288
0.875000, 2022-05-22T19:14:46Z, 305468, 0.015399
0.880000, 2022-05-22T19:14:59Z, 318362, 0.015479
0.884615, 2022-05-22T19:15:12Z, 331029, 0.015564
0.888889, 2022-05-22T19:15:25Z, 343660, 0.015643
0.892857, 2022-05-22T19:15:37Z, 356155, 0.015723
0.896552, 2022-05-22T19:15:50Z, 368909, 0.015787
0.900000, 2022-05-22T19:16:02Z, 381497, 0.015853
0.903226, 2022-05-22T19:16:15Z, 394391, 0.015903
0.906250, 2022-05-22T19:16:28Z, 406843, 0.015967
0.909091, 2022-05-22T19:16:41Z, 419736, 0.016010
0.911765, 2022-05-22T19:16:53Z, 432403, 0.016059
0.914286, 2022-05-22T19:17:06Z, 444856, 0.016113
0.916667, 2022-05-22T19:17:19Z, 457742, 0.016149
0.918919, 2022-05-22T19:17:31Z, 470415, 0.016190
0.921053, 2022-05-22T19:17:44Z, 482870, 0.016236
0.923077, 2022-05-22T19:17:56Z, 495539, 0.016273
0.900000, 2022-05-22T19:18:09Z, 508433, 0.015860
0.902439, 2022-05-22T19:18:22Z, 521180, 0.015902
