TotalTime(ms),Throughout(kbp),data,time
17004,0.013174,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:07:10Z
39680,0.011290,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:07:32Z
62368,0.010775,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:07:55Z
85050,0.010535,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:08:18Z
116746,0.009594,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:08:49Z
130420,0.010305,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:09:03Z
153168,0.010237,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:09:26Z
175791,0.010194,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:09:48Z
198752,0.010143,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:10:11Z
221161,0.010128,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:10:34Z
243845,0.010105,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:10:57Z
266532,0.010085,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:11:19Z
311905,0.009336,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:12:05Z
334594,0.009373,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:12:27Z
357277,0.009404,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:12:50Z
379999,0.009432,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:13:13Z
402656,0.009457,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:13:35Z
425331,0.009480,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:13:58Z
448018,0.009500,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:14:21Z
470746,0.009517,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:14:43Z
493391,0.009534,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:15:06Z
516079,0.009549,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:15:29Z
538759,0.009563,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:15:51Z
561484,0.009575,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:16:14Z
584137,0.009587,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:16:37Z
606828,0.009597,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:17:00Z
629509,0.009607,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:17:22Z
661288,0.009485,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:17:54Z
674881,0.009625,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:18:08Z
697561,0.009634,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:18:30Z
720247,0.009641,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:18:53Z
745151,0.009620,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:19:18Z
765623,0.009655,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:19:38Z
788307,0.009661,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:20:01Z
810990,0.009667,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:20:24Z
834789,0.009660,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:20:47Z
856370,0.009678,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:21:09Z
879095,0.009683,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:21:32Z
901734,0.009688,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:21:54Z
929141,0.009643,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:22:22Z
947108,0.009697,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:22:40Z
969798,0.009701,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:23:02Z
992482,0.009705,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:23:25Z
1017310,0.009688,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:23:50Z
1037853,0.009712,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:24:11Z
1060537,0.009716,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:24:33Z
1083226,0.009719,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:24:56Z
1128591,0.009527,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:25:41Z
1151282,0.009534,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:26:04Z
1173971,0.009540,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:26:27Z
1197157,0.009543,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:26:50Z
1219354,0.009553,AWcAAAJoAAMCAAAEAgAA,2022-01-01T10:27:12Z
