Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughout(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-01-02T13:30:25Z, 17141, 0.013068
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-01-02T13:30:48Z, 39831, 0.011248
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-01-02T13:31:11Z, 62755, 0.010708
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-01-02T13:31:33Z, 85199, 0.010517
QBXq3gAABAABsgROlhZJHbOVlUhtWWsTsuPXdA==,QBXq3gAABAABsgROlhaVHbMipEiVWWsTsuPXdA==,QBXq3gAABAABsgROlRZJHbMilUhtWWsTlePXdA==,QBXq3gAABAABsgROlhZJHbMipJVtWZUTsuPXdA==,0.800000, 2022-01-02T13:32:11Z, 122886, 0.007291
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,0.833333, 2022-01-02T13:32:18Z, 130571, 0.008578
QBXq3gAABgABVMNJJTl9QPqTk74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTmTQPqKb76TeSSSBfr7Wg==,QBXq3gAABgABVMNJkzl9QPqKk74GeSSSk/r7Wg==,QBXq3gAABgABVMNJJTl9QPqKb5MGeZOSBfr7Wg==,0.857143, 2022-01-02T13:32:49Z, 161426, 0.008326
QBXq3gAABwAB5OQ9879HguwuLvHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9878uguzm2PEu9KkBAKGMUg==,QBXq3gAABwAB5OQ9Lr9HguzmLvHg9KkBLqGMUg==,QBXq3gAABwAB5OQ9879Hguzm2C7g9C4BAKGMUg==,0.750000, 2022-01-02T13:33:19Z, 191035, 0.007035
QBXq3gAACAABtnEGYBSOZlSdnUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSdZlRdzkOdXEJY0/5Czg==,QBXq3gAACAABtnEGnRSOZlRdnUPrXEJYnf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzp3rXJ1Y0/5Czg==,0.666667, 2022-01-02T13:33:42Z, 213630, 0.006291
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.700000, 2022-01-02T13:33:49Z, 221313, 0.007085
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.727273, 2022-01-02T13:34:12Z, 244000, 0.007344
QBXq3gAACwABeiMIbZ4A4j+9vcJ0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ694j9r98K9NMwB/n6ucg==,QBXq3gAACwABeiMIvZ4A4j9rvcJ0NMwBvX6ucg==,QBXq3gAACwABeiMIbZ4A4j9r9710NL0B/n6ucg==,0.750000, 2022-01-02T13:34:43Z, 275550, 0.007316
