Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-04-09T15:44:42Z, 15573, 0.014384
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-04-09T15:44:54Z, 28238, 0.015865
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-04-09T15:45:07Z, 40912, 0.016425
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-04-09T15:45:20Z, 53581, 0.016722
QBXq3gAABAABsgROlhZJHbMnJ0htWWsTsuPXdA==,QBXq3gAABAABsgROlhYnHbMiJ0htWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMiJ0htWWsTJ+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWScTsuPXdA==,1.000000, 2022-04-09T15:45:33Z, 66398, 0.016868
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1.000000, 2022-04-09T15:45:45Z, 78924, 0.017029
QBXq3gAABgABVMNJJTl9QPqxsb4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTmxQPqKsb4GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKsb4GeSSSsfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GebGSBfr7Wg==,0.857143, 2022-04-09T15:45:58Z, 91831, 0.014636
QBXq3gAABwAB5OQ9879HguyEhPHg9KkBAKGMUg==,QBXq3gAABwAB5OQ987+EguzmhPHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879HguzmhPHg9KkBhKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9IQBAKGMUg==,0.875000, 2022-04-09T15:46:11Z, 104270, 0.015038
QBXq3gAACAABtnEGYBSOZlS9vUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBS9ZlRdvUPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdvUPrXEJYvf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXL1Y0/5Czg==,0.777778, 2022-04-09T15:46:23Z, 117157, 0.013384
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.800000, 2022-04-09T15:46:36Z, 129607, 0.013826
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.818182, 2022-04-09T15:46:49Z, 142284, 0.014169
QBXq3gAACwABeiMIbZ4A4j/7+8J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ774j9r+8J0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r+8J0NMwB+36ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NPsB/n6ucg==,0.833333, 2022-04-09T15:47:01Z, 154953, 0.014456
