TotalTime(ms),Throughput(kbp),PDR,data,time
412,0.543529,1.000000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:06Z
1416,0.316395,1.250000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:07Z
2416,0.278095,1.500000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:08Z
3432,0.261038,1.750000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:09Z
4442,0.252162,2.000000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:10Z
10458,0.128513,2.250000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:16Z
11473,0.136667,2.500000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:17Z
12481,0.143583,2.750000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:18Z
13490,0.149448,3.000000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:19Z
14497,0.154514,3.250000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:20Z
15511,0.158856,3.500000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:21Z
21535,0.124819,3.750000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:27Z
22550,0.129135,4.000000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:28Z
23553,0.133145,4.250000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:29Z
24559,0.136814,4.500000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:30Z
25564,0.140196,4.750000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:31Z
26581,0.143261,5.000000,AWcAAAJoAAMCAAAEAgAA,2022-04-11T13:28:32Z
