Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-04-07T20:35:44Z, 12718, 0.017613
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-04-07T20:35:57Z, 25366, 0.017661
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-04-07T20:36:09Z, 38043, 0.017664
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-04-07T20:36:22Z, 50708, 0.017670
QBXq3gAABAABsgROlhZJHbMipEhtWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTsuPXdA==,1.000000, 2022-04-07T20:36:35Z, 63382, 0.017671
QBXq3gAABQABE/I4jZO9THxHR0Knebips0vGGQ==,QBXq3gAABQABE/I4jZNHTHyFR0Knebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipR0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneUeps0vGGQ==,0.833333, 2022-04-07T20:36:48Z, 76272, 0.014684
QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSBfr7Wg==,0.857143, 2022-04-07T20:37:00Z, 88721, 0.015149
QBXq3gAABwAB5OQ9879HguytrfHg9KkBAKGMUg==,QBXq3gAABwAB5OQ987+tguzmrfHg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBraGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9K0BAKGMUg==,0.750000, 2022-04-07T20:37:13Z, 101614, 0.013227
QBXq3gAACAABtnEGYBSOZlRdzkPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJY0/5Czg==,0.777778, 2022-04-07T20:37:25Z, 114065, 0.013747
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.800000, 2022-04-07T20:37:38Z, 126735, 0.014140
QBXq3gAACgAB4J5MGLcM8Ibc3NHrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLfc8IZx3NHrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx43BIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.818182, 2022-04-07T20:37:51Z, 139406, 0.014461
QBXq3gAACwABeiMIbZ4A4j/V1cJ0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ7V4j9r1cJ0NMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwB1X6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NNUB/n6ucg==,0.833333, 2022-04-07T20:38:04Z, 152297, 0.014708
QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQcmtdZA==,0.846154, 2022-04-07T20:38:16Z, 164748, 0.014956
QBXq3gAADQAB5bM7t6M2OWsmJvXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6MmOWuZJvXO3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UJsVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3CaUDcVbbw==,0.857143, 2022-04-07T20:38:29Z, 177444, 0.015148
QBXq3gAADgABme9SPmYig5NERKJEC385ivmH7g==,QBXq3gAADgABme9SPmZEg5MJRKJEC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385RPmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC0Q5ivmH7g==,0.866667, 2022-04-07T20:38:41Z, 190135, 0.015315
QBXq3gAADwABlTZyzE3lFJQUFJQRU6Vm85mKEw==,QBXq3gAADwABlTZyzE0UFJR/FJQRU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6VmFJmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRUxRm85mKEw==,0.875000, 2022-04-07T20:38:54Z, 202986, 0.015449
QBXq3gAAEAABlNIBRlELWCKOodGbRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZcw1G7g==,0.882353, 2022-04-07T20:39:07Z, 215436, 0.015596
