Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,gBXq3gAAAAABXxWWztt8OmxEFLwWWlFiwDSnxg==,1, 2022-04-14T09:43:04Z,18514,0.012099
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1, 2022-04-14T09:43:16Z,30254,0.014808
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1, 2022-04-14T09:43:20Z,34798,0.019311
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1, 2022-04-14T09:43:24Z,38133,0.023497
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1, 2022-04-14T09:43:24Z,38139,0.029366
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1, 2022-04-14T09:43:24Z,38140,0.035239
gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,gBXq3gAAAQABBUkniXK9HIokbbRsblMYY11K2w==,1, 2022-04-14T09:43:24Z,38142,0.04111
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1, 2022-04-14T09:43:36Z,50652,0.035379
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1, 2022-04-14T09:43:40Z,54653,0.036887
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1, 2022-04-14T09:43:44Z,58630,0.038206
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1, 2022-04-14T09:43:44Z,58631,0.042026
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAUgN3MsX/Bn81Y3dg==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1, 2022-04-14T09:43:44Z,58633,0.045844
gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAUgN3MsX/Bn81Y3dg==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,gBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBn81Y0Ng==,1, 2022-04-14T09:43:44Z,58657,0.049645
gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,gBXq3gAAAwAB3eFsREAqgm/7X4CXCttbpw6gZQ==,1, 2022-04-14T09:43:58Z,72471,0.043272
gBXq3gAABAABsgROlhZJHbPtpEjtWWsTfUNPDA==,gBXq3gAABAABsgROlhbtHbMipEjtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEjtWWsT7UNPDA==,gBXq3gAABAABsgROlhZJHbMipARtBAQTfUNPDA==,1, 2022-04-14T09:44:12Z,86508,0.036251
gBXq3gAABAABsgROlhZJHbPtpEjtWWsTfUNPDA==,gBXq3gAABAABsgROlhbtHbMipEjtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEjtWWsT7UNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:18Z,92420,0.036356
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhbtHbMipEjtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEjtWWsT7UNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:18Z,92426,0.038777
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhbtHbMipEjtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:18Z,92428,0.0412
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXw3gAwZCChsgRN1hIdjeNkZEgdGkcbfVMVxA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:18Z,92430,0.043622
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhajHbMipEijWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:22Z,96446,0.044128
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhajHbMipEijWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:28Z,102428,0.043738
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:28Z,102434,0.045922
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:28Z,102439,0.048107
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:28Z,102440,0.050293
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:34Z,108348,0.049618
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:41Z,114834,0.048766
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:45Z,119479,0.048745
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:45Z,119484,0.050618
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:45Z,119485,0.052492
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:45Z,119491,0.054364
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:49Z,123387,0.054463
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:49Z,123398,0.056273
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:49Z,123409,0.058083
gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,gBXq3gAABAABsgROlhZJHbMipEhtWWsTfUNPDA==,1, 2022-04-14T09:44:49Z,123435,0.059886
gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,1, 2022-04-14T09:45:03Z,137336,0.055455
gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,1, 2022-04-14T09:45:07Z,141345,0.055467
gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,1, 2022-04-14T09:45:07Z,141352,0.057049
gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,1, 2022-04-14T09:45:07Z,141356,0.058632
gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,gBXq3gAABQABE/I4jZO9THyFHEKnebipXOpT0w==,1, 2022-04-14T09:45:07Z,141372,0.06021
