Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-04-12T18:59:45Z, 14119, 0.015865
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-04-12T18:59:58Z, 26707, 0.016775
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-04-12T19:00:11Z, 39380, 0.017064
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-04-12T19:00:23Z, 52048, 0.017215
QBXq3gAABAABsgROlhZJHbNmpEhmWWsTsuPXdA==,QBXq3gAABAABsgROlhZmHbMipEhmWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhmWWsTZuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWYTsuPXdA==,1.000000, 2022-04-12T19:00:36Z, 64861, 0.017268
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,1.000000, 2022-04-12T19:00:49Z, 77410, 0.017362
QBXq3gAABgABVMNJJTl9QPo1b741eSSSBfr7Wg==,QBXq3gAABgABVMNJJTk1QPqKb741eSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb741eSSSNfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeTWSBfr7Wg==,1.000000, 2022-04-12T19:01:01Z, 90065, 0.017410
QBXq3gAABwAB5OQ9879Hguyz2PGz9KkBAKGMUg==,QBXq3gAABwAB5OQ987+zguzm2PGz9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PGz9KkBs6GMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9LMBAKGMUg==,0.875000, 2022-04-12T19:01:14Z, 102952, 0.015230
QBXq3gAACAABtnEGYBSOZlQpzkMpXEJY0/5Czg==,QBXq3gAACAABtnEGYBQpZlRdzkMpXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkMpXEJYKf5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXClY0/5Czg==,0.777778, 2022-04-12T19:01:27Z, 115632, 0.013560
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.800000, 2022-04-12T19:01:39Z, 128112, 0.013988
QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4zhIZKg==,0.818182, 2022-04-12T19:01:52Z, 140744, 0.014324
QBXq3gAACwABeiMIbZ4A4j9m98JmNMwB/n6ucg==,QBXq3gAACwABeiMIbZ5m4j9r98JmNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98JmNMwBZn6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NGYB/n6ucg==,0.833333, 2022-04-12T19:02:05Z, 153570, 0.014586
