Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),Main Min Current (mA),Main Min Power (mW),Main Min Voltage (V),Main Max Current (mA),Main Max Power (mW),Main Max Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V),USB Min Current (mA),USB Min Power (mW),USB Min Voltage (V),USB Max Current (mA),USB Max Power (mW),USB Max Voltage (V)
0.0000,-0.003,-0.0151,5.018,-0.003,-0.0151,5.018,-0.003,-0.0151,5.018,62.67,0,0,-0.003,-0.0151,0,62.67,0,5.018
0.2000,-0.004,-0.0201,5.02,-0.047,-0.2358,0,64.584,0.1305,5.02,62.778,0,0,-0.047,-0.2358,0,64.584,0.1305,5.02
0.4000,-0.022,-0.1104,5.02,-0.053,-0.266,0,64.597,0.1305,5.02,62.604,0,0,-0.053,-0.266,0,64.597,0.1305,5.02
0.6000,-0.004,-0.0201,5.02,-0.053,-0.266,0,64.597,0.1305,5.02,62.618,0,0,-0.053,-0.266,0,64.597,0.1305,5.02
0.8000,-0.009,-0.0452,5.018,-0.053,-0.266,0,64.597,0.1305,5.02,62.713,0,0,-0.053,-0.266,0,64.597,0.1305,5.02
1.0000,-0.031,-0.1556,5.018,-0.053,-0.266,0,64.597,0.1305,5.02,62.632,0,0,-0.053,-0.266,0,64.597,0.1305,5.02
1.2000,-0.013,-0.0652,5.018,-0.053,-0.266,0,64.64,0.1305,5.022,62.848,0,0,-0.053,-0.266,0,64.64,0.1305,5.022
1.4000,-0.005,-0.0246,4.92,-0.053,-0.266,0,184.57,0.1305,5.024,181.578,0,0,-0.053,-0.266,0,184.57,0.1305,5.024
1.6000,-0.015,-0.0738,4.92,-0.053,-0.266,0,184.57,0.1305,5.024,181.551,0,0,-0.053,-0.266,0,184.57,0.1305,5.024
1.8000,-0.014,-0.0703,5.024,-0.053,-0.266,0,184.57,0.1305,5.026,57.026,0,0,-0.053,-0.266,0,184.57,0.1305,5.026
2.0000,-0.014,-0.0703,5.024,-0.053,-0.266,0,184.57,0.1305,5.026,56.877,0,0,-0.053,-0.266,0,184.57,0.1305,5.026
2.2000,-0.035,-0.1758,5.024,-0.053,-0.266,0,184.57,0.1305,5.026,56.985,0,0,-0.053,-0.266,0,184.57,0.1305,5.026
