PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-05-26T11:02:03Z, 14322, 0.015640
1.000000, 2022-05-26T11:02:15Z, 26975, 0.016608
1.000000, 2022-05-26T11:02:28Z, 39646, 0.016950
1.000000, 2022-05-26T11:02:41Z, 52311, 0.017128
1.000000, 2022-05-26T11:02:53Z, 65228, 0.017171
1.000000, 2022-05-26T11:03:06Z, 77906, 0.017252
1.000000, 2022-05-26T11:03:19Z, 90549, 0.017317
1.000000, 2022-05-26T11:03:31Z, 103219, 0.017361
1.000000, 2022-05-26T11:03:44Z, 115900, 0.017394
1.000000, 2022-05-26T11:03:57Z, 128347, 0.017453
1.000000, 2022-05-26T11:04:09Z, 141023, 0.017472
0.916667, 2022-05-26T11:04:22Z, 153904, 0.016010
0.923077, 2022-05-26T11:04:35Z, 166595, 0.016135
0.928571, 2022-05-26T11:04:47Z, 179251, 0.016245
0.933333, 2022-05-26T11:05:00Z, 191927, 0.016340
0.937500, 2022-05-26T11:05:13Z, 204908, 0.016398
0.941176, 2022-05-26T11:05:25Z, 217264, 0.016496
0.944444, 2022-05-26T11:05:38Z, 229765, 0.016573
0.947368, 2022-05-26T11:05:51Z, 242614, 0.016619
0.950000, 2022-05-26T11:06:03Z, 255064, 0.016686
0.952381, 2022-05-26T11:06:16Z, 267969, 0.016718
0.954545, 2022-05-26T11:06:29Z, 280625, 0.016763
0.956522, 2022-05-26T11:06:42Z, 293290, 0.016802
0.958333, 2022-05-26T11:06:54Z, 305741, 0.016851
0.960000, 2022-05-26T11:07:07Z, 318641, 0.016872
0.961538, 2022-05-26T11:07:20Z, 331320, 0.016902
0.962963, 2022-05-26T11:07:32Z, 344010, 0.016930
0.964286, 2022-05-26T11:07:45Z, 356437, 0.016968
0.965517, 2022-05-26T11:07:58Z, 369326, 0.016982
0.966667, 2022-05-26T11:08:10Z, 381845, 0.017012
0.967742, 2022-05-26T11:08:23Z, 394666, 0.017027
0.968750, 2022-05-26T11:08:35Z, 407119, 0.017056
0.969697, 2022-05-26T11:08:48Z, 419790, 0.017075
0.970588, 2022-05-26T11:09:01Z, 432676, 0.017084
0.971429, 2022-05-26T11:09:13Z, 445123, 0.017110
0.972222, 2022-05-26T11:09:26Z, 458067, 0.017115
0.972973, 2022-05-26T11:09:39Z, 470711, 0.017132
0.973684, 2022-05-26T11:09:51Z, 483143, 0.017154
0.974359, 2022-05-26T11:10:04Z, 495811, 0.017168
0.950000, 2022-05-26T11:10:17Z, 508747, 0.016731
0.951220, 2022-05-26T11:10:30Z, 521413, 0.016754
0.952381, 2022-05-26T11:10:42Z, 533830, 0.016784
0.953488, 2022-05-26T11:10:55Z, 546718, 0.016798
0.954545, 2022-05-26T11:11:07Z, 559190, 0.016824
0.955556, 2022-05-26T11:11:20Z, 571847, 0.016844
0.956522, 2022-05-26T11:11:33Z, 584730, 0.016856
0.957447, 2022-05-26T11:11:45Z, 597192, 0.016879
0.958333, 2022-05-26T11:11:58Z, 609862, 0.016896
0.938776, 2022-05-26T11:12:11Z, 622759, 0.016546
0.940000, 2022-05-26T11:12:24Z, 635420, 0.016569
0.941176, 2022-05-26T11:12:36Z, 647883, 0.016596
0.942308, 2022-05-26T11:12:49Z, 660542, 0.016617
0.943396, 2022-05-26T11:13:02Z, 673436, 0.016631
0.944444, 2022-05-26T11:13:14Z, 685899, 0.016656
0.945455, 2022-05-26T11:13:27Z, 698857, 0.016667
0.946429, 2022-05-26T11:13:52Z, 723944, 0.016399
0.947368, 2022-05-26T11:14:05Z, 736575, 0.016422
0.948276, 2022-05-26T11:14:17Z, 749241, 0.016443
0.949153, 2022-05-26T11:14:30Z, 761913, 0.016464
0.950000, 2022-05-26T11:14:43Z, 774582, 0.016484
0.950820, 2022-05-26T11:14:56Z, 787688, 0.016494
0.951613, 2022-05-26T11:15:08Z, 799936, 0.016521
0.952381, 2022-05-26T11:15:21Z, 812623, 0.016539
0.953125, 2022-05-26T11:15:33Z, 825266, 0.016557
0.953846, 2022-05-26T11:15:46Z, 837961, 0.016574
0.954545, 2022-05-26T11:15:59Z, 850617, 0.016590
0.955224, 2022-05-26T11:16:12Z, 863290, 0.016606
0.955882, 2022-05-26T11:16:24Z, 875954, 0.016622
0.956522, 2022-05-26T11:16:37Z, 888625, 0.016637
0.957143, 2022-05-26T11:17:02Z, 913991, 0.016420
0.957746, 2022-05-26T11:17:15Z, 926865, 0.016434
0.958333, 2022-05-26T11:17:28Z, 939312, 0.016455
0.958904, 2022-05-26T11:17:40Z, 951987, 0.016471
0.959459, 2022-05-26T11:17:53Z, 964735, 0.016485
0.960000, 2022-05-26T11:18:06Z, 977550, 0.016498
0.960526, 2022-05-26T11:18:18Z, 990082, 0.016516
0.961039, 2022-05-26T11:18:31Z, 1002909, 0.016528
0.961538, 2022-05-26T11:18:44Z, 1015394, 0.016545
0.949367, 2022-05-26T11:18:56Z, 1028277, 0.016338
0.950000, 2022-05-26T11:19:09Z, 1040691, 0.016358
0.950617, 2022-05-26T11:19:22Z, 1053357, 0.016374
0.951220, 2022-05-26T11:19:34Z, 1066033, 0.016390
0.939759, 2022-05-26T11:19:47Z, 1078929, 0.016194
0.940476, 2022-05-26T11:20:12Z, 1104048, 0.016028
0.941176, 2022-05-26T11:20:25Z, 1117171, 0.016041
0.941860, 2022-05-26T11:20:38Z, 1129664, 0.016061
0.942529, 2022-05-26T11:20:50Z, 1142079, 0.016083
0.931818, 2022-05-26T11:21:03Z, 1154983, 0.015903
0.921348, 2022-05-26T11:21:16Z, 1167744, 0.015729
0.911111, 2022-05-26T11:21:29Z, 1180313, 0.015562
0.912088, 2022-05-26T11:21:41Z, 1192860, 0.015586
0.913043, 2022-05-26T11:21:54Z, 1205433, 0.015609
0.913978, 2022-05-26T11:22:07Z, 1218467, 0.015626
0.914894, 2022-05-26T11:22:19Z, 1230760, 0.015652
0.915789, 2022-05-26T11:22:32Z, 1243454, 0.015672
0.906250, 2022-05-26T11:22:45Z, 1256410, 0.015511
0.896907, 2022-05-26T11:22:57Z, 1268991, 0.015357
0.897959, 2022-05-26T11:23:10Z, 1281674, 0.015380
0.898990, 2022-05-26T11:23:22Z, 1294120, 0.015405
0.900000, 2022-05-26T11:23:35Z, 1306940, 0.015425
0.900990, 2022-05-26T11:23:48Z, 1319493, 0.015448
0.892157, 2022-05-26T11:24:01Z, 1332398, 0.015299
0.883495, 2022-05-26T11:24:13Z, 1345028, 0.015155
0.884615, 2022-05-26T11:24:26Z, 1357475, 0.015181
0.885714, 2022-05-26T11:24:38Z, 1370197, 0.015204
0.886792, 2022-05-26T11:24:51Z, 1383036, 0.015224
0.887850, 2022-05-26T11:25:04Z, 1395525, 0.015249
0.888889, 2022-05-26T11:25:16Z, 1408177, 0.015271
0.889908, 2022-05-26T11:25:29Z, 1420836, 0.015292
0.881818, 2022-05-26T11:25:42Z, 1433730, 0.015155
0.882883, 2022-05-26T11:25:54Z, 1446184, 0.015179
0.883929, 2022-05-26T11:26:07Z, 1458859, 0.015201
0.884956, 2022-05-26T11:26:20Z, 1471555, 0.015222
0.885965, 2022-05-26T11:26:33Z, 1484434, 0.015241
0.886957, 2022-05-26T11:26:45Z, 1497076, 0.015262
0.887931, 2022-05-26T11:26:58Z, 1509548, 0.015284
0.888889, 2022-05-26T11:27:11Z, 1522454, 0.015302
0.881356, 2022-05-26T11:27:23Z, 1535102, 0.015176
0.873950, 2022-05-26T11:27:36Z, 1547794, 0.015051
0.875000, 2022-05-26T11:27:48Z, 1560229, 0.015075
0.876033, 2022-05-26T11:28:01Z, 1572913, 0.015096
0.877049, 2022-05-26T11:28:14Z, 1585685, 0.015115
0.878049, 2022-05-26T11:28:27Z, 1598448, 0.015135
0.870968, 2022-05-26T11:28:39Z, 1611135, 0.015016
0.872000, 2022-05-26T11:28:52Z, 1623582, 0.015038
0.873016, 2022-05-26T11:29:05Z, 1636792, 0.015054
0.874016, 2022-05-26T11:29:28Z, 1660140, 0.014977
0.875000, 2022-05-26T11:29:30Z, 1661820, 0.015097
0.875969, 2022-05-26T11:29:42Z, 1674287, 0.015118
0.869231, 2022-05-26T11:29:55Z, 1687195, 0.015002
0.862595, 2022-05-26T11:30:08Z, 1699835, 0.014891
0.863636, 2022-05-26T11:30:21Z, 1712446, 0.014912
0.857143, 2022-05-26T11:30:33Z, 1725177, 0.014802
0.858209, 2022-05-26T11:30:46Z, 1737635, 0.014825
0.859259, 2022-05-26T11:30:59Z, 1750291, 0.014846
0.860294, 2022-05-26T11:31:11Z, 1763052, 0.014865
0.861314, 2022-05-26T11:31:24Z, 1775706, 0.014885
0.862319, 2022-05-26T11:31:42Z, 1794002, 0.014858
0.863309, 2022-05-26T11:31:50Z, 1801463, 0.014921
