PDR,time,TotalTime(ms),Throughput(kbp)
1, 2022-05-22T20:40:23Z,13965,0.01604
1, 2022-05-22T20:40:35Z,26631,0.016823
1, 2022-05-22T20:40:48Z,39304,0.017097
1, 2022-05-22T20:41:01Z,51977,0.017238
1, 2022-05-22T20:41:14Z,64866,0.017266
1, 2022-05-22T20:41:26Z,77539,0.017333
1, 2022-05-22T20:41:39Z,90213,0.017381
0.875, 2022-05-22T20:41:52Z,102876,0.015242
0.888889, 2022-05-22T20:42:04Z,115555,0.015508
0.9, 2022-05-22T20:42:17Z,128008,0.015749
0.818182, 2022-05-22T20:42:30Z,140896,0.014308
0.833333, 2022-05-22T20:42:42Z,153564,0.014587
0.769231, 2022-05-22T20:42:55Z,166236,0.013475
0.714286, 2022-05-22T20:43:08Z,178902,0.012521
0.733333, 2022-05-22T20:43:20Z,191575,0.012862
0.75, 2022-05-22T20:43:33Z,204246,0.013161
0.705882, 2022-05-22T20:43:46Z,216915,0.012392
0.722222, 2022-05-22T20:43:58Z,229371,0.012696
0.736842, 2022-05-22T20:44:11Z,242266,0.012944
0.75, 2022-05-22T20:44:23Z,254711,0.013191
0.714286, 2022-05-22T20:44:36Z,267607,0.012556
0.727273, 2022-05-22T20:44:49Z,280277,0.012787
0.73913, 2022-05-22T20:45:02Z,292952,0.012999
0.75, 2022-05-22T20:45:14Z,305400,0.013202
0.72, 2022-05-22T20:45:27Z,318291,0.012668
0.730769, 2022-05-22T20:45:40Z,330965,0.012859
0.740741, 2022-05-22T20:45:52Z,343636,0.013037
0.75, 2022-05-22T20:46:05Z,356088,0.01321
0.758621, 2022-05-22T20:46:17Z,368773,0.013363
0.766667, 2022-05-22T20:46:30Z,381431,0.013507
0.741935, 2022-05-22T20:46:43Z,394317,0.013066
0.75, 2022-05-22T20:46:55Z,406773,0.013216
0.757576, 2022-05-22T20:47:08Z,419661,0.013344
0.735294, 2022-05-22T20:47:21Z,432332,0.012953
0.742857, 2022-05-22T20:47:34Z,444868,0.013092
0.75, 2022-05-22T20:47:46Z,457682,0.013214
0.72973, 2022-05-22T20:47:59Z,470349,0.012859
0.736842, 2022-05-22T20:48:11Z,482800,0.012991
0.74359, 2022-05-22T20:48:24Z,495472,0.013111
0.75, 2022-05-22T20:48:37Z,508376,0.013219
0.756098, 2022-05-22T20:48:49Z,520815,0.013333
0.761905, 2022-05-22T20:49:02Z,533570,0.013434
0.767442, 2022-05-22T20:49:15Z,546378,0.013529
0.772727, 2022-05-22T20:49:27Z,558833,0.013628
0.777778, 2022-05-22T20:49:40Z,571578,0.013716
0.782609, 2022-05-22T20:49:53Z,584392,0.013799
0.787234, 2022-05-22T20:50:06Z,596842,0.013886
0.791667, 2022-05-22T20:50:18Z,609522,0.013965
0.795918, 2022-05-22T20:50:31Z,622415,0.014036
0.8, 2022-05-22T20:50:44Z,635018,0.01411
0.803922, 2022-05-22T20:50:56Z,647624,0.014181
0.807692, 2022-05-22T20:51:09Z,660201,0.01425
0.792453, 2022-05-22T20:51:22Z,673097,0.013977
0.796296, 2022-05-22T20:51:34Z,685557,0.01405
0.781818, 2022-05-22T20:51:47Z,698431,0.013791
0.785714, 2022-05-22T20:52:12Z,723782,0.013617
0.789474, 2022-05-22T20:52:25Z,736233,0.013691
0.793103, 2022-05-22T20:52:38Z,748966,0.013758
0.79661, 2022-05-22T20:52:50Z,761567,0.013824
0.8, 2022-05-22T20:53:03Z,774499,0.013883
0.803279, 2022-05-22T20:53:16Z,786918,0.013948
0.806452, 2022-05-22T20:53:28Z,799591,0.014007
0.809524, 2022-05-22T20:53:41Z,812479,0.014061
0.796875, 2022-05-22T20:53:54Z,825146,0.013845
0.784615, 2022-05-22T20:54:06Z,837821,0.013635
0.772727, 2022-05-22T20:54:19Z,850494,0.013432
0.776119, 2022-05-22T20:54:32Z,862948,0.013498
0.779412, 2022-05-22T20:54:45Z,875837,0.013555
0.782609, 2022-05-22T20:54:57Z,888286,0.013617
0.785714, 2022-05-22T20:55:10Z,901178,0.013671
0.788732, 2022-05-22T20:55:22Z,913662,0.013729
0.791667, 2022-05-22T20:55:35Z,926517,0.013781
0.794521, 2022-05-22T20:55:48Z,938975,0.013836
0.797297, 2022-05-22T20:56:00Z,951641,0.013888
0.8, 2022-05-22T20:56:13Z,964539,0.013934
0.802632, 2022-05-22T20:56:26Z,977210,0.013983
0.805195, 2022-05-22T20:56:39Z,989877,0.01403
0.794872, 2022-05-22T20:56:51Z,1002548,0.013853
0.797468, 2022-05-22T20:57:04Z,1015002,0.013903
0.8, 2022-05-22T20:57:16Z,1027706,0.01395
0.802469, 2022-05-22T20:57:29Z,1040345,0.013995
0.804878, 2022-05-22T20:57:42Z,1053020,0.01404
0.807229, 2022-05-22T20:57:54Z,1065687,0.014083
0.809524, 2022-05-22T20:58:07Z,1078451,0.014124
0.811765, 2022-05-22T20:58:20Z,1091255,0.014164
0.813953, 2022-05-22T20:58:32Z,1103700,0.014207
0.816092, 2022-05-22T20:58:45Z,1116371,0.014246
0.806818, 2022-05-22T20:58:58Z,1129264,0.014084
0.808989, 2022-05-22T20:59:10Z,1141716,0.014126
0.811111, 2022-05-22T20:59:23Z,1154685,0.014161
0.813187, 2022-05-22T20:59:36Z,1167279,0.014201
0.804348, 2022-05-22T20:59:49Z,1179954,0.014048
0.806452, 2022-05-22T21:00:01Z,1192408,0.014089
0.808511, 2022-05-22T21:00:14Z,1205071,0.014127
0.810526, 2022-05-22T21:00:26Z,1217763,0.014164
0.8125, 2022-05-22T21:00:39Z,1230638,0.014198
0.814433, 2022-05-22T21:00:52Z,1243089,0.014236
0.816327, 2022-05-22T21:01:05Z,1255983,0.014268
0.818182, 2022-05-22T21:01:17Z,1268436,0.014304
0.82, 2022-05-22T21:01:30Z,1281320,0.014335
0.821782, 2022-05-22T21:01:42Z,1293772,0.01437
0.823529, 2022-05-22T21:01:55Z,1306664,0.0144
0.825243, 2022-05-22T21:02:08Z,1319115,0.014434
0.826923, 2022-05-22T21:02:20Z,1331798,0.014465
0.828571, 2022-05-22T21:02:33Z,1344683,0.014493
0.830189, 2022-05-22T21:02:46Z,1357130,0.014525
0.831776, 2022-05-22T21:02:58Z,1369803,0.014554
0.824074, 2022-05-22T21:03:11Z,1382696,0.014418
0.825688, 2022-05-22T21:03:24Z,1395149,0.01445
0.818182, 2022-05-22T21:03:37Z,1408042,0.014318
0.81982, 2022-05-22T21:03:49Z,1420489,0.01435
0.821429, 2022-05-22T21:04:02Z,1433226,0.014379
0.823009, 2022-05-22T21:04:14Z,1445833,0.014408
0.824561, 2022-05-22T21:04:27Z,1458725,0.014435
0.826087, 2022-05-22T21:04:40Z,1471398,0.014462
0.818966, 2022-05-22T21:04:53Z,1484067,0.014339
0.811966, 2022-05-22T21:05:05Z,1496743,0.014218
0.813559, 2022-05-22T21:05:18Z,1509188,0.014249
0.806723, 2022-05-22T21:05:31Z,1522081,0.014128
0.8, 2022-05-22T21:05:43Z,1534755,0.014011
0.793388, 2022-05-22T21:05:56Z,1547428,0.013897
0.795082, 2022-05-22T21:06:09Z,1559882,0.013929
0.796748, 2022-05-22T21:06:21Z,1572552,0.013959
0.790323, 2022-05-22T21:06:34Z,1585440,0.013846
0.792, 2022-05-22T21:06:47Z,1598107,0.013876
0.785714, 2022-05-22T21:06:59Z,1610780,0.013767
0.787402, 2022-05-22T21:07:12Z,1623236,0.0138
0.789062, 2022-05-22T21:07:25Z,1636130,0.013828
0.790698, 2022-05-22T21:07:37Z,1648578,0.013859
0.792308, 2022-05-22T21:07:50Z,1661467,0.013887
0.793893, 2022-05-22T21:08:03Z,1673987,0.013916
0.795455, 2022-05-22T21:08:15Z,1686815,0.013943
0.789474, 2022-05-22T21:08:28Z,1699483,0.01384
0.791045, 2022-05-22T21:08:41Z,1711933,0.01387
0.792593, 2022-05-22T21:08:53Z,1724825,0.013896
0.786765, 2022-05-22T21:09:06Z,1737505,0.013794
0.788321, 2022-05-22T21:09:19Z,1749946,0.013824
0.789855, 2022-05-22T21:09:32Z,1762839,0.01385
0.791367, 2022-05-22T21:09:44Z,1775288,0.013879
0.792857, 2022-05-22T21:09:57Z,1788185,0.013905
0.793860, 2022-05-22T21:10:09Z,1800645,0.013933
