Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-05-21T10:55:54Z, 15576, 0.014381
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-05-21T10:56:07Z, 28252, 0.015857
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-05-21T10:56:20Z, 40920, 0.016422
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-05-21T10:56:32Z, 53590, 0.016720
QBXq3gAABAABsgROlhZJHbPGpEjGWWsTsuPXdA==,QBXq3gAABAABsgROlhbGHbMipEjGWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTxuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWcYTsuPXdA==,1.000000, 2022-05-21T10:56:45Z, 66284, 0.016897
QBXq3gAABQABE/I4jZO9THxlHEJlebips0vGGQ==,QBXq3gAABQABE/I4jZNlTHyFHEJlebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipZUvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneWWps0vGGQ==,1.000000, 2022-05-21T10:56:58Z, 79015, 0.017009
QBXq3gAABgABVMNJJTl9QPrRb77ReSSSBfr7Wg==,QBXq3gAABgABVMNJJTnRQPqKb77ReSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSS0fr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GedGSBfr7Wg==,1.000000, 2022-05-21T10:57:11Z, 91825, 0.017076
QBXq3gAABwAB5OQ9879HguzC2PHC9KkBAKGMUg==,QBXq3gAABwAB5OQ987/Cguzm2PHC9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBwqGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9MIBAKGMUg==,1.000000, 2022-05-21T10:57:23Z, 104291, 0.017183
QBXq3gAACAABtnEGYBSOZlTYzkPYXEJY0/5Czg==,QBXq3gAACAABtnEGYBTYZlRdzkPYXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJY2P5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXNhY0/5Czg==,1.000000, 2022-05-21T10:57:36Z, 116957, 0.017237
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,1.000000, 2022-05-21T10:57:48Z, 129626, 0.017280
