PDR,time,TotalTime(ms),Throughput(kbp)
1, 2022-05-21T10:55:54Z,15576,0.014381
1, 2022-05-21T10:56:07Z,28252,0.015857
1, 2022-05-21T10:56:20Z,40920,0.016422
1, 2022-05-21T10:56:32Z,53590,0.01672
1, 2022-05-21T10:56:45Z,66284,0.016897
1, 2022-05-21T10:56:58Z,79015,0.017009
1, 2022-05-21T10:57:11Z,91825,0.017076
1, 2022-05-21T10:57:23Z,104291,0.017183
1, 2022-05-21T10:57:36Z,116957,0.017237
1, 2022-05-21T10:57:48Z,129626,0.01728
1, 2022-05-21T10:58:01Z,142513,0.01729
1, 2022-05-21T10:58:14Z,154979,0.017344
1, 2022-05-21T10:58:27Z,167856,0.017348
1, 2022-05-21T10:58:39Z,180318,0.017391
1, 2022-05-21T10:58:52Z,192991,0.01741
1, 2022-05-21T10:59:05Z,205696,0.017424
1, 2022-05-21T10:59:17Z,218325,0.017442
1, 2022-05-21T10:59:30Z,230990,0.017455
1, 2022-05-21T10:59:43Z,243809,0.017456
1, 2022-05-21T10:59:55Z,256339,0.017477
1, 2022-05-21T11:00:08Z,269021,0.017486
1, 2022-05-21T11:00:21Z,281693,0.017494
1, 2022-05-21T11:00:33Z,294541,0.017492
1, 2022-05-21T11:00:46Z,307020,0.01751
1, 2022-05-21T11:00:59Z,319917,0.017505
1, 2022-05-21T11:01:11Z,332398,0.017521
1, 2022-05-21T11:01:24Z,345255,0.017517
1, 2022-05-21T11:01:37Z,357711,0.017534
1, 2022-05-21T11:01:49Z,370435,0.017536
1, 2022-05-21T11:02:02Z,383055,0.017543
1, 2022-05-21T11:02:15Z,395762,0.017546
1, 2022-05-21T11:02:27Z,408396,0.017552
1, 2022-05-21T11:02:40Z,421074,0.017555
1, 2022-05-21T11:02:53Z,433744,0.017559
1, 2022-05-21T11:03:05Z,446416,0.017562
1, 2022-05-21T11:03:18Z,459089,0.017565
1, 2022-05-21T11:03:31Z,471994,0.01756
1, 2022-05-21T11:03:43Z,484429,0.017571
1, 2022-05-21T11:03:56Z,497099,0.017574
1, 2022-05-21T11:04:09Z,509779,0.017576
1, 2022-05-21T11:04:21Z,522441,0.017579
1, 2022-05-21T11:04:34Z,535114,0.017581
1, 2022-05-21T11:04:47Z,548007,0.017576
1, 2022-05-21T11:04:59Z,560455,0.017586
1, 2022-05-21T11:05:12Z,573136,0.017587
1, 2022-05-21T11:05:25Z,585811,0.017589
1, 2022-05-21T11:05:37Z,598477,0.017591
1, 2022-05-21T11:05:50Z,611148,0.017593
1, 2022-05-21T11:06:03Z,624039,0.017589
1, 2022-05-21T11:06:15Z,636488,0.017597
1, 2022-05-21T11:06:28Z,649375,0.017592
1, 2022-05-21T11:06:41Z,661831,0.0176
1, 2022-05-21T11:06:53Z,674647,0.017597
1, 2022-05-21T11:07:06Z,687178,0.017602
1, 2022-05-21T11:07:19Z,700063,0.017598
1, 2022-05-21T11:07:31Z,712588,0.017603
0.982456, 2022-05-21T11:07:44Z,725412,0.017292
0.982759, 2022-05-21T11:07:57Z,737867,0.017304
0.983051, 2022-05-21T11:08:09Z,750531,0.01731
0.983333, 2022-05-21T11:08:22Z,763208,0.017316
0.983607, 2022-05-21T11:08:35Z,776098,0.017317
0.983871, 2022-05-21T11:08:47Z,788553,0.017328
0.984127, 2022-05-21T11:09:00Z,801289,0.017332
0.984375, 2022-05-21T11:09:13Z,814112,0.017334
0.984615, 2022-05-21T11:09:25Z,826577,0.017344
0.984848, 2022-05-21T11:09:38Z,839240,0.017349
0.985075, 2022-05-21T11:09:51Z,851979,0.017353
0.985294, 2022-05-21T11:10:03Z,864585,0.017359
0.971014, 2022-05-21T11:10:16Z,877482,0.017103
0.971429, 2022-05-21T11:10:29Z,889930,0.017116
0.971831, 2022-05-21T11:10:41Z,902599,0.017124
0.972222, 2022-05-21T11:10:54Z,915265,0.017132
0.972603, 2022-05-21T11:11:07Z,927949,0.017139
0.972973, 2022-05-21T11:11:19Z,940605,0.017146
0.973333, 2022-05-21T11:11:32Z,953279,0.017153
0.973684, 2022-05-21T11:11:45Z,966179,0.017156
0.974026, 2022-05-21T11:11:58Z,978852,0.017163
0.974359, 2022-05-21T11:12:10Z,991301,0.017173
0.974684, 2022-05-21T11:12:23Z,1003971,0.01718
0.975, 2022-05-21T11:12:35Z,1016641,0.017186
0.975309, 2022-05-21T11:12:48Z,1029311,0.017192
0.97561, 2022-05-21T11:13:01Z,1042000,0.017198
0.975904, 2022-05-21T11:13:13Z,1054655,0.017204
0.97619, 2022-05-21T11:13:26Z,1067325,0.017209
0.976471, 2022-05-21T11:13:39Z,1080020,0.017214
0.976744, 2022-05-21T11:13:51Z,1092670,0.01722
0.977011, 2022-05-21T11:14:04Z,1105347,0.017225
0.977273, 2022-05-21T11:14:17Z,1118014,0.017231
0.977528, 2022-05-21T11:14:42Z,1143358,0.017045
0.977778, 2022-05-21T11:14:55Z,1156251,0.017048
0.978022, 2022-05-21T11:15:08Z,1168714,0.017058
0.978261, 2022-05-21T11:15:20Z,1181602,0.017062
0.978495, 2022-05-21T11:15:33Z,1194040,0.017071
0.978723, 2022-05-21T11:15:46Z,1206721,0.017078
0.978947, 2022-05-21T11:15:58Z,1219556,0.017082
0.979167, 2022-05-21T11:16:11Z,1232067,0.01709
0.979381, 2022-05-21T11:16:24Z,1244735,0.017096
0.979592, 2022-05-21T11:16:36Z,1257625,0.017099
0.979798, 2022-05-21T11:16:49Z,1270079,0.017108
0.98, 2022-05-21T11:17:02Z,1282969,0.01711
0.980198, 2022-05-21T11:17:14Z,1295419,0.017119
0.980392, 2022-05-21T11:17:27Z,1308112,0.017124
0.980583, 2022-05-21T11:17:40Z,1320763,0.017129
0.980769, 2022-05-21T11:17:52Z,1333441,0.017135
0.980952, 2022-05-21T11:18:05Z,1346260,0.017138
0.981132, 2022-05-21T11:18:18Z,1358770,0.017145
0.981308, 2022-05-21T11:18:30Z,1371453,0.01715
0.972222, 2022-05-21T11:18:43Z,1384339,0.01699
0.972477, 2022-05-21T11:18:56Z,1396793,0.016999
