PDR,time,TotalTime(ms),Throughput(kbp)
0.95, 2022-06-01T15:12:12Z,13234,0.016926
0.95, 2022-06-01T15:12:24Z,25825,0.017348
0.95, 2022-06-01T15:12:37Z,38511,0.01745
0.95, 2022-06-01T15:12:50Z,51167,0.017511
0.95, 2022-06-01T15:13:03Z,64073,0.01748
0.783333, 2022-06-01T15:13:15Z,76742,0.014594
0.664286, 2022-06-01T15:13:28Z,89407,0.012527
0.7, 2022-06-01T15:13:41Z,102073,0.013167
0.616667, 2022-06-01T15:13:53Z,114748,0.011713
0.55, 2022-06-01T15:14:19Z,140085,0.009594
0.495455, 2022-06-01T15:14:31Z,152784,0.008797
0.533333, 2022-06-01T15:14:44Z,165293,0.009486
0.565385, 2022-06-01T15:14:57Z,177884,0.010074
0.521429, 2022-06-01T15:15:09Z,190774,0.009393
0.55, 2022-06-01T15:15:22Z,203445,0.009909
0.575, 2022-06-01T15:15:35Z,215896,0.010375
0.597059, 2022-06-01T15:15:47Z,228568,0.01078
0.561111, 2022-06-01T15:16:00Z,241458,0.010205
0.581579, 2022-06-01T15:16:13Z,253936,0.010585
0.6, 2022-06-01T15:16:25Z,266601,0.010923
0.616667, 2022-06-01T15:16:38Z,279256,0.01123
0.631818, 2022-06-01T15:16:51Z,292099,0.011503
0.645652, 2022-06-01T15:17:03Z,304593,0.011767
0.658333, 2022-06-01T15:17:16Z,317487,0.011994
0.63, 2022-06-01T15:17:29Z,330160,0.011534
0.603846, 2022-06-01T15:17:41Z,342830,0.011108
0.616667, 2022-06-01T15:17:54Z,355298,0.011348
0.592857, 2022-06-01T15:18:07Z,368170,0.010951
0.605172, 2022-06-01T15:18:19Z,380629,0.011181
0.616667, 2022-06-01T15:18:32Z,393449,0.011386
0.627419, 2022-06-01T15:18:45Z,405978,0.011587
0.60625, 2022-06-01T15:18:58Z,418864,0.01123
0.586364, 2022-06-01T15:19:10Z,431540,0.0109
0.597059, 2022-06-01T15:19:23Z,443989,0.011099
0.578571, 2022-06-01T15:19:36Z,456891,0.010786
0.561111, 2022-06-01T15:19:48Z,469556,0.010495
0.571622, 2022-06-01T15:20:01Z,482007,0.010689
0.581579, 2022-06-01T15:20:13Z,494675,0.010868
0.591026, 2022-06-01T15:20:26Z,507583,0.011033
