Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-06-02T16:17:24Z, 13979, 0.016024
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-06-02T16:17:37Z, 26653, 0.016809
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-06-02T16:17:49Z, 39326, 0.017088
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-06-02T16:18:02Z, 52007, 0.017228
QBXq3gAABAABsgROlhZJHbMipEgiWWsTsuPXdA==,QBXq3gAABAABsgROlhYiHbMipEgiWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTIuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWSITsuPXdA==,1.000000, 2022-06-02T16:18:15Z, 64707, 0.017309
QBXq3gAABQABE/I4jZO9THxfHEJfebips0vGGQ==,QBXq3gAABQABE/I4jZO4THyFHEK4ebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipuEvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,0.833333, 2022-06-02T16:18:28Z, 77557, 0.014441
QBXq3gAABgABVMNJJTl9QPpLb75LeSSSBfr7Wg==,QBXq3gAABgABVMNJJTlLQPqKb75LeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSS/r7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeUuSBfr7Wg==,0.857143, 2022-06-02T16:18:40Z, 90225, 0.014896
QBXq3gAABwAB5OQ9879Hguwb2PEb9KkBAKGMUg==,QBXq3gAABwAB5OQ9878bguzm2PEb9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBG6GMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9BsBAKGMUg==,0.750000, 2022-06-02T16:18:53Z, 102940, 0.013056
QBXq3gAACAABtnEGYBSOZlQ9zkM9XEJY0/5Czg==,QBXq3gAACAABtnEGYBTAZlRdzkPAXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYwP5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXMBY0/5Czg==,0.777778, 2022-06-02T16:19:06Z, 115570, 0.013568
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.800000, 2022-06-02T16:19:18Z, 128022, 0.013998
