PDR,time,TotalTime(ms),Throughput(kbp)
0.96, 2022-06-02T16:17:24Z,13979,0.016024
0.96, 2022-06-02T16:17:37Z,26653,0.016809
0.96, 2022-06-02T16:17:49Z,39326,0.017088
0.96, 2022-06-02T16:18:02Z,52007,0.017228
0.96, 2022-06-02T16:18:15Z,64707,0.017309
0.793333, 2022-06-02T16:18:28Z,77557,0.014441
0.817143, 2022-06-02T16:18:40Z,90225,0.014896
0.71, 2022-06-02T16:18:53Z,102940,0.013056
0.737778, 2022-06-02T16:19:06Z,115570,0.013568
0.76, 2022-06-02T16:19:18Z,128022,0.013998
0.778182, 2022-06-02T16:19:31Z,140911,0.014307
0.71, 2022-06-02T16:19:44Z,153585,0.013126
0.652308, 2022-06-02T16:19:56Z,166258,0.012126
0.674286, 2022-06-02T16:20:09Z,178729,0.012533
0.626667, 2022-06-02T16:20:22Z,191604,0.011691
0.6475, 2022-06-02T16:20:34Z,204264,0.012063
0.665882, 2022-06-02T16:20:47Z,216940,0.012391
0.682222, 2022-06-02T16:21:12Z,242277,0.012019
0.696842, 2022-06-02T16:21:25Z,254733,0.012311
0.66, 2022-06-02T16:21:38Z,267620,0.011718
0.674286, 2022-06-02T16:21:50Z,280294,0.011987
0.641818, 2022-06-02T16:22:03Z,292967,0.011469
0.655652, 2022-06-02T16:22:16Z,305419,0.011735
0.626667, 2022-06-02T16:22:28Z,318317,0.011259
0.64, 2022-06-02T16:22:41Z,330800,0.011511
0.613846, 2022-06-02T16:22:54Z,343652,0.011081
0.626667, 2022-06-02T16:23:06Z,356107,0.011322
0.602857, 2022-06-02T16:23:19Z,368998,0.010927
0.615172, 2022-06-02T16:23:32Z,381448,0.011157
0.593333, 2022-06-02T16:23:45Z,394342,0.010793
0.605161, 2022-06-02T16:23:57Z,406805,0.011013
0.61625, 2022-06-02T16:24:10Z,419526,0.011213
0.596364, 2022-06-02T16:24:23Z,432351,0.01088
0.607059, 2022-06-02T16:24:35Z,444808,0.011079
0.617143, 2022-06-02T16:24:48Z,457489,0.011261
0.626667, 2022-06-02T16:25:01Z,470369,0.011429
0.635676, 2022-06-02T16:25:13Z,482825,0.011598
0.644211, 2022-06-02T16:25:26Z,495515,0.011753
0.626667, 2022-06-02T16:25:39Z,508385,0.011456
0.635, 2022-06-02T16:25:51Z,521063,0.011607
0.642927, 2022-06-02T16:26:04Z,533504,0.011756
0.626667, 2022-06-02T16:26:17Z,546403,0.011479
0.634419, 2022-06-02T16:26:29Z,558855,0.011624
0.619091, 2022-06-02T16:26:42Z,571741,0.011362
0.604444, 2022-06-02T16:26:55Z,584413,0.011115
0.612174, 2022-06-02T16:27:07Z,596869,0.011259
0.619574, 2022-06-02T16:27:20Z,609537,0.011392
0.605833, 2022-06-02T16:27:33Z,622428,0.011156
0.613061, 2022-06-02T16:27:45Z,635100,0.011286
0.62, 2022-06-02T16:27:58Z,647698,0.011413
0.626667, 2022-06-02T16:28:10Z,660224,0.011535
0.633077, 2022-06-02T16:28:23Z,673117,0.011647
0.639245, 2022-06-02T16:28:36Z,685567,0.011763
0.645185, 2022-06-02T16:28:49Z,698486,0.011866
0.632727, 2022-06-02T16:29:01Z,711127,0.011655
0.620714, 2022-06-02T16:29:14Z,723586,0.011454
0.626667, 2022-06-02T16:29:26Z,736252,0.011561
0.632414, 2022-06-02T16:29:39Z,748928,0.011665
0.637966, 2022-06-02T16:29:52Z,761590,0.011765
0.643333, 2022-06-02T16:30:05Z,774486,0.011858
0.648525, 2022-06-02T16:30:17Z,786955,0.011955
0.653548, 2022-06-02T16:30:30Z,799650,0.012045
0.658413, 2022-06-02T16:30:43Z,812501,0.01213
0.6475, 2022-06-02T16:30:55Z,824952,0.011947
0.652308, 2022-06-02T16:31:08Z,837844,0.012031
0.65697, 2022-06-02T16:31:21Z,850514,0.012115
0.661493, 2022-06-02T16:31:33Z,862970,0.0122
0.651176, 2022-06-02T16:31:46Z,875864,0.01202
0.655652, 2022-06-02T16:31:58Z,888312,0.012104
0.66, 2022-06-02T16:32:11Z,901203,0.012179
0.664225, 2022-06-02T16:32:24Z,913657,0.012258
0.668333, 2022-06-02T16:32:37Z,926545,0.01233
0.672329, 2022-06-02T16:32:49Z,939047,0.012404
0.676216, 2022-06-02T16:33:02Z,951666,0.012475
0.68, 2022-06-02T16:33:15Z,964363,0.012543
0.683684, 2022-06-02T16:33:27Z,977233,0.012607
0.687273, 2022-06-02T16:33:40Z,989907,0.012672
0.690769, 2022-06-02T16:33:53Z,1002576,0.012735
0.694177, 2022-06-02T16:34:05Z,1015031,0.0128
0.6975, 2022-06-02T16:34:18Z,1027753,0.012859
0.700741, 2022-06-02T16:34:31Z,1040370,0.012918
0.703902, 2022-06-02T16:34:43Z,1053049,0.012976
0.706988, 2022-06-02T16:34:56Z,1065711,0.013032
0.71, 2022-06-02T16:35:09Z,1078605,0.013084
0.712941, 2022-06-02T16:35:21Z,1091061,0.01314
0.715814, 2022-06-02T16:35:34Z,1103725,0.013192
0.718621, 2022-06-02T16:35:47Z,1116404,0.013243
0.721364, 2022-06-02T16:35:59Z,1129074,0.013292
0.724045, 2022-06-02T16:36:12Z,1141743,0.013341
0.726667, 2022-06-02T16:36:25Z,1154635,0.013386
0.729231, 2022-06-02T16:36:37Z,1167164,0.013434
0.72087, 2022-06-02T16:36:50Z,1179977,0.013288
0.723441, 2022-06-02T16:37:03Z,1192431,0.013337
0.725957, 2022-06-02T16:37:15Z,1205099,0.013383
0.717895, 2022-06-02T16:37:28Z,1217992,0.013241
0.71, 2022-06-02T16:37:41Z,1230664,0.013105
0.712577, 2022-06-02T16:37:53Z,1243128,0.013154
0.715102, 2022-06-02T16:38:06Z,1255943,0.013198
0.717576, 2022-06-02T16:38:19Z,1268680,0.013242
0.71, 2022-06-02T16:38:32Z,1281357,0.013111
0.712475, 2022-06-02T16:38:44Z,1293809,0.013158
0.705098, 2022-06-02T16:38:57Z,1306692,0.013028
0.707573, 2022-06-02T16:39:09Z,1319150,0.013075
0.700385, 2022-06-02T16:39:22Z,1332041,0.012949
0.702857, 2022-06-02T16:39:35Z,1344710,0.012993
0.705283, 2022-06-02T16:39:47Z,1357165,0.013039
0.707664, 2022-06-02T16:40:00Z,1369840,0.013082
0.71, 2022-06-02T16:40:13Z,1382748,0.013122
0.712294, 2022-06-02T16:40:25Z,1395181,0.013165
0.705455, 2022-06-02T16:40:38Z,1408068,0.013045
0.707748, 2022-06-02T16:40:51Z,1420522,0.013088
0.71, 2022-06-02T16:41:03Z,1433213,0.013129
0.712212, 2022-06-02T16:41:16Z,1445863,0.013169
0.705614, 2022-06-02T16:41:29Z,1458758,0.013052
0.707826, 2022-06-02T16:41:42Z,1471369,0.013093
0.701379, 2022-06-02T16:41:54Z,1484099,0.01298
0.70359, 2022-06-02T16:42:07Z,1496776,0.01302
0.705763, 2022-06-02T16:42:19Z,1509225,0.013061
0.707899, 2022-06-02T16:42:32Z,1522111,0.013098
0.71, 2022-06-02T16:42:45Z,1534639,0.013137
0.712066, 2022-06-02T16:42:58Z,1547455,0.013173
0.714098, 2022-06-02T16:43:10Z,1559906,0.013211
0.716098, 2022-06-02T16:43:23Z,1572580,0.013247
0.718065, 2022-06-02T16:43:35Z,1585287,0.013282
0.712, 2022-06-02T16:43:48Z,1598148,0.013175
0.713968, 2022-06-02T16:44:01Z,1610615,0.013212
0.715906, 2022-06-02T16:44:13Z,1623278,0.013247
0.71, 2022-06-02T16:44:26Z,1636163,0.013143
0.711938, 2022-06-02T16:44:39Z,1648617,0.01318
0.706154, 2022-06-02T16:44:52Z,1661499,0.013077
0.708092, 2022-06-02T16:45:04Z,1673953,0.013114
0.71, 2022-06-02T16:45:17Z,1686763,0.013147
0.71188, 2022-06-02T16:45:30Z,1699517,0.01318
0.713731, 2022-06-02T16:45:42Z,1711970,0.013215
0.708148, 2022-06-02T16:45:55Z,1724864,0.013116
0.702647, 2022-06-02T16:46:08Z,1737533,0.013021
0.704526, 2022-06-02T16:46:20Z,1749987,0.013056
0.69913, 2022-06-02T16:46:33Z,1762883,0.012961
0.701007, 2022-06-02T16:46:45Z,1775328,0.012996
0.702857, 2022-06-02T16:46:58Z,1788219,0.013027
0.681994, 2022-06-02T16:47:11Z,1800672,0.013062
