PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-06-14T13:08:11Z, 13016, 0.017210
1.000000, 2022-06-14T13:08:23Z, 25674, 0.017450
1.000000, 2022-06-14T13:08:36Z, 38424, 0.017489
1.000000, 2022-06-14T13:08:49Z, 51019, 0.017562
1.000000, 2022-06-14T13:09:01Z, 63681, 0.017588
0.833333, 2022-06-14T13:09:14Z, 76580, 0.014625
0.857143, 2022-06-14T13:09:27Z, 89052, 0.015092
0.750000, 2022-06-14T13:09:40Z, 101939, 0.013184
0.777778, 2022-06-14T13:09:52Z, 114412, 0.013705
0.800000, 2022-06-14T13:10:05Z, 127040, 0.014106
0.727273, 2022-06-14T13:10:18Z, 139928, 0.012807
0.750000, 2022-06-14T13:10:30Z, 152439, 0.013225
0.769231, 2022-06-14T13:10:43Z, 165053, 0.013571
0.785714, 2022-06-14T13:10:55Z, 177744, 0.013863
0.733333, 2022-06-14T13:11:08Z, 190617, 0.012926
0.687500, 2022-06-14T13:11:21Z, 203285, 0.012121
0.647059, 2022-06-14T13:11:34Z, 215964, 0.011409
0.666667, 2022-06-14T13:11:46Z, 228415, 0.011768
0.684211, 2022-06-14T13:11:59Z, 241083, 0.012079
0.700000, 2022-06-14T13:12:11Z, 253755, 0.012358
0.666667, 2022-06-14T13:12:24Z, 266650, 0.011761
0.636364, 2022-06-14T13:12:37Z, 279323, 0.011227
0.652174, 2022-06-14T13:12:49Z, 291777, 0.011516
0.666667, 2022-06-14T13:13:02Z, 304438, 0.011773
0.680000, 2022-06-14T13:13:15Z, 317117, 0.012008
0.653846, 2022-06-14T13:13:28Z, 330005, 0.011539
0.666667, 2022-06-14T13:13:40Z, 342486, 0.011773
0.678571, 2022-06-14T13:13:53Z, 355175, 0.011983
0.655172, 2022-06-14T13:14:06Z, 368020, 0.011565
0.666667, 2022-06-14T13:14:18Z, 380467, 0.011775
0.645161, 2022-06-14T13:14:31Z, 393436, 0.011387
0.656250, 2022-06-14T13:14:44Z, 405848, 0.011591
0.636364, 2022-06-14T13:14:56Z, 418707, 0.011235
0.647059, 2022-06-14T13:15:09Z, 431157, 0.011430
0.657143, 2022-06-14T13:15:22Z, 443832, 0.011608
0.638889, 2022-06-14T13:15:34Z, 456725, 0.011280
0.648649, 2022-06-14T13:15:47Z, 469178, 0.011458
0.657895, 2022-06-14T13:16:12Z, 494578, 0.011323
0.666667, 2022-06-14T13:16:25Z, 507189, 0.011483
0.650000, 2022-06-14T13:16:38Z, 520078, 0.011198
0.658537, 2022-06-14T13:16:50Z, 532533, 0.011357
0.642857, 2022-06-14T13:17:03Z, 545423, 0.011089
0.651163, 2022-06-14T13:17:16Z, 557913, 0.011242
