Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-05-26T14:05:35Z, 15300, 0.014641
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-05-26T14:05:48Z, 27985, 0.016009
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-05-26T14:06:00Z, 40663, 0.016526
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-05-26T14:06:13Z, 53318, 0.016805
QBXq3gAABAABsgROlhZJHbN7pEh7WWsTsuPXdA==,QBXq3gAABAABsgROlhZ7HbMipEh7WWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTe+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWXsTsuPXdA==,1.000000, 2022-05-26T14:06:26Z, 66268, 0.016901
QBXq3gAABQABE/I4jZO9THw+HEI+ebips0vGGQ==,QBXq3gAABQABE/I4jZM+THyFHEI+ebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipPkvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKneT6ps0vGGQ==,1.000000, 2022-05-26T14:06:39Z, 78902, 0.017034
QBXq3gAABgABVMNJJTl9QPo5b745eSSSBfr7Wg==,QBXq3gAABgABVMNJJTk5QPqKb745eSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSSOfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeTmSBfr7Wg==,0.857143, 2022-05-26T14:06:52Z, 92033, 0.014603
QBXq3gAABwAB5OQ9879Hguw82PE89KkBAKGMUg==,QBXq3gAABwAB5OQ98788guzm2PE89KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBPKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9DwBAKGMUg==,0.750000, 2022-05-26T14:07:04Z, 104225, 0.012895
QBXq3gAACAABtnEGYBSOZlQYzkMYXEJY0/5Czg==,QBXq3gAACAABtnEGYBQYZlRdzkMYXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXEJYGP5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXBhY0/5Czg==,0.666667, 2022-05-26T14:07:17Z, 116922, 0.011495
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.700000, 2022-05-26T14:07:29Z, 129350, 0.012122
QBXq3gAACgAB4J5MGLcM8IZUa9FUYNx4zhIZKg==,QBXq3gAACgAB4J5MGLdU8IZxa9FUYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4VBIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYFR4zhIZKg==,0.727273, 2022-05-26T14:07:42Z, 142214, 0.012601
QBXq3gAACwABeiMIbZ4A4j8W98IWNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4W4j9r98IWNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBFn6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NBYB/n6ucg==,0.750000, 2022-05-26T14:07:54Z, 154690, 0.013033
QBXq3gAADAABPKsQO4Q7vVmPTGaPU8OQcmtdZA==,QBXq3gAADAABPKsQO4SPvVkXTGaPU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQj2tdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU4+QcmtdZA==,0.769231, 2022-05-26T14:08:07Z, 167605, 0.013365
QBXq3gAADQAB5bM7t6M2OWsaffUa3B2UDcVbbw==,QBXq3gAADQAB5bM7t6MaOWuZffUa3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UGsVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3BqUDcVbbw==,0.785714, 2022-05-26T14:08:20Z, 180250, 0.013670
QBXq3gAADgABme9SPmYig5OGLaKGC385ivmH7g==,QBXq3gAADgABme9SPmaGg5MJLaKGC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385hvmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC4Y5ivmH7g==,0.800000, 2022-05-26T14:08:33Z, 192924, 0.013933
QBXq3gAADwABlTZyzE3lFJTddZTdU6Vm85mKEw==,QBXq3gAADwABlTZyzE3dFJR/dZTdU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vm3ZmKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU91m85mKEw==,0.812500, 2022-05-26T14:08:45Z, 205617, 0.014162
QBXq3gAAEAABlNIBRlELWCLgodHgRVqZcw1G7g==,QBXq3gAAEAABlNIBRlHgWCKOodHgRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZ4A1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbReCZcw1G7g==,0.764706, 2022-05-26T14:08:58Z, 218268, 0.013341
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.777778, 2022-05-26T14:09:10Z, 230714, 0.013593
