Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-05-22T16:19:18Z, 13312, 0.016827
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-05-22T16:19:31Z, 25981, 0.017243
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-05-22T16:19:44Z, 38653, 0.017385
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-05-22T16:19:56Z, 51317, 0.017460
QBXq3gAABAABsgROlhZJHbOzpEizWWsTsuPXdA==,QBXq3gAABAABsgROlhazHbMipEizWWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWWsTs+PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWbMTsuPXdA==,1.000000, 2022-05-22T16:20:09Z, 64220, 0.017440
QBXq3gAABQABE/I4jZO9THzeHELeebips0vGGQ==,QBXq3gAABQABE/I4jZPeTHyFHELeebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebipRUvGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKned6ps0vGGQ==,1.000000, 2022-05-22T16:20:22Z, 76880, 0.017482
QBXq3gAABgABVMNJJTl9QPryb77yeSSSBfr7Wg==,QBXq3gAABgABVMNJJTnyQPqKb77yeSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeSSS8vr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GefKSBfr7Wg==,1.000000, 2022-05-22T16:20:34Z, 89361, 0.017547
QBXq3gAABwAB5OQ9879Hguwg2PEg9KkBAKGMUg==,QBXq3gAABwAB5OQ9878gguzm2PEg9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9KkBIKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9CABAKGMUg==,1.000000, 2022-05-22T16:20:47Z, 102229, 0.017529
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,1.000000, 2022-05-22T16:21:12Z, 127351, 0.015830
QBXq3gAACgAB4J5MGLcM8IYVa9EVYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcV8IZxa9EVYNx4zhIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYNx4FRIZKg==,QBXq3gAACgAB4J5MGLcM8IZxa9HrYBV4zhIZKg==,0.900000, 2022-05-22T16:21:25Z, 140238, 0.014376
QBXq3gAACwABeiMIbZ4A4j8s98IsNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4s4j9r98IsNMwB/n6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NMwBLH6ucg==,QBXq3gAACwABeiMIbZ4A4j9r98J0NCwB/n6ucg==,0.818182, 2022-05-22T16:21:38Z, 152908, 0.013184
QBXq3gAADAABPKsQO4Q7vVnpTGbpU8OQcmtdZA==,QBXq3gAADAABPKsQO4TpvVkXTGbpU8OQcmtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU8OQ6WtdZA==,QBXq3gAADAABPKsQO4Q7vVkXTGZFU+mQcmtdZA==,0.833333, 2022-05-22T16:21:50Z, 165370, 0.013545
QBXq3gAADQAB5bM7t6M2OWtpffVp3B2UDcVbbw==,QBXq3gAADQAB5bM7t6NpOWuZffVp3B2UDcVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3B2UacVbbw==,QBXq3gAADQAB5bM7t6M2OWuZffXO3GmUDcVbbw==,0.846154, 2022-05-22T16:22:03Z, 178034, 0.013840
QBXq3gAADgABme9SPmYig5OWLaKWC385ivmH7g==,QBXq3gAADgABme9SPmaWg5MJLaKWC385ivmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC385lvmH7g==,QBXq3gAADgABme9SPmYig5MJLaJEC5Y5ivmH7g==,0.785714, 2022-05-22T16:22:16Z, 190924, 0.012906
QBXq3gAADwABlTZyzE3lFJRrdZRrU6Vm85mKEw==,QBXq3gAADwABlTZyzE1rFJR/dZRrU6Vm85mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU6Vma5mKEw==,QBXq3gAADwABlTZyzE3lFJR/dZQRU2tm85mKEw==,0.733333, 2022-05-22T16:22:29Z, 203618, 0.012101
QBXq3gAAEAABlNIBRlELWCLdodHdRVqZcw1G7g==,QBXq3gAAEAABlNIBRlHdWCKOodHdRVqZcw1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRVqZ3Q1G7g==,QBXq3gAAEAABlNIBRlELWCKOodGbRd2Zcw1G7g==,0.750000, 2022-05-22T16:22:41Z, 216049, 0.012442
QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,QBXq3gAAEQABi8hOdtgoqkixZcAvC97TspmTLg==,0.764706, 2022-05-22T16:22:54Z, 228719, 0.012732
QBXq3gAAEgABj88jQzaTdZFA1u5AnHBra/lFmg==,QBXq3gAAEgABj88jQzZAdZGE1u5AnHBra/lFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnHBrQPlFmg==,QBXq3gAAEgABj88jQzaTdZGE1u7dnEBra/lFmg==,0.777778, 2022-05-22T16:23:06Z, 241393, 0.012991
QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,QBXq3gAAEwABMRxd02eWZwyrgeY7wbROyTBRXQ==,0.789474, 2022-05-22T16:23:19Z, 254066, 0.013225
QBXq3gAAFAABW8ygIUNCROkTq5UTFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUMTROnsq5UTFsTkbTJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFsTkEzJxwQ==,QBXq3gAAFAABW8ygIUNCROnsq5XUFhPkbTJxwQ==,0.800000, 2022-05-22T16:23:32Z, 266958, 0.013425
