PDR,time,TotalTime(ms),Throughput(kbp)
1, 2022-05-22T10:14:18Z,13040,0.017178
1, 2022-05-22T10:14:30Z,25710,0.017425
1, 2022-05-22T10:14:43Z,38380,0.017509
1, 2022-05-22T10:14:56Z,51056,0.017549
0.8, 2022-05-22T10:15:08Z,63943,0.014012
0.666667, 2022-05-22T10:15:21Z,76615,0.011695
0.714286, 2022-05-22T10:15:34Z,89307,0.012541
0.75, 2022-05-22T10:15:46Z,101952,0.013183
0.777778, 2022-05-22T10:15:59Z,114435,0.013702
0.8, 2022-05-22T10:16:12Z,127078,0.014102
0.727273, 2022-05-22T10:16:24Z,139975,0.012802
0.75, 2022-05-22T10:16:37Z,152660,0.013206
0.769231, 2022-05-22T10:16:50Z,165231,0.013557
0.714286, 2022-05-22T10:17:03Z,177992,0.012585
0.733333, 2022-05-22T10:17:15Z,190444,0.012938
0.6875, 2022-05-22T10:17:28Z,203332,0.012118
0.705882, 2022-05-22T10:17:40Z,215801,0.012456
0.722222, 2022-05-22T10:17:53Z,228456,0.012746
0.736842, 2022-05-22T10:18:06Z,241353,0.012993
0.75, 2022-05-22T10:18:18Z,253801,0.013239
0.761905, 2022-05-22T10:18:31Z,266497,0.013449
0.772727, 2022-05-22T10:18:44Z,279172,0.01364
0.782609, 2022-05-22T10:18:57Z,291992,0.013809
0.791667, 2022-05-22T10:19:09Z,304481,0.013978
0.76, 2022-05-22T10:19:22Z,317383,0.01341
0.769231, 2022-05-22T10:19:34Z,329831,0.013583
0.777778, 2022-05-22T10:19:47Z,342496,0.013734
0.785714, 2022-05-22T10:20:00Z,355165,0.013875
0.758621, 2022-05-22T10:20:13Z,368060,0.013389
0.766667, 2022-05-22T10:20:25Z,380512,0.01354
0.774194, 2022-05-22T10:20:38Z,393184,0.013673
0.78125, 2022-05-22T10:20:50Z,405860,0.013798
0.787879, 2022-05-22T10:21:03Z,418750,0.013908
0.764706, 2022-05-22T10:21:16Z,431420,0.0135
0.771429, 2022-05-22T10:21:28Z,443867,0.013626
0.777778, 2022-05-22T10:21:41Z,456758,0.013732
0.783784, 2022-05-22T10:21:54Z,469442,0.013838
0.789474, 2022-05-22T10:22:06Z,481887,0.013945
0.794872, 2022-05-22T10:22:19Z,494563,0.014041
0.775, 2022-05-22T10:22:32Z,507446,0.013684
0.756098, 2022-05-22T10:22:45Z,520124,0.013351
0.761905, 2022-05-22T10:22:57Z,532578,0.013459
0.767442, 2022-05-22T10:23:10Z,545469,0.013552
0.772727, 2022-05-22T10:23:22Z,557932,0.01365
0.777778, 2022-05-22T10:23:35Z,570816,0.013735
0.782609, 2022-05-22T10:23:48Z,583496,0.01382
0.787234, 2022-05-22T10:24:00Z,595934,0.013908
0.791667, 2022-05-22T10:24:13Z,608600,0.013986
0.77551, 2022-05-22T10:24:26Z,621493,0.013696
0.76, 2022-05-22T10:24:39Z,634165,0.013422
0.764706, 2022-05-22T10:24:51Z,646701,0.013509
0.769231, 2022-05-22T10:25:04Z,659295,0.01359
0.754717, 2022-05-22T10:25:17Z,672184,0.01333
0.759259, 2022-05-22T10:25:29Z,684636,0.013414
0.745455, 2022-05-22T10:25:42Z,697527,0.013167
0.75, 2022-05-22T10:25:55Z,710194,0.013247
0.754386, 2022-05-22T10:26:07Z,722867,0.013325
0.758621, 2022-05-22T10:26:20Z,735321,0.013404
