PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-05-22T13:36:36Z, 14173, 0.015805
1.000000, 2022-05-22T13:36:49Z, 26841, 0.016691
1.000000, 2022-05-22T13:37:02Z, 39580, 0.016978
1.000000, 2022-05-22T13:37:14Z, 52187, 0.017169
0.800000, 2022-05-22T13:37:27Z, 65076, 0.013769
0.833333, 2022-05-22T13:37:40Z, 77527, 0.014447
0.857143, 2022-05-22T13:37:52Z, 90197, 0.014901
0.875000, 2022-05-22T13:38:05Z, 102862, 0.015244
0.777778, 2022-05-22T13:38:18Z, 115757, 0.013546
0.800000, 2022-05-22T13:38:30Z, 128207, 0.013977
0.727273, 2022-05-22T13:38:43Z, 141101, 0.012700
0.750000, 2022-05-22T13:38:56Z, 153549, 0.013129
0.692308, 2022-05-22T13:39:09Z, 166441, 0.012112
0.714286, 2022-05-22T13:39:21Z, 178898, 0.012521
0.666667, 2022-05-22T13:39:34Z, 191784, 0.011680
0.687500, 2022-05-22T13:39:47Z, 204460, 0.012051
0.705882, 2022-05-22T13:39:59Z, 217122, 0.012380
0.722222, 2022-05-22T13:40:12Z, 229581, 0.012684
0.684211, 2022-05-22T13:40:25Z, 242476, 0.012009
0.700000, 2022-05-22T13:40:37Z, 254972, 0.012299
0.714286, 2022-05-22T13:40:50Z, 267615, 0.012555
0.727273, 2022-05-22T13:41:03Z, 280501, 0.012777
0.739130, 2022-05-22T13:41:15Z, 293159, 0.012990
0.750000, 2022-05-22T13:41:28Z, 305610, 0.013193
0.760000, 2022-05-22T13:41:41Z, 318501, 0.013363
0.769231, 2022-05-22T13:41:53Z, 331179, 0.013527
0.777778, 2022-05-22T13:42:06Z, 343854, 0.013680
0.785714, 2022-05-22T13:42:19Z, 356298, 0.013831
0.793103, 2022-05-22T13:42:31Z, 368973, 0.013963
0.800000, 2022-05-22T13:42:44Z, 381642, 0.014086
0.774194, 2022-05-22T13:42:57Z, 394529, 0.013626
0.781250, 2022-05-22T13:43:09Z, 406984, 0.013760
0.787879, 2022-05-22T13:43:22Z, 419726, 0.013876
0.764706, 2022-05-22T13:43:35Z, 432547, 0.013464
0.771429, 2022-05-22T13:43:47Z, 445005, 0.013591
0.777778, 2022-05-22T13:44:00Z, 457891, 0.013698
0.783784, 2022-05-22T13:44:13Z, 470341, 0.013811
0.789474, 2022-05-22T13:44:25Z, 483019, 0.013912
0.794872, 2022-05-22T13:44:38Z, 495689, 0.014009
0.775000, 2022-05-22T13:44:51Z, 508574, 0.013654
0.780488, 2022-05-22T13:45:04Z, 521247, 0.013752
0.785714, 2022-05-22T13:45:16Z, 533710, 0.013850
0.767442, 2022-05-22T13:45:29Z, 546594, 0.013524
0.772727, 2022-05-22T13:45:41Z, 559049, 0.013623
0.777778, 2022-05-22T13:45:54Z, 571937, 0.013708
0.782609, 2022-05-22T13:46:07Z, 584391, 0.013799
0.787234, 2022-05-22T13:46:19Z, 597062, 0.013881
0.791667, 2022-05-22T13:46:32Z, 609733, 0.013960
0.775510, 2022-05-22T13:46:45Z, 622626, 0.013671
0.760000, 2022-05-22T13:46:58Z, 635293, 0.013399
0.764706, 2022-05-22T13:47:10Z, 647748, 0.013487
0.769231, 2022-05-22T13:47:23Z, 660484, 0.013566
0.754717, 2022-05-22T13:47:36Z, 673312, 0.013307
0.759259, 2022-05-22T13:47:48Z, 685769, 0.013392
0.745455, 2022-05-22T13:48:01Z, 698655, 0.013145
0.750000, 2022-05-22T13:48:13Z, 711212, 0.013228
0.754386, 2022-05-22T13:48:26Z, 723780, 0.013308
0.758621, 2022-05-22T13:48:39Z, 736449, 0.013383
0.762712, 2022-05-22T13:48:51Z, 749119, 0.013456
0.766667, 2022-05-22T13:49:04Z, 761791, 0.013526
0.754098, 2022-05-22T13:49:17Z, 774683, 0.013301
0.758065, 2022-05-22T13:49:29Z, 787141, 0.013375
0.761905, 2022-05-22T13:49:42Z, 799809, 0.013443
0.750000, 2022-05-22T13:49:55Z, 812701, 0.013230
0.738462, 2022-05-22T13:50:08Z, 825371, 0.013027
0.727273, 2022-05-22T13:50:20Z, 838043, 0.012830
0.716418, 2022-05-22T13:50:33Z, 850713, 0.012639
0.720588, 2022-05-22T13:50:45Z, 863167, 0.012716
0.724638, 2022-05-22T13:50:58Z, 875841, 0.012788
0.728571, 2022-05-22T13:51:11Z, 888508, 0.012858
0.732394, 2022-05-22T13:51:24Z, 901270, 0.012924
0.736111, 2022-05-22T13:51:36Z, 913928, 0.012990
0.739726, 2022-05-22T13:51:49Z, 926747, 0.013052
0.743243, 2022-05-22T13:52:02Z, 939224, 0.013117
0.746667, 2022-05-22T13:52:14Z, 951868, 0.013178
0.750000, 2022-05-22T13:52:27Z, 964761, 0.013234
0.753247, 2022-05-22T13:52:40Z, 977437, 0.013292
0.743590, 2022-05-22T13:52:52Z, 990100, 0.013122
0.746835, 2022-05-22T13:53:05Z, 1002778, 0.013179
0.750000, 2022-05-22T13:53:18Z, 1015234, 0.013238
