Data1,Data2,Data3,Data4,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,QBXq3gAAAAABXxWWztt8OmxEFLwWWlFiB3MtrQ==,1.000000, 2022-04-12T20:05:49Z, 20839, 0.010749
QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,QBXq3gAAAQABBUkniXK9HIokbbRsblMYdSB7hQ==,1.000000, 2022-04-12T20:06:02Z, 33469, 0.013386
QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,QBXq3gAAAgAB3K+Mk+wOXAQgN3MsXfBnkjL0MA==,1.000000, 2022-04-12T20:06:14Z, 46137, 0.014565
QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,QBXq3gAAAwAB3eFsREAqgm/7X4CXCttbjuhxGA==,1.000000, 2022-04-12T20:06:27Z, 58852, 0.015225
QBXq3gAABAABsgROlhZJHbP7pEj7WWsTsuPXdA==,QBXq3gAABAABsgROlhb7HbMipEj7WWsTsuPXdA==,QBXq3gAABAABsgROlhZJHbMipEj7WWsT++PXdA==,QBXq3gAABAABsgROlhZJHbMipEhtWfsTsuPXdA==,0.800000, 2022-04-12T20:06:40Z, 71693, 0.012498
QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,QBXq3gAABQABE/I4jZO9THyFHEKnebips0vGGQ==,0.833333, 2022-04-12T20:06:52Z, 84144, 0.013311
QBXq3gAABgABVMNJJTl9QPqnb76neSSSBfr7Wg==,QBXq3gAABgABVMNJJTmnQPqKb76neSSSBfr7Wg==,QBXq3gAABgABVMNJJTl9QPqKb76neSSSp/r7Wg==,QBXq3gAABgABVMNJJTl9QPqKb74GeaeSBfr7Wg==,0.714286, 2022-04-12T20:07:05Z, 97033, 0.011542
QBXq3gAABwAB5OQ9879HguxK2PFK9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Kguzm2PFK9KkBAKGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PFK9KkBSqGMUg==,QBXq3gAABwAB5OQ9879Hguzm2PHg9EoBAKGMUg==,0.625000, 2022-04-12T20:07:18Z, 109705, 0.010209
QBXq3gAACAABtnEGYBSOZlRizkNiXEJY0/5Czg==,QBXq3gAACAABtnEGYBRiZlRdzkNiXEJY0/5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkNiXEJYYv5Czg==,QBXq3gAACAABtnEGYBSOZlRdzkPrXGJY0/5Czg==,0.555556, 2022-04-12T20:07:31Z, 122392, 0.009151
QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,QBXq3gAACQABPBUfhF7JvgSSmnDo8QXV+MC0MQ==,0.600000, 2022-04-12T20:07:43Z, 134823, 0.009969
