PDR,time,TotalTime(ms),Throughput(kbp)
1.000000, 2022-06-12T16:41:16Z, 13812, 0.016218
1.000000, 2022-06-12T16:41:28Z, 26487, 0.016914
1.000000, 2022-06-12T16:41:41Z, 39159, 0.017161
1.000000, 2022-06-12T16:41:54Z, 51828, 0.017288
1.000000, 2022-06-12T16:42:06Z, 64573, 0.017345
1.000000, 2022-06-12T16:42:19Z, 77170, 0.017416
1.000000, 2022-06-12T16:42:32Z, 89977, 0.017427
1.000000, 2022-06-12T16:42:44Z, 102512, 0.017481
1.000000, 2022-06-12T16:42:57Z, 115258, 0.017491
1.000000, 2022-06-12T16:43:10Z, 127855, 0.017520
1.000000, 2022-06-12T16:43:22Z, 140525, 0.017534
1.000000, 2022-06-12T16:43:35Z, 153274, 0.017537
1.000000, 2022-06-12T16:43:48Z, 165911, 0.017552
1.000000, 2022-06-12T16:44:01Z, 178613, 0.017558
1.000000, 2022-06-12T16:44:13Z, 191223, 0.017571
1.000000, 2022-06-12T16:44:26Z, 203976, 0.017571
1.000000, 2022-06-12T16:44:38Z, 216573, 0.017583
1.000000, 2022-06-12T16:44:51Z, 229232, 0.017589
1.000000, 2022-06-12T16:45:04Z, 241938, 0.017591
1.000000, 2022-06-12T16:45:16Z, 254577, 0.017598
1.000000, 2022-06-12T16:45:29Z, 267284, 0.017599
1.000000, 2022-06-12T16:45:42Z, 279921, 0.017605
1.000000, 2022-06-12T16:45:55Z, 292601, 0.017608
1.000000, 2022-06-12T16:46:07Z, 305269, 0.017611
1.000000, 2022-06-12T16:46:20Z, 318080, 0.017606
1.000000, 2022-06-12T16:46:33Z, 330606, 0.017616
1.000000, 2022-06-12T16:46:45Z, 343284, 0.017618
1.000000, 2022-06-12T16:46:58Z, 355956, 0.017620
1.000000, 2022-06-12T16:47:11Z, 368648, 0.017621
1.000000, 2022-06-12T16:47:23Z, 381299, 0.017624
1.000000, 2022-06-12T16:47:36Z, 393998, 0.017624
1.000000, 2022-06-12T16:47:49Z, 406638, 0.017627
1.000000, 2022-06-12T16:48:01Z, 419307, 0.017629
1.000000, 2022-06-12T16:48:14Z, 432068, 0.017627
1.000000, 2022-06-12T16:48:27Z, 444656, 0.017632
1.000000, 2022-06-12T16:48:39Z, 457356, 0.017632
1.000000, 2022-06-12T16:48:52Z, 470048, 0.017632
1.000000, 2022-06-12T16:49:05Z, 482670, 0.017635
1.000000, 2022-06-12T16:49:17Z, 495339, 0.017636
1.000000, 2022-06-12T16:49:30Z, 508052, 0.017636
1.000000, 2022-06-12T16:49:43Z, 520702, 0.017638
1.000000, 2022-06-12T16:49:55Z, 533359, 0.017639
1.000000, 2022-06-12T16:50:08Z, 546032, 0.017640
1.000000, 2022-06-12T16:50:21Z, 558700, 0.017641
1.000000, 2022-06-12T16:50:33Z, 571410, 0.017641
1.000000, 2022-06-12T16:50:46Z, 584100, 0.017641
1.000000, 2022-06-12T16:50:59Z, 596730, 0.017643
1.000000, 2022-06-12T16:51:11Z, 609387, 0.017644
1.000000, 2022-06-12T16:51:24Z, 622069, 0.017644
1.000000, 2022-06-12T16:51:37Z, 634741, 0.017645
1.000000, 2022-06-12T16:51:49Z, 647405, 0.017646
1.000000, 2022-06-12T16:52:02Z, 660078, 0.017646
1.000000, 2022-06-12T16:52:15Z, 672751, 0.017647
1.000000, 2022-06-12T16:52:27Z, 685421, 0.017648
1.000000, 2022-06-12T16:52:40Z, 698094, 0.017648
1.000000, 2022-06-12T16:52:53Z, 710799, 0.017648
1.000000, 2022-06-12T16:53:05Z, 723445, 0.017649
1.000000, 2022-06-12T16:53:18Z, 736116, 0.017649
1.000000, 2022-06-12T16:53:31Z, 748795, 0.017650
1.000000, 2022-06-12T16:53:43Z, 761453, 0.017650
1.000000, 2022-06-12T16:53:56Z, 774144, 0.017650
1.000000, 2022-06-12T16:54:09Z, 786796, 0.017651
1.000000, 2022-06-12T16:54:21Z, 799471, 0.017652
1.000000, 2022-06-12T16:54:34Z, 812158, 0.017652
1.000000, 2022-06-12T16:54:47Z, 824836, 0.017652
1.000000, 2022-06-12T16:54:59Z, 837491, 0.017653
1.000000, 2022-06-12T16:55:12Z, 850159, 0.017653
1.000000, 2022-06-12T16:55:25Z, 862829, 0.017654
1.000000, 2022-06-12T16:55:37Z, 875515, 0.017654
1.000000, 2022-06-12T16:55:50Z, 888172, 0.017654
1.000000, 2022-06-12T16:56:03Z, 900846, 0.017655
1.000000, 2022-06-12T16:56:15Z, 913514, 0.017655
1.000000, 2022-06-12T16:56:28Z, 926196, 0.017655
1.000000, 2022-06-12T16:56:41Z, 938860, 0.017655
1.000000, 2022-06-12T16:56:53Z, 951535, 0.017656
1.000000, 2022-06-12T16:57:06Z, 964203, 0.017656
1.000000, 2022-06-12T16:57:19Z, 976881, 0.017656
1.000000, 2022-06-12T16:57:31Z, 989558, 0.017656
1.000000, 2022-06-12T16:57:44Z, 1002291, 0.017656
1.000000, 2022-06-12T16:57:57Z, 1014896, 0.017657
1.000000, 2022-06-12T16:58:09Z, 1027570, 0.017657
1.000000, 2022-06-12T16:58:22Z, 1040238, 0.017657
1.000000, 2022-06-12T16:58:35Z, 1052910, 0.017658
1.000000, 2022-06-12T16:58:48Z, 1065579, 0.017658
1.000000, 2022-06-12T16:59:00Z, 1078255, 0.017658
1.000000, 2022-06-12T16:59:13Z, 1090925, 0.017658
1.000000, 2022-06-12T16:59:26Z, 1103597, 0.017659
1.000000, 2022-06-12T16:59:38Z, 1116265, 0.017659
1.000000, 2022-06-12T16:59:51Z, 1129007, 0.017658
1.000000, 2022-06-12T17:00:04Z, 1141613, 0.017659
1.000000, 2022-06-12T17:00:16Z, 1154320, 0.017659
1.000000, 2022-06-12T17:00:29Z, 1167171, 0.017656
1.000000, 2022-06-12T17:00:42Z, 1179628, 0.017660
1.000000, 2022-06-12T17:00:54Z, 1192301, 0.017660
1.000000, 2022-06-12T17:01:07Z, 1204972, 0.017660
1.000000, 2022-06-12T17:01:20Z, 1217651, 0.017660
1.000000, 2022-06-12T17:01:32Z, 1230334, 0.017660
1.000000, 2022-06-12T17:01:45Z, 1242986, 0.017661
1.000000, 2022-06-12T17:01:58Z, 1255658, 0.017661
1.000000, 2022-06-12T17:02:10Z, 1268335, 0.017661
1.000000, 2022-06-12T17:02:23Z, 1281232, 0.017658
1.000000, 2022-06-12T17:02:36Z, 1293728, 0.017661
1.000000, 2022-06-12T17:02:48Z, 1306356, 0.017661
1.000000, 2022-06-12T17:03:01Z, 1319016, 0.017662
1.000000, 2022-06-12T17:03:14Z, 1331788, 0.017660
1.000000, 2022-06-12T17:03:26Z, 1344416, 0.017661
1.000000, 2022-06-12T17:03:39Z, 1357030, 0.017662
1.000000, 2022-06-12T17:03:52Z, 1369707, 0.017662
1.000000, 2022-06-12T17:04:04Z, 1382385, 0.017662
1.000000, 2022-06-12T17:04:17Z, 1395049, 0.017662
1.000000, 2022-06-12T17:04:30Z, 1407728, 0.017663
1.000000, 2022-06-12T17:04:42Z, 1420390, 0.017663
1.000000, 2022-06-12T17:04:55Z, 1433072, 0.017663
1.000000, 2022-06-12T17:05:08Z, 1445743, 0.017663
1.000000, 2022-06-12T17:05:20Z, 1458418, 0.017663
1.000000, 2022-06-12T17:05:33Z, 1471084, 0.017663
1.000000, 2022-06-12T17:05:46Z, 1483756, 0.017663
1.000000, 2022-06-12T17:05:58Z, 1496576, 0.017662
1.000000, 2022-06-12T17:06:11Z, 1509098, 0.017664
1.000000, 2022-06-12T17:06:24Z, 1521801, 0.017663
1.000000, 2022-06-12T17:06:36Z, 1534462, 0.017664
1.000000, 2022-06-12T17:06:49Z, 1547118, 0.017664
1.000000, 2022-06-12T17:07:02Z, 1559784, 0.017664
1.000000, 2022-06-12T17:07:14Z, 1572459, 0.017664
1.000000, 2022-06-12T17:07:27Z, 1585211, 0.017663
1.000000, 2022-06-12T17:07:40Z, 1597803, 0.017664
1.000000, 2022-06-12T17:07:52Z, 1610475, 0.017664
1.000000, 2022-06-12T17:08:05Z, 1623145, 0.017664
1.000000, 2022-06-12T17:08:18Z, 1635825, 0.017664
1.000000, 2022-06-12T17:08:30Z, 1648494, 0.017665
1.000000, 2022-06-12T17:08:43Z, 1661166, 0.017665
1.000000, 2022-06-12T17:08:56Z, 1673842, 0.017665
1.000000, 2022-06-12T17:09:08Z, 1686516, 0.017665
1.000000, 2022-06-12T17:09:21Z, 1699191, 0.017665
1.000000, 2022-06-12T17:09:34Z, 1711851, 0.017665
1.000000, 2022-06-12T17:09:46Z, 1724559, 0.017665
1.000000, 2022-06-12T17:09:59Z, 1737230, 0.017665
1.000000, 2022-06-12T17:10:12Z, 1749866, 0.017665
1.000000, 2022-06-12T17:10:24Z, 1762548, 0.017665
1.000000, 2022-06-12T17:10:37Z, 1775216, 0.017665
1.000000, 2022-06-12T17:10:50Z, 1787899, 0.017665
1.000000, 2022-06-12T17:11:02Z, 1800561, 0.017666
