TotalTime(ms),Throughput(kbp),PDR,time
15964,0.014031,1.000000,2022-06-01T10:29:44Z
28617,0.015655,1.000000,2022-06-01T10:29:57Z
53957,0.012454,0.750000,2022-06-01T10:30:22Z
66878,0.013398,0.800000,2022-06-01T10:30:35Z
79520,0.014084,0.833333,2022-06-01T10:30:48Z
92195,0.014578,0.857143,2022-06-01T10:31:01Z
104860,0.014953,0.875000,2022-06-01T10:31:13Z
130030,0.013781,0.800000,2022-06-01T10:31:38Z
142915,0.014106,0.818182,2022-06-01T10:31:51Z
155548,0.014401,0.833333,2022-06-01T10:32:04Z
168224,0.014647,0.846154,2022-06-01T10:32:17Z
180899,0.014859,0.857143,2022-06-01T10:32:29Z
193346,0.015061,0.866667,2022-06-01T10:32:42Z
206236,0.015206,0.875000,2022-06-01T10:32:55Z
218714,0.015363,0.882353,2022-06-01T10:33:07Z
231358,0.015491,0.888889,2022-06-01T10:33:20Z
244040,0.015604,0.894737,2022-06-01T10:33:32Z
256714,0.015706,0.900000,2022-06-01T10:33:45Z
294940,0.014430,0.826087,2022-06-01T10:34:23Z
307394,0.014574,0.833333,2022-06-01T10:34:36Z
320288,0.014687,0.840000,2022-06-01T10:34:49Z
345411,0.014267,0.814815,2022-06-01T10:35:14Z
358083,0.014388,0.821429,2022-06-01T10:35:27Z
371021,0.014490,0.827586,2022-06-01T10:35:39Z
383425,0.014605,0.833333,2022-06-01T10:35:52Z
396315,0.014695,0.838710,2022-06-01T10:36:05Z
408842,0.014793,0.843750,2022-06-01T10:36:17Z
446786,0.014038,0.800000,2022-06-01T10:36:55Z
472176,0.013758,0.783784,2022-06-01T10:37:21Z
484812,0.013861,0.789474,2022-06-01T10:37:33Z
497474,0.013959,0.794872,2022-06-01T10:37:46Z
522984,0.013706,0.780488,2022-06-01T10:38:11Z
535491,0.013804,0.785714,2022-06-01T10:38:24Z
548392,0.013888,0.790698,2022-06-01T10:38:37Z
560826,0.013979,0.795455,2022-06-01T10:38:49Z
573730,0.014055,0.800000,2022-06-01T10:39:02Z
586393,0.014134,0.804348,2022-06-01T10:39:15Z
598863,0.014214,0.808511,2022-06-01T10:39:27Z
624419,0.013991,0.795918,2022-06-01T10:39:53Z
637090,0.014064,0.800000,2022-06-01T10:40:06Z
649755,0.014135,0.803922,2022-06-01T10:40:18Z
662211,0.014207,0.807692,2022-06-01T10:40:31Z
674876,0.014272,0.811321,2022-06-01T10:40:43Z
687633,0.014333,0.814815,2022-06-01T10:40:56Z
700233,0.014395,0.818182,2022-06-01T10:41:09Z
712897,0.014454,0.821429,2022-06-01T10:41:21Z
725795,0.014505,0.824561,2022-06-01T10:41:34Z
738243,0.014564,0.827586,2022-06-01T10:41:47Z
750913,0.014617,0.830508,2022-06-01T10:41:59Z
763649,0.014666,0.833333,2022-06-01T10:42:12Z
776258,0.014717,0.836066,2022-06-01T10:42:25Z
788941,0.014764,0.838710,2022-06-01T10:42:37Z
801602,0.014810,0.841270,2022-06-01T10:42:50Z
814482,0.014851,0.843750,2022-06-01T10:43:03Z
826960,0.014898,0.846154,2022-06-01T10:43:15Z
839832,0.014936,0.848485,2022-06-01T10:43:28Z
852324,0.014980,0.850746,2022-06-01T10:43:41Z
864964,0.015020,0.852941,2022-06-01T10:43:53Z
890311,0.014844,0.842857,2022-06-01T10:44:19Z
903196,0.014880,0.845070,2022-06-01T10:44:32Z
915702,0.014922,0.847222,2022-06-01T10:44:44Z
928543,0.014957,0.849315,2022-06-01T10:44:57Z
940979,0.014997,0.851351,2022-06-01T10:45:09Z
953661,0.015033,0.853333,2022-06-01T10:45:22Z
966411,0.015066,0.855263,2022-06-01T10:45:35Z
1017019,0.014537,0.825000,2022-06-01T10:46:25Z
1029705,0.014575,0.827160,2022-06-01T10:46:38Z
1042413,0.014612,0.829268,2022-06-01T10:46:51Z
1055244,0.014647,0.831325,2022-06-01T10:47:04Z
1067703,0.014686,0.833333,2022-06-01T10:47:16Z
1080602,0.014718,0.835294,2022-06-01T10:47:29Z
1093277,0.014752,0.837209,2022-06-01T10:47:42Z
1105729,0.014788,0.839080,2022-06-01T10:47:54Z
1118393,0.014821,0.840909,2022-06-01T10:48:07Z
1143804,0.014688,0.833333,2022-06-01T10:48:32Z
