TotalTime(ms),Throughput(kbp),PDR,time
12506,0.017912,1.000000,2022-05-28T15:53:28Z
25167,0.017801,1.000000,2022-05-28T15:53:41Z
37833,0.017762,1.000000,2022-05-28T15:53:54Z
50505,0.017741,1.000000,2022-05-28T15:54:06Z
63401,0.017665,1.000000,2022-05-28T15:54:19Z
75895,0.017709,1.000000,2022-05-28T15:54:32Z
126532,0.012392,0.700000,2022-05-28T15:55:23Z
139420,0.012853,0.727273,2022-05-28T15:55:35Z
152088,0.013255,0.750000,2022-05-28T15:55:48Z
177429,0.012625,0.714286,2022-05-28T15:56:13Z
189896,0.012976,0.733333,2022-05-28T15:56:26Z
202707,0.013260,0.750000,2022-05-28T15:56:39Z
240788,0.012094,0.684211,2022-05-28T15:57:17Z
253240,0.012383,0.700000,2022-05-28T15:57:29Z
278583,0.012061,0.681818,2022-05-28T15:57:55Z
291474,0.012296,0.695652,2022-05-28T15:58:07Z
303926,0.012529,0.708333,2022-05-28T15:58:20Z
316815,0.012727,0.720000,2022-05-28T15:58:33Z
342102,0.012441,0.703704,2022-05-28T15:58:58Z
354613,0.012634,0.714286,2022-05-28T15:59:11Z
367529,0.012799,0.724138,2022-05-28T15:59:23Z
379954,0.012970,0.733333,2022-05-28T15:59:36Z
392774,0.013117,0.741935,2022-05-28T15:59:49Z
405305,0.013264,0.750000,2022-05-28T16:00:01Z
443315,0.012632,0.714286,2022-05-28T16:00:39Z
456209,0.012766,0.722222,2022-05-28T16:00:52Z
468865,0.012899,0.729730,2022-05-28T16:01:05Z
481344,0.013030,0.736842,2022-05-28T16:01:17Z
494011,0.013149,0.743590,2022-05-28T16:01:30Z
506890,0.013257,0.750000,2022-05-28T16:01:43Z
519566,0.013365,0.756098,2022-05-28T16:01:56Z
532042,0.013473,0.761905,2022-05-28T16:02:08Z
544897,0.013566,0.767442,2022-05-28T16:02:21Z
557360,0.013664,0.772727,2022-05-28T16:02:33Z
582912,0.013450,0.760870,2022-05-28T16:02:59Z
595365,0.013545,0.765957,2022-05-28T16:03:11Z
608037,0.013631,0.770833,2022-05-28T16:03:24Z
620926,0.013709,0.775510,2022-05-28T16:03:37Z
633602,0.013788,0.780000,2022-05-28T16:03:50Z
658718,0.013602,0.769231,2022-05-28T16:04:15Z
671612,0.013675,0.773585,2022-05-28T16:04:28Z
684070,0.013753,0.777778,2022-05-28T16:04:40Z
709625,0.013573,0.767857,2022-05-28T16:05:06Z
722306,0.013645,0.771930,2022-05-28T16:05:18Z
734759,0.013719,0.775862,2022-05-28T16:05:31Z
747429,0.013786,0.779661,2022-05-28T16:05:43Z
760097,0.013851,0.783333,2022-05-28T16:05:56Z
785440,0.013689,0.774194,2022-05-28T16:06:21Z
798112,0.013752,0.777778,2022-05-28T16:06:34Z
811005,0.013810,0.781250,2022-05-28T16:06:47Z
823682,0.013869,0.784615,2022-05-28T16:07:00Z
836337,0.013927,0.787879,2022-05-28T16:07:12Z
848885,0.013985,0.791045,2022-05-28T16:07:25Z
861460,0.014041,0.794118,2022-05-28T16:07:37Z
874229,0.014092,0.797101,2022-05-28T16:07:50Z
886805,0.014145,0.800000,2022-05-28T16:08:03Z
899706,0.014191,0.802817,2022-05-28T16:08:16Z
912155,0.014243,0.805556,2022-05-28T16:08:28Z
925041,0.014287,0.808219,2022-05-28T16:08:41Z
937494,0.014336,0.810811,2022-05-28T16:08:53Z
950171,0.014381,0.813333,2022-05-28T16:09:06Z
963063,0.014421,0.815789,2022-05-28T16:09:19Z
975728,0.014463,0.818182,2022-05-28T16:09:32Z
988399,0.014504,0.820513,2022-05-28T16:09:44Z
1001065,0.014545,0.822785,2022-05-28T16:09:57Z
1013529,0.014587,0.825000,2022-05-28T16:10:09Z
1026407,0.014622,0.827160,2022-05-28T16:10:22Z
1038868,0.014662,0.829268,2022-05-28T16:10:35Z
1051544,0.014698,0.831325,2022-05-28T16:10:48Z
1064269,0.014733,0.833333,2022-05-28T16:11:00Z
1077094,0.014766,0.835294,2022-05-28T16:11:13Z
1089608,0.014802,0.837209,2022-05-28T16:11:26Z
1102223,0.014835,0.839080,2022-05-28T16:11:38Z
1114908,0.014868,0.840909,2022-05-28T16:11:51Z
1127782,0.014896,0.842697,2022-05-28T16:12:04Z
1140237,0.014930,0.844444,2022-05-28T16:12:16Z
1153127,0.014958,0.846154,2022-05-28T16:12:29Z
1165800,0.014987,0.847826,2022-05-28T16:12:42Z
1178470,0.015016,0.849462,2022-05-28T16:12:54Z
1190986,0.015046,0.851064,2022-05-28T16:13:07Z
1203592,0.015075,0.852632,2022-05-28T16:13:20Z
1216482,0.015099,0.854167,2022-05-28T16:13:32Z
1229157,0.015126,0.855670,2022-05-28T16:13:45Z
1241606,0.015155,0.857143,2022-05-28T16:13:58Z
1254503,0.015177,0.858586,2022-05-28T16:14:10Z
1279846,0.015052,0.851485,2022-05-28T16:14:36Z
1292295,0.015080,0.852941,2022-05-28T16:14:48Z
1305195,0.015103,0.854369,2022-05-28T16:15:01Z
1317638,0.015130,0.855769,2022-05-28T16:15:14Z
1330533,0.015152,0.857143,2022-05-28T16:15:27Z
1343199,0.015176,0.858491,2022-05-28T16:15:39Z
1355661,0.015201,0.859813,2022-05-28T16:15:52Z
1368328,0.015224,0.861111,2022-05-28T16:16:04Z
1381218,0.015245,0.862385,2022-05-28T16:16:17Z
1393673,0.015269,0.863636,2022-05-28T16:16:30Z
1419010,0.015154,0.857143,2022-05-28T16:16:55Z
1444351,0.015043,0.850877,2022-05-28T16:17:20Z
1457245,0.015064,0.852174,2022-05-28T16:17:33Z
1482441,0.014959,0.846154,2022-05-28T16:17:58Z
1495248,0.014981,0.847458,2022-05-28T16:18:11Z
1507728,0.015005,0.848739,2022-05-28T16:18:24Z
1520589,0.015026,0.850000,2022-05-28T16:18:37Z
1533075,0.015049,0.851240,2022-05-28T16:18:49Z
1545938,0.015069,0.852459,2022-05-28T16:19:02Z
1558399,0.015092,0.853659,2022-05-28T16:19:14Z
1571063,0.015113,0.854839,2022-05-28T16:19:27Z
1583812,0.015133,0.856000,2022-05-28T16:19:40Z
1609311,0.015033,0.850394,2022-05-28T16:20:05Z
1621764,0.015055,0.851562,2022-05-28T16:20:18Z
1634639,0.015074,0.852713,2022-05-28T16:20:31Z
1647097,0.015096,0.853846,2022-05-28T16:20:43Z
1672444,0.015001,0.848485,2022-05-28T16:21:08Z
1685186,0.015020,0.849624,2022-05-28T16:21:21Z
1697925,0.015040,0.850746,2022-05-28T16:21:34Z
1710460,0.015060,0.851852,2022-05-28T16:21:46Z
1723348,0.015078,0.852941,2022-05-28T16:21:59Z
1736012,0.015097,0.854015,2022-05-28T16:22:12Z
1748478,0.015117,0.855072,2022-05-28T16:22:24Z
1761381,0.015134,0.856115,2022-05-28T16:22:37Z
1773808,0.015154,0.857143,2022-05-28T16:22:50Z
1786699,0.015170,0.858156,2022-05-28T16:23:03Z
1799174,0.015189,0.859155,2022-05-28T16:23:15Z
1811832,0.015207,0.860140,2022-05-28T16:23:28Z
