Time (s),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),Main Min Current (mA),Main Min Power (mW),Main Min Voltage (V),Main Max Current (mA),Main Max Power (mW),Main Max Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V),USB Min Current (mA),USB Min Power (mW),USB Min Voltage (V),USB Max Current (mA),USB Max Power (mW),USB Max Voltage (V)
0.0000,-0.033,-0.1657,5.02,-0.033,-0.1657,5.02,-0.033,-0.1657,5.02,58.647,0,0,-0.033,-0.1657,0,58.647,0,5.02
0.2000,-0.04,-0.2008,5.02,-0.053,-0.2661,0,59.254,0.0753,5.022,58.674,0,0,-0.053,-0.2661,0,59.254,0.0753,5.022
0.4000,-0.026,-0.1305,5.02,-0.058,-0.2912,0,59.254,0.0753,5.022,58.337,0,0,-0.058,-0.2912,0,59.254,0.0753,5.022
0.6000,-0.027,-0.1355,5.018,-0.058,-0.2912,0,59.254,0.1104,5.022,58.728,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
0.8000,-0.018,-0.0904,5.022,-0.058,-0.2912,0,59.254,0.1104,5.022,58.781,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
1.0000,0.006,0.0301,5.02,-0.058,-0.2912,0,59.254,0.1104,5.022,58.808,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
1.2000,-0.014,-0.0703,5.02,-0.058,-0.2912,0,59.254,0.1104,5.022,58.821,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
1.4000,-0.052,-0.261,5.02,-0.058,-0.2912,0,59.254,0.1104,5.022,58.849,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
1.6000,-0.006,-0.0301,5.02,-0.058,-0.2912,0,59.254,0.1104,5.022,58.89,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
1.8000,-0.03,-0.1506,5.02,-0.058,-0.2912,0,59.254,0.1104,5.022,58.878,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
2.0000,-0.013,-0.0653,5.02,-0.058,-0.2912,0,59.254,0.1104,5.022,58.851,0,0,-0.058,-0.2912,0,59.254,0.1104,5.022
2.2000,-0.035,-0.1757,5.02,-0.062,-0.3114,0,59.254,0.1104,5.022,58.918,0,0,-0.062,-0.3114,0,59.254,0.1104,5.022
2.4000,-0.026,-0.1305,5.02,-0.062,-0.3114,0,59.254,0.1104,5.022,58.905,0,0,-0.062,-0.3114,0,59.254,0.1104,5.022
2.6000,-0.016,-0.0787,4.918,-0.062,-0.3114,0,179.613,0.1104,5.026,179.627,0,0,-0.062,-0.3114,0,179.627,0.1104,5.026
2.8000,-0.02,-0.0984,4.92,-0.062,-0.3114,0,179.681,0.1104,5.026,176.715,0,0,-0.062,-0.3114,0,179.681,0.1104,5.026
3.0000,-0.01,-0.0492,4.922,-0.062,-0.3114,0,179.681,0.1329,5.026,176.607,0,0,-0.062,-0.3114,0,179.681,0.1329,5.026
