TotalTime(ms),Throughput(kbp),PDR,time
4898,0.045734,1.000000,2023-05-02T14:30:30Z
5910,0.037899,1.000000,2023-05-02T14:30:31Z
6921,0.032368,1.000000,2023-05-02T14:30:32Z
7919,0.028287,1.000000,2023-05-02T14:30:33Z
8931,0.025081,1.000000,2023-05-02T14:30:34Z
9938,0.022539,1.000000,2023-05-02T14:30:35Z
10945,0.020466,1.000000,2023-05-02T14:30:36Z
11960,0.018729,1.000000,2023-05-02T14:30:37Z
12967,0.017275,1.000000,2023-05-02T14:30:38Z
13974,0.016029,1.000000,2023-05-02T14:30:39Z
14979,0.014954,1.000000,2023-05-02T14:30:40Z
15994,0.014005,1.000000,2023-05-02T14:30:41Z
17000,0.026352,1.000000,2023-05-02T14:30:42Z
18014,0.024870,1.000000,2023-05-02T14:30:43Z
19021,0.023553,1.000000,2023-05-02T14:30:44Z
20017,0.022381,1.000000,2023-05-02T14:30:45Z
21025,0.021308,1.000000,2023-05-02T14:30:46Z
22035,0.020332,1.000000,2023-05-02T14:30:47Z
23040,0.019445,1.000000,2023-05-02T14:30:48Z
24053,0.018626,1.000000,2023-05-02T14:30:49Z
25053,0.017882,1.000000,2023-05-02T14:30:50Z
26056,0.017194,1.000000,2023-05-02T14:30:51Z
27071,0.016549,1.000000,2023-05-02T14:30:52Z
28081,0.015954,1.000000,2023-05-02T14:30:53Z
29083,0.023106,1.000000,2023-05-02T14:30:54Z
30094,0.022330,1.000000,2023-05-02T14:30:55Z
31102,0.021606,1.000000,2023-05-02T14:30:56Z
32106,0.020931,1.000000,2023-05-02T14:30:57Z
33115,0.020293,1.000000,2023-05-02T14:30:58Z
34117,0.019697,1.000000,2023-05-02T14:30:59Z
35129,0.019130,1.000000,2023-05-02T14:31:00Z
36141,0.018594,1.000000,2023-05-02T14:31:01Z
37155,0.018086,1.000000,2023-05-02T14:31:02Z
38157,0.017611,1.000000,2023-05-02T14:31:03Z
39170,0.017156,1.000000,2023-05-02T14:31:04Z
40187,0.016722,1.000000,2023-05-02T14:31:05Z
41186,0.021755,1.000000,2023-05-02T14:31:06Z
42205,0.021230,1.000000,2023-05-02T14:31:07Z
43211,0.020735,1.000000,2023-05-02T14:31:08Z
44217,0.020264,1.000000,2023-05-02T14:31:09Z
45229,0.019810,1.000000,2023-05-02T14:31:10Z
46247,0.019374,1.000000,2023-05-02T14:31:11Z
47252,0.018962,1.000000,2023-05-02T14:31:12Z
48254,0.018568,1.000000,2023-05-02T14:31:13Z
49257,0.018190,1.000000,2023-05-02T14:31:14Z
50260,0.017827,1.000000,2023-05-02T14:31:15Z
51264,0.017478,1.000000,2023-05-02T14:31:16Z
52275,0.017140,1.000000,2023-05-02T14:31:17Z
53281,0.021021,1.250000,2023-05-02T14:31:18Z
54300,0.020626,1.250000,2023-05-02T14:31:19Z
55310,0.020249,1.250000,2023-05-02T14:31:20Z
56322,0.019886,1.250000,2023-05-02T14:31:21Z
57332,0.019535,1.250000,2023-05-02T14:31:22Z
58349,0.019195,1.250000,2023-05-02T14:31:23Z
59355,0.018870,1.250000,2023-05-02T14:31:24Z
60353,0.018558,1.250000,2023-05-02T14:31:25Z
61359,0.018253,1.250000,2023-05-02T14:31:26Z
62362,0.017960,1.250000,2023-05-02T14:31:27Z
63373,0.017673,1.250000,2023-05-02T14:31:28Z
64383,0.017396,1.250000,2023-05-02T14:31:29Z
65389,0.020554,1.500000,2023-05-02T14:31:30Z
66396,0.020242,1.500000,2023-05-02T14:31:31Z
67406,0.019939,1.500000,2023-05-02T14:31:32Z
68414,0.019645,1.500000,2023-05-02T14:31:33Z
69413,0.019362,1.500000,2023-05-02T14:31:34Z
70427,0.019084,1.500000,2023-05-02T14:31:35Z
71436,0.018814,1.500000,2023-05-02T14:31:36Z
72445,0.018552,1.500000,2023-05-02T14:31:37Z
73456,0.018297,1.500000,2023-05-02T14:31:38Z
74455,0.018051,1.500000,2023-05-02T14:31:39Z
75464,0.017810,1.500000,2023-05-02T14:31:41Z
76479,0.017573,1.500000,2023-05-02T14:31:42Z
77476,0.020239,1.750000,2023-05-02T14:31:43Z
78492,0.019977,1.750000,2023-05-02T14:31:44Z
79510,0.019721,1.750000,2023-05-02T14:31:45Z
80512,0.019475,1.750000,2023-05-02T14:31:46Z
81524,0.019234,1.750000,2023-05-02T14:31:47Z
82538,0.018997,1.750000,2023-05-02T14:31:48Z
83550,0.018767,1.750000,2023-05-02T14:31:49Z
84555,0.018544,1.750000,2023-05-02T14:31:50Z
85564,0.018325,1.750000,2023-05-02T14:31:51Z
86569,0.018113,1.750000,2023-05-02T14:31:52Z
87575,0.017905,1.750000,2023-05-02T14:31:53Z
88577,0.017702,1.750000,2023-05-02T14:31:54Z
89577,0.020005,2.000000,2023-05-02T14:31:55Z
90589,0.019782,2.000000,2023-05-02T14:31:56Z
91601,0.019563,2.000000,2023-05-02T14:31:57Z
92606,0.019351,2.000000,2023-05-02T14:31:58Z
93610,0.019143,2.000000,2023-05-02T14:31:59Z
94621,0.018939,2.000000,2023-05-02T14:32:00Z
95624,0.018740,2.000000,2023-05-02T14:32:01Z
96627,0.018545,2.000000,2023-05-02T14:32:02Z
97633,0.018354,2.000000,2023-05-02T14:32:03Z
98653,0.018165,2.000000,2023-05-02T14:32:04Z
99656,0.017982,2.000000,2023-05-02T14:32:05Z
100669,0.017801,2.000000,2023-05-02T14:32:06Z
101671,0.019829,2.250000,2023-05-02T14:32:07Z
102675,0.019635,2.250000,2023-05-02T14:32:08Z
103689,0.019443,2.250000,2023-05-02T14:32:09Z
104696,0.019256,2.250000,2023-05-02T14:32:10Z
105729,0.019068,2.250000,2023-05-02T14:32:11Z
106721,0.018890,2.250000,2023-05-02T14:32:12Z
107727,0.018714,2.250000,2023-05-02T14:32:13Z
108736,0.018540,2.250000,2023-05-02T14:32:14Z
109748,0.018369,2.250000,2023-05-02T14:32:15Z
110744,0.018204,2.250000,2023-05-02T14:32:16Z
111744,0.018041,2.250000,2023-05-02T14:32:17Z
112757,0.017879,2.250000,2023-05-02T14:32:18Z
113762,0.019690,2.500000,2023-05-02T14:32:19Z
114777,0.019516,2.500000,2023-05-02T14:32:20Z
115782,0.019347,2.500000,2023-05-02T14:32:21Z
116776,0.019182,2.500000,2023-05-02T14:32:22Z
117784,0.019018,2.500000,2023-05-02T14:32:23Z
118804,0.018855,2.500000,2023-05-02T14:32:24Z
119814,0.018696,2.500000,2023-05-02T14:32:25Z
120822,0.018540,2.500000,2023-05-02T14:32:26Z
121837,0.018385,2.500000,2023-05-02T14:32:27Z
122848,0.018234,2.500000,2023-05-02T14:32:28Z
123854,0.018086,2.500000,2023-05-02T14:32:29Z
124864,0.017940,2.500000,2023-05-02T14:32:30Z
125874,0.019575,2.750000,2023-05-02T14:32:31Z
126888,0.019419,2.750000,2023-05-02T14:32:32Z
127904,0.019264,2.750000,2023-05-02T14:32:33Z
128918,0.019113,2.750000,2023-05-02T14:32:34Z
129921,0.018965,2.750000,2023-05-02T14:32:35Z
130932,0.018819,2.750000,2023-05-02T14:32:36Z
131941,0.018675,2.750000,2023-05-02T14:32:37Z
132951,0.018533,2.750000,2023-05-02T14:32:38Z
