TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
43936,0,1.673905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.673905,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:33Z
44949,1,1.673905,0.445063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:34Z
45955,2,1.673905,0.445063,2.935663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.939117,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:35Z
46970,3,1.673905,0.445063,2.935663,2.075918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.939117,1.000000,0.000000,8.000000,2.000000,0.999999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:36Z
47971,4,1.673905,0.445063,2.935663,2.075918,2.990868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.939117,1.000000,0.000000,8.000000,2.000000,0.999999,1.000000,0.000000,7.000000,1.000000,0.956777,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:37Z
48976,5,1.673905,0.445063,2.935663,2.075918,2.990868,0.752634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.939117,1.000000,0.000000,8.000000,2.000000,0.999999,1.000000,0.000000,7.000000,1.000000,0.956777,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:38Z
49989,6,1.673905,0.445063,2.935663,2.075918,2.990868,0.752634,3.055565,0.000000,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.939117,1.000000,0.000000,8.000000,2.000000,0.999999,1.000000,0.000000,7.000000,1.000000,0.956777,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.977474,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:39Z
50991,7,1.673905,0.445063,2.935663,2.075918,2.990868,0.752634,3.055565,2.138699,0.000000,0.000000,0.000000,0.000000,0.445063,NaN,32.000000,9.000000,5.000000,0.998604,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.939117,1.000000,0.000000,8.000000,2.000000,0.999999,1.000000,0.000000,7.000000,1.000000,0.956777,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.977474,1.000000,0.000000,8.000000,4.000000,0.763752,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:39:40Z
94336,0,2.989583,0.445063,2.935663,2.075918,2.990868,0.752634,3.055565,2.138699,0.000000,0.000000,0.000000,0.000000,0.445063,0.830493,32.000000,7.000000,1.000000,0.956366,1.000000,1.676245,11.000000,4.000000,1.000000,1.000000,0.445063,7.000000,1.000000,0.939117,1.000000,3.125982,8.000000,2.000000,0.999999,1.000000,2.075919,7.000000,1.000000,0.956777,1.000000,3.125982,10.000000,3.000000,1.000000,1.000000,0.752634,7.000000,1.000000,0.977474,1.000000,3.125982,8.000000,4.000000,0.763752,1.000000,2.800251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:40:23Z
95345,1,2.989583,0.494858,2.935663,2.075918,2.990868,0.752634,3.055565,2.138699,0.000000,0.000000,0.000000,0.000000,0.494858,0.834399,32.000000,7.000000,1.000000,0.956366,1.000000,1.676245,11.000000,5.000000,0.999897,1.000000,0.445063,7.000000,1.000000,0.939117,1.000000,3.125982,8.000000,2.000000,0.999999,1.000000,2.075919,7.000000,1.000000,0.956777,1.000000,3.125982,10.000000,3.000000,1.000000,1.000000,0.752634,7.000000,1.000000,0.977474,1.000000,3.125982,8.000000,4.000000,0.763752,1.000000,2.800251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-05-04T12:40:24Z
