TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
43648,0,0.586173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586173,NaN,48.000000,10.000000,1.000000,0.971652,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:57:55Z
44642,1,0.586173,0.615855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.586173,NaN,48.000000,10.000000,1.000000,0.971652,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:57:56Z
45652,2,0.586173,0.615855,0.687859,0.000000,0.000000,0.000000,0.000000,0.000000,0.586173,NaN,48.000000,10.000000,1.000000,0.971652,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,9.000000,0.000000,0.791530,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:57:57Z
46666,3,0.586173,0.615855,0.687859,0.602532,0.000000,0.000000,0.000000,0.000000,0.586173,NaN,48.000000,10.000000,1.000000,0.971652,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,9.000000,0.000000,0.791530,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,0.000000,0.693343,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:57:58Z
95852,2,0.489631,0.615855,0.492486,0.602532,0.000000,0.000000,0.000000,0.000000,0.489631,0.988528,48.000000,10.000000,1.000000,0.811622,1.000000,0.603275,9.000000,0.000000,0.708674,1.000000,0.869025,10.000000,1.000000,0.816354,1.000000,2240.000000,1.131520,1288.801280,0.869025,9.000000,0.000000,0.693343,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:58:47Z
104892,1,0.489631,0.575669,0.492486,0.602532,0.000000,0.000000,0.000000,0.000000,0.489631,0.991521,48.000000,10.000000,1.000000,0.811622,1.000000,0.603275,9.000000,0.000000,0.662431,0.909091,0.869025,10.000000,1.000000,0.816354,1.000000,2240.000000,1.131520,1288.801280,0.869025,9.000000,0.000000,0.693343,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:58:56Z
164163,0,0.505935,0.575669,0.492486,0.602532,0.000000,0.000000,0.000000,0.000000,0.492486,0.992848,48.000000,9.000000,0.000000,0.582188,0.882353,0.603275,9.000000,0.000000,0.662431,0.909091,0.869025,10.000000,1.000000,0.816354,1.000000,3136.000000,2.778112,2774.027264,0.726741,9.000000,0.000000,0.693343,1.000000,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:59:56Z
165177,1,0.505935,0.600524,0.492486,0.602532,0.000000,0.000000,0.000000,0.000000,0.492486,0.991359,48.000000,9.000000,0.000000,0.582188,0.882353,0.603275,9.000000,0.000000,0.691032,0.882353,0.869025,10.000000,1.000000,0.816354,1.000000,3136.000000,2.778112,2774.027264,0.726741,9.000000,0.000000,0.693343,1.000000,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:59:57Z
166179,2,0.505935,0.600524,0.547741,0.602532,0.000000,0.000000,0.000000,0.000000,0.505935,0.994956,48.000000,9.000000,0.000000,0.582188,0.882353,0.603275,9.000000,0.000000,0.691032,0.882353,0.869025,9.000000,0.000000,0.630294,0.882353,3360.000000,3.189760,3145.333760,0.712166,9.000000,0.000000,0.693343,1.000000,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:59:58Z
167188,3,0.505935,0.600524,0.547741,0.600524,0.000000,0.000000,0.000000,0.000000,0.505935,0.995065,48.000000,9.000000,0.000000,0.582188,0.882353,0.603275,9.000000,0.000000,0.691032,0.882353,0.869025,9.000000,0.000000,0.630294,0.882353,3360.000000,3.189760,3145.333760,0.712166,9.000000,0.000000,0.691032,0.588235,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T10:59:59Z
