TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
59744,0,0.556522,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556522,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:52Z
60756,1,0.556522,0.586974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556522,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:53Z
61770,2,0.556522,0.586974,0.615855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556522,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:54Z
62782,3,0.556522,0.586974,0.615855,0.583571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.556522,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:55Z
63817,4,0.556522,0.586974,0.615855,0.583571,0.532325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.532325,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,10.000000,1.000000,0.882392,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:56Z
64805,5,0.556522,0.586974,0.615855,0.583571,0.532325,0.609237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.532325,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,10.000000,1.000000,0.882392,1.000000,0.000000,9.000000,0.000000,0.701059,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:57Z
65821,6,0.556522,0.586974,0.615855,0.583571,0.532325,0.609237,0.615855,0.000000,0.000000,0.000000,0.000000,0.000000,0.532325,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,10.000000,1.000000,0.882392,1.000000,0.000000,9.000000,0.000000,0.701059,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:58Z
66826,7,0.556522,0.586974,0.615855,0.583571,0.532325,0.609237,0.615855,0.745251,0.000000,0.000000,0.000000,0.000000,0.532325,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,10.000000,1.000000,0.882392,1.000000,0.000000,9.000000,0.000000,0.701059,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,9.000000,0.000000,0.857572,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:53:59Z
67834,8,0.556522,0.586974,0.615855,0.583571,0.532325,0.609237,0.615855,0.745251,0.615855,0.000000,0.000000,0.000000,0.532325,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,10.000000,1.000000,0.882392,1.000000,0.000000,9.000000,0.000000,0.701059,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,9.000000,0.000000,0.857572,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:54:00Z
68846,9,0.556522,0.586974,0.615855,0.583571,0.532325,0.609237,0.615855,0.745251,0.615855,0.671195,0.000000,0.000000,0.532325,NaN,48.000000,10.000000,1.000000,0.922500,1.000000,0.000000,10.000000,1.000000,0.972978,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,10.000000,1.000000,0.967338,1.000000,0.000000,10.000000,1.000000,0.882392,1.000000,0.000000,9.000000,0.000000,0.701059,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,9.000000,0.000000,0.857572,1.000000,0.000000,9.000000,0.000000,0.708674,1.000000,0.000000,9.000000,0.000000,0.772354,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T13:54:01Z
