TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
66497,0,2.575869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.575869,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:20Z
67509,1,2.575869,1.382234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.382234,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:21Z
68511,2,2.575869,1.382234,2.175705,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.382234,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:22Z
69522,3,2.575869,1.382234,2.175705,1.252634,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:23Z
70533,4,2.575869,1.382234,2.175705,1.252634,3.460344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.947012,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:24Z
71543,5,2.575869,1.382234,2.175705,1.252634,3.460344,2.175696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.947012,1.000000,0.000000,9.000000,5.000000,0.999672,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:25Z
72556,6,2.575869,1.382234,2.175705,1.252634,3.460344,2.175696,2.007414,0.000000,0.000000,0.000000,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.947012,1.000000,0.000000,9.000000,5.000000,0.999672,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:26Z
73563,7,2.575869,1.382234,2.175705,1.252634,3.460344,2.175696,2.007414,2.285481,0.000000,0.000000,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.947012,1.000000,0.000000,9.000000,5.000000,0.999672,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:27Z
74566,8,2.575869,1.382234,2.175705,1.252634,3.460344,2.175696,2.007414,2.285481,1.889921,0.000000,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.947012,1.000000,0.000000,9.000000,5.000000,0.999672,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:28Z
75619,9,2.575869,1.382234,2.175705,1.252634,3.460344,2.175696,2.007414,2.285481,1.889921,3.016185,0.000000,0.000000,1.252634,NaN,32.000000,8.000000,2.000000,0.999976,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,9.000000,5.000000,0.999678,1.000000,0.000000,10.000000,3.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.947012,1.000000,0.000000,9.000000,5.000000,0.999672,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,3.000000,0.974514,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-04-03T21:43:29Z
