TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
65503,0,3.419398,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.419398,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:44Z
66509,1,3.419398,1.713263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:45Z
67527,2,3.419398,1.713263,2.575899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:46Z
68530,3,3.419398,1.713263,2.575899,2.408733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:47Z
69543,4,3.419398,1.713263,2.575899,2.408733,2.138884,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:48Z
70547,5,3.419398,1.713263,2.575899,2.408733,2.138884,3.369221,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.999964,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:49Z
71562,6,3.419398,1.713263,2.575899,2.408733,2.138884,3.369221,2.285481,0.000000,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.999964,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:50Z
72574,7,3.419398,1.713263,2.575899,2.408733,2.138884,3.369221,2.285481,2.575466,0.000000,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.999964,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,2.000000,0.999782,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:51Z
73579,8,3.419398,1.713263,2.575899,2.408733,2.138884,3.369221,2.285481,2.575466,3.049801,0.000000,0.000000,0.000000,1.713263,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.999964,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,2.000000,0.999782,1.000000,0.000000,8.000000,3.000000,0.987534,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:52Z
74582,9,3.419398,1.713263,2.575899,2.408733,2.138884,3.369221,2.285481,2.575466,3.049801,1.020457,0.000000,0.000000,1.020457,NaN,32.000000,7.000000,1.000000,0.933914,1.000000,0.000000,9.000000,7.000000,0.629704,1.000000,0.000000,8.000000,2.000000,0.999990,1.000000,0.000000,8.000000,4.000000,0.681629,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.999964,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,2.000000,0.999782,1.000000,0.000000,8.000000,3.000000,0.987534,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T18:10:53Z
