TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
84925,0,3.349108,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.349108,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:20:59Z
85933,1,3.349108,2.117497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.117497,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:00Z
86941,2,3.349108,2.117497,1.260479,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:01Z
87943,3,3.349108,2.117497,1.260479,3.070382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:02Z
89300,4,3.349108,2.117497,1.260479,3.070382,3.939538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,7.000000,1.000000,0.940357,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:03Z
89954,5,3.349108,2.117497,1.260479,3.070382,3.939538,2.117497,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,7.000000,1.000000,0.940357,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:04Z
90958,6,3.349108,2.117497,1.260479,3.070382,3.939538,2.117497,3.553893,0.000000,0.000000,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,7.000000,1.000000,0.940357,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,8.000000,3.000000,0.989119,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:05Z
91969,7,3.349108,2.117497,1.260479,3.070382,3.939538,2.117497,3.553893,2.507415,0.000000,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,7.000000,1.000000,0.940357,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,8.000000,3.000000,0.989119,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:06Z
92983,8,3.349108,2.117497,1.260479,3.070382,3.939538,2.117497,3.553893,2.507415,3.075893,0.000000,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,7.000000,1.000000,0.940357,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,8.000000,3.000000,0.989119,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,8.000000,2.000000,0.999988,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:07Z
93982,9,3.349108,2.117497,1.260479,3.070382,3.939538,2.117497,3.553893,2.507415,3.075893,3.869247,0.000000,0.000000,1.260479,NaN,32.000000,8.000000,4.000000,0.838892,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,11.000000,0.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.739356,1.000000,0.000000,7.000000,1.000000,0.940357,1.000000,0.000000,9.000000,2.000000,1.000000,1.000000,0.000000,8.000000,3.000000,0.989119,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,8.000000,2.000000,0.999988,1.000000,0.000000,7.000000,0.000000,0.999974,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-31T21:21:08Z
