TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
45908,0,0.603275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.603275,NaN,32.000000,10.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:52:59Z
46912,1,0.603275,1.843092,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.603275,NaN,32.000000,10.000000,1.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.915783,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:53:00Z
47923,2,0.603275,1.843092,1.861500,0.000000,0.000000,0.000000,0.000000,0.000000,0.603275,NaN,32.000000,10.000000,1.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.915783,1.000000,0.000000,8.000000,1.000000,0.924929,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:53:01Z
48921,3,0.603275,1.843092,1.861500,0.978601,0.000000,0.000000,0.000000,0.000000,0.603275,NaN,32.000000,10.000000,1.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.915783,1.000000,0.000000,8.000000,1.000000,0.924929,1.000000,0.000000,10.000000,4.000000,0.999904,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:53:02Z
96132,0,0.546300,1.843092,1.861500,0.978601,0.000000,0.000000,0.000000,0.000000,0.546300,0.842162,32.000000,10.000000,1.000000,0.905556,1.000000,0.603275,8.000000,1.000000,0.915783,1.000000,2.012586,8.000000,1.000000,0.924929,1.000000,2.012586,10.000000,4.000000,0.999904,1.000000,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:53:50Z
98153,2,0.546300,1.843092,1.662937,0.978601,0.000000,0.000000,0.000000,0.000000,0.546300,0.852949,32.000000,10.000000,1.000000,0.905556,1.000000,0.603275,8.000000,1.000000,0.915783,1.000000,2.012586,8.000000,1.000000,0.826269,1.000000,2.012586,10.000000,4.000000,0.999904,1.000000,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:53:52Z
99167,3,0.546300,1.843092,1.662937,0.759451,0.000000,0.000000,0.000000,0.000000,0.546300,0.822488,32.000000,10.000000,1.000000,0.905556,1.000000,0.603275,8.000000,1.000000,0.915783,1.000000,2.012586,8.000000,1.000000,0.826269,1.000000,2.012586,10.000000,5.000000,0.697827,1.000000,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:53:53Z
127268,1,0.546300,1.751739,1.662937,0.759451,0.000000,0.000000,0.000000,0.000000,0.546300,0.830299,32.000000,10.000000,1.000000,0.905556,1.000000,0.603275,8.000000,1.000000,0.870392,0.769231,2.012586,8.000000,1.000000,0.826269,1.000000,2.012586,10.000000,5.000000,0.697827,1.000000,0.995404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:54:21Z
146382,0,0.546842,1.751739,1.662937,0.759451,0.000000,0.000000,0.000000,0.000000,0.546842,0.830416,32.000000,10.000000,1.000000,0.906455,1.000000,0.603275,8.000000,1.000000,0.870392,0.769231,2.012586,8.000000,1.000000,0.826269,1.000000,2.012586,10.000000,5.000000,0.697827,1.000000,1.017111,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:54:40Z
169493,3,0.546842,1.751739,1.662937,1.616615,0.000000,0.000000,0.000000,0.000000,0.546842,0.889379,32.000000,10.000000,1.000000,0.906455,1.000000,0.603275,8.000000,1.000000,0.870392,0.769231,2.012586,8.000000,1.000000,0.826269,1.000000,2.012586,8.000000,1.000000,0.803252,0.882353,1.030595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:55:03Z
177504,1,0.546842,1.730977,1.662937,1.616615,0.000000,0.000000,0.000000,0.000000,0.546842,0.890130,32.000000,10.000000,1.000000,0.906455,1.000000,0.603275,8.000000,1.000000,0.860076,0.833333,2.012586,8.000000,1.000000,0.826269,1.000000,2.012586,8.000000,1.000000,0.803252,0.882353,1.030595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:55:11Z
178507,2,0.546842,1.730977,1.757702,1.616615,0.000000,0.000000,0.000000,0.000000,0.546842,0.887577,32.000000,10.000000,1.000000,0.906455,1.000000,0.603275,8.000000,1.000000,0.860076,0.833333,2.012586,8.000000,1.000000,0.873355,0.833333,2.012586,8.000000,1.000000,0.803252,0.882353,1.030595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:55:12Z
206618,0,1.593408,1.730977,1.757702,1.616615,0.000000,0.000000,0.000000,0.000000,1.593408,0.998217,32.000000,8.000000,1.000000,0.791722,0.952381,0.603275,8.000000,1.000000,0.860076,0.833333,2.012586,8.000000,1.000000,0.873355,0.833333,2.012586,8.000000,1.000000,0.803252,0.882353,1.121823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:55:40Z
227700,1,1.593408,1.421076,1.757702,1.616615,0.000000,0.000000,0.000000,0.000000,1.421076,0.994428,32.000000,8.000000,1.000000,0.791722,0.952381,0.630886,8.000000,1.000000,0.706094,0.869565,2.012586,8.000000,1.000000,0.873355,0.833333,2.012586,8.000000,1.000000,0.803252,0.882353,1.197541,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:56:01Z
229712,3,1.593408,1.421076,1.757702,1.585206,0.000000,0.000000,0.000000,0.000000,1.421076,0.994420,32.000000,8.000000,1.000000,0.791722,0.952381,0.630886,8.000000,1.000000,0.706094,0.869565,2.012586,8.000000,1.000000,0.873355,0.833333,2.012586,9.000000,3.000000,0.965711,0.869565,1.230770,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T16:56:03Z
