TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
53865,0,1.156283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.156283,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:32Z
54879,1,1.156283,1.546616,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.156283,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:33Z
55892,2,1.156283,1.546616,0.301638,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:34Z
56905,3,1.156283,1.546616,0.301638,0.608595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:35Z
57907,4,1.156283,1.546616,0.301638,0.608595,0.603275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:36Z
58911,5,1.156283,1.546616,0.301638,0.608595,0.603275,1.097360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,9.000000,1.000000,0.999999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:37Z
59914,6,1.156283,1.546616,0.301638,0.608595,0.603275,1.097360,1.083966,0.000000,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,9.000000,1.000000,0.999999,1.000000,0.000000,10.000000,5.000000,0.996010,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:38Z
60925,7,1.156283,1.546616,0.301638,0.608595,0.603275,1.097360,1.083966,1.589655,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,9.000000,1.000000,0.999999,1.000000,0.000000,10.000000,5.000000,0.996010,1.000000,0.000000,8.000000,0.000000,0.997391,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:39Z
61938,8,1.156283,1.546616,0.301638,0.608595,0.603275,1.097360,1.083966,1.589655,0.489347,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,9.000000,1.000000,0.999999,1.000000,0.000000,10.000000,5.000000,0.996010,1.000000,0.000000,8.000000,0.000000,0.997391,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:40Z
62945,9,1.156283,1.546616,0.301638,0.608595,0.603275,1.097360,1.083966,1.589655,0.489347,1.596858,0.000000,0.000000,0.301638,NaN,32.000000,9.000000,2.000000,0.992950,1.000000,0.000000,9.000000,3.000000,0.942202,1.000000,0.000000,11.000000,1.000000,1.000000,1.000000,0.000000,11.000000,7.000000,0.973028,1.000000,0.000000,10.000000,1.000000,1.000000,1.000000,0.000000,9.000000,1.000000,0.999999,1.000000,0.000000,10.000000,5.000000,0.996010,1.000000,0.000000,8.000000,0.000000,0.997391,1.000000,0.000000,11.000000,4.000000,1.000000,1.000000,0.000000,9.000000,3.000000,0.972810,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-02-24T19:01:41Z
