TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
53125,0,1.523874,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.523874,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:18Z
54013,1,1.523874,0.882234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.882234,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:19Z
55030,2,1.523874,0.882234,0.833692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.833692,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:20Z
56043,3,1.523874,0.882234,0.833692,1.341070,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.833692,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:21Z
57054,4,1.523874,0.882234,0.833692,1.341070,1.308063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.833692,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,9.000000,3.000000,0.941106,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:22Z
58064,5,1.523874,0.882234,0.833692,1.341070,1.308063,0.605118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.605118,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,9.000000,3.000000,0.941106,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:23Z
59075,6,1.523874,0.882234,0.833692,1.341070,1.308063,0.605118,1.428207,0.000000,0.000000,0.000000,0.000000,0.000000,0.605118,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,9.000000,3.000000,0.941106,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.799900,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:24Z
60091,7,1.523874,0.882234,0.833692,1.341070,1.308063,0.605118,1.428207,1.165524,0.000000,0.000000,0.000000,0.000000,0.605118,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,9.000000,3.000000,0.941106,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.799900,1.000000,0.000000,9.000000,4.000000,0.773194,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:25Z
61100,8,1.523874,0.882234,0.833692,1.341070,1.308063,0.605118,1.428207,1.165524,1.116934,0.000000,0.000000,0.000000,0.605118,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,9.000000,3.000000,0.941106,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.799900,1.000000,0.000000,9.000000,4.000000,0.773194,1.000000,0.000000,9.000000,2.000000,0.999496,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:26Z
62103,9,1.523874,0.882234,0.833692,1.341070,1.308063,0.605118,1.428207,1.165524,1.116934,1.173312,0.000000,0.000000,0.605118,NaN,32.000000,8.000000,1.000000,0.853481,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,10.000000,6.000000,0.863381,1.000000,0.000000,9.000000,3.000000,0.964853,1.000000,0.000000,9.000000,3.000000,0.941106,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,8.000000,1.000000,0.799900,1.000000,0.000000,9.000000,4.000000,0.773194,1.000000,0.000000,9.000000,2.000000,0.999496,1.000000,0.000000,9.000000,3.000000,0.844157,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-26T14:04:27Z
