TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,TotalPowe11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
44475,0,0.603275,0,0,0,0,0,0,0,0,0,0,0,0.603275,NaN,32,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:17:40Z
45477,1,0.603275,1.133521,0,0,0,0,0,0,0,0,0,0,0.603275,NaN,32,10,1,1,1,0,9,4,0.63672,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:17:41Z
94566,0,1.434497,1.133521,0,0,0,0,0,0,0,0,0,0,1.133521,0.98645,32,9,3,0.873899,1,0.603275,9,4,0.63672,1,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:18:30Z
125646,1,1.434497,1.2533,0,0,0,0,0,0,0,0,0,0,1.2533,0.995476,32,9,3,0.873899,1,0.674362,9,4,0.704002,0.769231,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:19:01Z
164749,0,1.312008,1.2533,0,0,0,0,0,0,0,0,0,0,1.2533,0.999477,32,9,3,0.799278,0.882353,0.882293,9,4,0.704002,0.769231,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:19:40Z
185816,1,1.312008,1.267827,0,0,0,0,0,0,0,0,0,0,1.267827,0.999707,32,9,3,0.799278,0.882353,0.921018,9,4,0.712162,0.789474,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:20:01Z
234955,0,1.32431,1.267827,0,0,0,0,0,0,0,0,0,0,1.267827,0.999525,32,9,3,0.806773,0.833333,1.043107,9,4,0.712162,0.789474,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:20:51Z
266040,1,1.32431,1.091176,0,0,0,0,0,0,0,0,0,0,1.091176,0.990771,32,9,3,0.806773,0.833333,1.089847,9,4,0.612934,0.740741,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:21:22Z
295096,0,1.23661,1.091176,0,0,0,0,0,0,0,0,0,0,1.091176,0.996112,32,9,3,0.753345,0.833333,1.147702,9,4,0.612934,0.740741,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:21:51Z
395389,0,1.327813,1.091176,0,0,0,0,0,0,0,0,0,0,1.091176,0.990521,32,9,3,0.808907,0.75,1.221172,9,4,0.612934,0.740741,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:23:31Z
396404,1,1.327813,0.961236,0,0,0,0,0,0,0,0,0,0,0.961236,0.974995,32,9,3,0.808907,0.75,1.221172,9,2,0.825454,0.625,1.78025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:23:32Z
446563,1,1.327813,0.965156,0,0,0,0,0,0,0,0,0,0,0.965156,0.975596,32,9,3,0.808907,0.75,1.265881,9,2,0.828821,0.666667,1.609985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:24:22Z
455578,0,1.293709,0.965156,0,0,0,0,0,0,0,0,0,0,0.965156,0.979282,32,9,3,0.78813,0.76087,1.275611,9,2,0.828821,0.666667,1.609985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:24:31Z
496702,1,1.293709,1.236569,0,0,0,0,0,0,0,0,0,0,1.236569,0.99949,32,9,3,0.78813,0.76087,1.309962,9,3,0.753321,0.7,1.513485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:25:12Z
525758,0,1.307239,1.236569,0,0,0,0,0,0,0,0,0,0,1.236569,0.999229,32,9,3,0.796373,0.754717,1.317565,9,3,0.753321,0.7,1.517302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:25:41Z
556808,1,1.307239,1.193932,0,0,0,0,0,0,0,0,0,0,1.193932,0.997952,32,9,3,0.796373,0.754717,1.338416,9,3,0.727346,0.714286,1.530535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:26:12Z
575853,0,1.307239,1.193932,0,0,0,0,0,0,0,0,0,0,1.193932,0.997952,32,9,3,0.796373,0.775862,1.350887,9,3,0.727346,0.714286,1.533414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:26:32Z
606952,1,1.307239,1.2704,0,0,0,0,0,0,0,0,0,0,1.2704,0.999796,32,9,3,0.796373,0.775862,1.367781,9,3,0.77393,0.737705,1.543577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:27:03Z
625995,0,1.250227,1.2704,0,0,0,0,0,0,0,0,0,0,1.250227,0.999936,32,9,3,0.761641,0.793651,1.377993,9,3,0.77393,0.737705,1.545826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:27:22Z
667122,1,1.250227,1.309665,0,0,0,0,0,0,0,0,0,0,1.250227,0.999461,32,9,3,0.761641,0.793651,1.39629,9,3,0.797851,0.746269,1.553876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:28:03Z
676136,0,1.314254,1.309665,0,0,0,0,0,0,0,0,0,0,1.309665,0.999997,32,9,3,0.800647,0.808824,1.400474,9,3,0.797851,0.746269,1.553876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:28:12Z
726248,0,1.194011,1.309665,0,0,0,0,0,0,0,0,0,0,1.194011,0.997871,32,9,3,0.727394,0.821918,1.419421,9,3,0.797851,0.746269,1.559077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:29:02Z
747286,1,1.194011,1.312002,0,0,0,0,0,0,0,0,0,0,1.194011,0.997788,32,9,3,0.727394,0.821918,1.426191,9,3,0.799275,0.733333,1.562214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-13T11:29:23Z
