TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
44843,0,2.117727,0,0,0,0,0,0,0,0,0,0,0,2.117727,NaN,32,8,2,0.99158,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:03:35Z
45853,1,2.117727,2.922164,0,0,0,0,0,0,0,0,0,0,2.117727,NaN,32,8,2,0.99158,1,0,7,0,0.992798,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:03:36Z
46861,2,2.117727,2.922164,1.593813,0,0,0,0,0,0,0,0,0,1.593813,NaN,32,8,2,0.99158,1,0,7,0,0.992798,1,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:03:37Z
47875,3,2.117727,2.922164,1.593813,0.048848,0,0,0,0,0,0,0,0,0.048848,NaN,32,8,2,0.99158,1,0,7,0,0.992798,1,0,8,0,1,1,0,12,2,0.274844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:03:38Z
95064,0,2.077344,2.922164,1.593813,0.048848,0,0,0,0,0,0,0,0,0.048848,0.716346,32,8,3,0.690025,1,2.135709,7,0,0.992798,1,2.943363,8,0,1,1,1.593813,12,2,0.274844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:04:25Z
96069,1,2.077344,2.895867,1.593813,0.048848,0,0,0,0,0,0,0,0,0.048848,0.717818,32,8,3,0.690025,1,2.135709,7,0,0.983863,1,2.943363,8,0,1,1,1.593813,12,2,0.274844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:04:26Z
97071,2,2.077344,2.895867,2.885474,0.048848,0,0,0,0,0,0,0,0,0.048848,0.743341,32,8,3,0.690025,1,2.135709,7,0,0.983863,1,2.943363,7,0,0.980332,1,1.593813,12,2,0.274844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:04:27Z
146296,1,2.077344,2.848717,2.885474,0.048848,0,0,0,0,0,0,0,0,0.048848,0.744086,32,8,3,0.690025,1,2.452443,7,0,0.967844,1,2.943363,7,0,0.980332,1,2.001725,12,2,0.274844,1,0.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:05:16Z
147294,2,2.077344,2.848717,2.861922,0.048848,0,0,0,0,0,0,0,0,0.048848,0.744488,32,8,3,0.690025,1,2.452443,7,0,0.967844,1,2.943363,7,0,0.972331,1,2.067881,12,2,0.274844,1,0.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:05:17Z
165370,0,2.462423,2.848717,2.861922,0.048848,0,0,0,0,0,0,0,0,0.048848,0.755417,32,7,1,0.662524,0.882353,2.498765,7,0,0.967844,1,2.943363,7,0,0.972331,1,2.125351,12,2,0.274844,1,0.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:05:35Z
196517,1,2.462423,2.826148,2.861922,0.048848,0,0,0,0,0,0,0,0,0.048848,0.755601,32,7,1,0.662524,0.882353,2.575491,7,0,0.960177,1,2.943363,7,0,0.972331,1,2.259939,12,2,0.274844,1,0.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:06:06Z
197529,2,2.462423,2.826148,2.822792,0.048848,0,0,0,0,0,0,0,0,0.048848,0.755966,32,7,1,0.662524,0.882353,2.575491,7,0,0.960177,1,2.943363,7,0,0.959036,1,2.295471,12,2,0.274844,1,0.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:06:07Z
218599,3,2.462423,2.826148,2.822792,2.672627,0,0,0,0,0,0,0,0,2.462423,0.996978,32,7,1,0.662524,0.882353,2.643123,7,0,0.960177,1,2.943363,7,0,0.959036,1,2.356496,8,3,0.887758,0.454545,0.17773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:06:29Z
246709,1,2.462423,2.85559,2.822792,2.672627,0,0,0,0,0,0,0,0,2.462423,0.996712,32,7,1,0.662524,0.882353,2.643123,7,0,0.970179,1,2.943363,7,0,0.959036,1,2.407015,8,3,0.887758,0.454545,0.243082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:06:57Z
247713,2,2.462423,2.85559,2.775253,2.672627,0,0,0,0,0,0,0,0,2.462423,0.997014,32,7,1,0.662524,0.882353,2.643123,7,0,0.970179,1,2.943363,7,0,0.942885,1,2.429147,8,3,0.887758,0.454545,0.243082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:06:58Z
268812,3,2.462423,2.85559,2.775253,2.275985,0,0,0,0,0,0,0,0,2.275985,0.991892,32,7,1,0.662524,0.882353,2.756887,7,0,0.970179,1,2.943363,7,0,0.942885,1,2.46835,8,3,0.756007,0.555556,0.335645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:07:19Z
275820,0,2.58124,2.85559,2.775253,2.275985,0,0,0,0,0,0,0,0,2.275985,0.9928,32,7,1,0.694492,0.714286,2.805182,7,0,0.970179,1,2.943363,7,0,0.942885,1,2.46835,8,3,0.756007,0.555556,0.335645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:07:26Z
296936,1,2.58124,2.828148,2.775253,2.275985,0,0,0,0,0,0,0,0,2.275985,0.993204,32,7,1,0.694492,0.714286,2.888527,7,0,0.960856,1,2.943363,7,0,0.942885,1,2.501998,8,3,0.756007,0.555556,0.335645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:07:47Z
297932,2,2.58124,2.828148,2.864788,2.275985,0,0,0,0,0,0,0,0,2.275985,0.99209,32,7,1,0.694492,0.714286,2.888527,7,0,0.960856,1,2.943363,7,0,0.973305,1,2.517096,8,3,0.756007,0.555556,0.335645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-10T11:07:48Z
