TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,ExisTP1,IncreGain1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,ExisTP2,IncreGain2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,ExisTP3,IncreGain3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,ExisTP4,IncreGain4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,ExisTP5,IncreGain5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,ExisTP6,IncreGain6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,ExisTP7,IncreGain7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,ExisTP8,IncreGain8,time
95295,0,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593813,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:32Z
96305,1,1.593813,1.778490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593813,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,4.000000,0.999011,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:33Z
97320,2,1.593813,1.778490,0.640181,0.000000,0.000000,0.000000,0.000000,0.000000,0.640181,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,4.000000,0.999011,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2016.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:34Z
98330,3,1.593813,1.778490,0.640181,1.593813,0.000000,0.000000,0.000000,0.000000,0.640181,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,4.000000,0.999011,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,2.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,0.000000,1.000000,1.000000,2240.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:35Z
195709,0,2.056513,1.778490,0.640181,1.593813,0.000000,0.000000,0.000000,0.000000,0.640181,0.890338,32.000000,8.000000,2.000000,0.962918,1.000000,4480.000000,1.233920,1405.434880,1.593813,0.000000,0.000000,9.000000,4.000000,0.999011,1.000000,4256.000000,2.036736,1132.425216,1.780250,0.000000,-4.900000,10.000000,2.000000,1.000000,1.000000,4256.000000,3.704832,3149.107200,0.640181,0.000000,-2.500000,8.000000,0.000000,1.000000,1.000000,4256.000000,1.110528,1264.891392,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:12Z
196702,1,2.056513,2.375003,0.640181,1.593813,0.000000,0.000000,0.000000,0.000000,0.640181,0.866404,32.000000,8.000000,2.000000,0.962918,1.000000,4480.000000,1.233920,1405.434880,1.593813,0.000000,0.000000,8.000000,3.000000,0.788897,1.000000,4480.000000,2.263040,1258.250240,1.780250,4.000000,-4.900000,10.000000,2.000000,1.000000,1.000000,4256.000000,3.704832,3149.107200,0.640181,0.000000,-2.500000,8.000000,0.000000,1.000000,1.000000,4256.000000,1.110528,1264.891392,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:13Z
197708,2,2.056513,2.375003,2.002374,1.593813,0.000000,0.000000,0.000000,0.000000,1.593813,0.981204,32.000000,8.000000,2.000000,0.962918,1.000000,4480.000000,1.233920,1405.434880,1.593813,0.000000,0.000000,8.000000,3.000000,0.788897,1.000000,4480.000000,2.263040,1258.250240,1.780250,4.000000,-4.900000,8.000000,1.000000,0.994926,1.000000,4480.000000,4.116480,3499.008000,0.640181,2.000000,-2.500000,8.000000,0.000000,1.000000,1.000000,4256.000000,1.110528,1264.891392,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:14Z
198710,3,2.056513,2.375003,2.002374,1.592095,0.000000,0.000000,0.000000,0.000000,1.592095,0.981111,32.000000,8.000000,2.000000,0.962918,1.000000,4480.000000,1.233920,1405.434880,1.593813,0.000000,0.000000,8.000000,3.000000,0.788897,1.000000,4480.000000,2.263040,1258.250240,1.780250,4.000000,-4.900000,8.000000,1.000000,0.994926,1.000000,4480.000000,4.116480,3499.008000,0.640181,2.000000,-2.500000,8.000000,0.000000,0.998922,1.000000,4480.000000,1.233920,1405.434880,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:15Z
296104,0,1.954477,2.375003,2.002374,1.592095,0.000000,0.000000,0.000000,0.000000,1.592095,0.980778,32.000000,7.000000,2.000000,0.495544,1.000000,6720.000000,2.467840,2454.266880,1.825392,2.000000,-2.500000,8.000000,3.000000,0.788897,1.000000,5600.000000,2.880000,1630.277120,2.060999,4.000000,-3.700000,8.000000,1.000000,0.994926,1.000000,6496.000000,5.227008,4500.704256,0.945630,2.000000,-1.200000,8.000000,0.000000,0.998922,1.000000,6496.000000,2.344448,2670.326272,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:51:53Z
298112,2,1.954477,2.375003,2.973469,1.592095,0.000000,0.000000,0.000000,0.000000,1.592095,0.949299,32.000000,7.000000,2.000000,0.495544,1.000000,6720.000000,2.467840,2454.266880,1.825392,2.000000,-2.500000,8.000000,3.000000,0.788897,1.000000,5824.000000,3.003392,1704.682496,2.102444,4.000000,-3.700000,7.000000,1.000000,0.800023,1.000000,6720.000000,5.350400,4612.003840,0.971378,1.000000,-1.200000,8.000000,0.000000,0.998922,1.000000,6496.000000,2.344448,2670.326272,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:51:55Z
