TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
45774,0,2.878483,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.878483,NaN,32.000000,7.000000,0.000000,0.977957,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:13:33Z
46780,1,2.878483,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593813,NaN,32.000000,7.000000,0.000000,0.977957,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:13:34Z
47778,2,2.878483,1.593813,0.869025,0.000000,0.000000,0.000000,0.000000,0.000000,0.869025,NaN,32.000000,7.000000,0.000000,0.977957,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:13:35Z
48785,3,2.878483,1.593813,0.869025,0.024738,0.000000,0.000000,0.000000,0.000000,0.024738,NaN,32.000000,7.000000,0.000000,0.977957,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,12.000000,6.000000,0.076964,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:13:36Z
49799,4,2.878483,1.593813,0.869025,0.024738,1.641479,0.000000,0.000000,0.000000,0.024738,NaN,32.000000,7.000000,0.000000,0.977957,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,12.000000,6.000000,0.076964,1.000000,0.000000,9.000000,3.000000,0.999993,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:13:37Z
50808,5,2.878483,1.593813,0.869025,0.024738,1.641479,2.122199,0.000000,0.000000,0.024738,NaN,32.000000,7.000000,0.000000,0.977957,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,0.000000,1.000000,1.000000,0.000000,12.000000,6.000000,0.076964,1.000000,0.000000,9.000000,3.000000,0.999993,1.000000,0.000000,8.000000,2.000000,0.993674,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:13:38Z
96052,0,2.878144,1.593813,0.869025,0.024738,1.641479,2.122199,0.000000,0.000000,0.024738,0.739750,32.000000,7.000000,0.000000,0.977842,1.000000,2.943363,8.000000,0.000000,1.000000,1.000000,1.593813,9.000000,0.000000,1.000000,1.000000,0.869025,12.000000,6.000000,0.076964,1.000000,0.000000,9.000000,3.000000,0.999993,1.000000,1.641491,8.000000,2.000000,0.993674,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:14:24Z
97069,1,2.878144,2.864227,0.869025,0.024738,1.641479,2.122199,0.000000,0.000000,0.024738,0.737516,32.000000,7.000000,0.000000,0.977842,1.000000,2.943363,7.000000,0.000000,0.973114,1.000000,1.593813,9.000000,0.000000,1.000000,1.000000,0.869025,12.000000,6.000000,0.076964,1.000000,0.000000,9.000000,3.000000,0.999993,1.000000,1.641491,8.000000,2.000000,0.993674,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:14:25Z
98070,2,2.878144,2.864227,2.002207,0.024738,1.641479,2.122199,0.000000,0.000000,0.024738,0.800441,32.000000,7.000000,0.000000,0.977842,1.000000,2.943363,7.000000,0.000000,0.973114,1.000000,1.593813,8.000000,1.000000,0.994843,1.000000,0.869025,12.000000,6.000000,0.076964,1.000000,0.000000,9.000000,3.000000,0.999993,1.000000,1.641491,8.000000,2.000000,0.993674,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:14:26Z
100075,4,2.878144,2.864227,2.002207,0.024738,2.004251,2.122199,0.000000,0.000000,0.024738,0.812775,32.000000,7.000000,0.000000,0.977842,1.000000,2.943363,7.000000,0.000000,0.973114,1.000000,1.593813,8.000000,1.000000,0.994843,1.000000,0.869025,12.000000,6.000000,0.076964,1.000000,0.000000,8.000000,2.000000,0.938447,1.000000,1.641491,8.000000,2.000000,0.993674,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:14:28Z
101083,5,2.878144,2.864227,2.002207,0.024738,2.004251,1.958260,0.000000,0.000000,0.024738,0.809182,32.000000,7.000000,0.000000,0.977842,1.000000,2.943363,7.000000,0.000000,0.973114,1.000000,1.593813,8.000000,1.000000,0.994843,1.000000,0.869025,12.000000,6.000000,0.076964,1.000000,0.000000,8.000000,2.000000,0.938447,1.000000,1.641491,8.000000,2.000000,0.916913,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:14:29Z
146327,0,2.801408,2.864227,2.002207,0.024738,2.004251,1.958260,0.000000,0.000000,0.024738,0.811100,32.000000,7.000000,0.000000,0.951771,1.000000,2.943363,7.000000,0.000000,0.973114,1.000000,2.001725,8.000000,1.000000,0.994843,1.000000,1.162630,12.000000,6.000000,0.076964,1.000000,0.000000,8.000000,2.000000,0.938447,1.000000,1.829668,8.000000,2.000000,0.916913,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:15:14Z
147337,1,2.801408,2.880278,2.002207,0.024738,2.004251,1.958260,0.000000,0.000000,0.024738,0.810658,32.000000,7.000000,0.000000,0.951771,1.000000,2.943363,7.000000,0.000000,0.978567,1.000000,2.067881,8.000000,1.000000,0.994843,1.000000,1.162630,12.000000,6.000000,0.076964,1.000000,0.000000,8.000000,2.000000,0.938447,1.000000,1.829668,8.000000,2.000000,0.916913,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:15:15Z
148344,2,2.801408,2.880278,1.995708,0.024738,2.004251,1.958260,0.000000,0.000000,0.024738,0.810508,32.000000,7.000000,0.000000,0.951771,1.000000,2.943363,7.000000,0.000000,0.978567,1.000000,2.067881,8.000000,1.000000,0.991614,1.000000,1.213895,12.000000,6.000000,0.076964,1.000000,0.000000,8.000000,2.000000,0.938447,1.000000,1.829668,8.000000,2.000000,0.916913,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:15:16Z
150350,4,2.801408,2.880278,1.995708,0.024738,1.912109,1.958260,0.000000,0.000000,0.024738,0.808177,32.000000,7.000000,0.000000,0.951771,1.000000,2.943363,7.000000,0.000000,0.978567,1.000000,2.067881,8.000000,1.000000,0.991614,1.000000,1.213895,12.000000,6.000000,0.076964,1.000000,0.000000,8.000000,2.000000,0.895304,1.000000,1.856268,8.000000,2.000000,0.916913,1.000000,2.135709,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-10T10:15:18Z
