TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
44738,0,2.108561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.108561,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:45:55Z
45753,1,2.108561,2.283036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.108561,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:45:56Z
46750,2,2.108561,2.283036,2.922119,0.000000,0.000000,0.000000,0.000000,0.000000,2.108561,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.992782,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:45:57Z
47754,3,2.108561,2.283036,2.922119,0.978695,0.000000,0.000000,0.000000,0.000000,0.978695,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.992782,1.000000,0.000000,10.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:45:58Z
48757,4,2.108561,2.283036,2.922119,0.978695,2.925816,0.000000,0.000000,0.000000,0.978695,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.992782,1.000000,0.000000,10.000000,4.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.994039,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:45:59Z
49757,5,2.108561,2.283036,2.922119,0.978695,2.925816,1.778067,0.000000,0.000000,0.978695,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.992782,1.000000,0.000000,10.000000,4.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.994039,1.000000,0.000000,9.000000,4.000000,0.998774,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:46:00Z
50766,6,2.108561,2.283036,2.922119,0.978695,2.925816,1.778067,0.320091,0.000000,0.320091,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.992782,1.000000,0.000000,10.000000,4.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.994039,1.000000,0.000000,9.000000,4.000000,0.998774,1.000000,0.000000,11.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-09T22:46:01Z
51766,7,2.108561,2.283036,2.922119,0.978695,2.925816,1.778067,0.320091,3.240322,0.320091,NaN,32.000000,8.000000,2.000000,0.987289,1.000000,0.000000,8.000000,3.000000,0.758349,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,0.000000,0.992782,1.000000,0.000000,10.000000,4.000000,1.000000,1.000000,0.000000,7.000000,0.000000,0.994039,1.000000,0.000000,9.000000,4.000000,0.998774,1.000000,0.000000,11.000000,2.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.871821,1.000000,0.000000,2023-01-09T22:46:02Z
95107,0,2.026081,2.283036,2.922119,0.978695,2.925816,1.778067,0.320091,3.240322,0.320091,0.824665,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,1792.000000,0.370176,223.216128,3.010535,7.000000,0.000000,0.992782,1.000000,2.943363,10.000000,4.000000,1.000000,1.000000,0.978695,7.000000,0.000000,0.994039,1.000000,2.943363,9.000000,4.000000,0.998774,1.000000,1.780250,11.000000,2.000000,1.000000,1.000000,0.320091,7.000000,1.000000,0.871821,1.000000,3.716730,2023-01-09T22:46:45Z
97117,2,2.026081,2.283036,2.831902,0.978695,2.925816,1.778067,0.320091,3.240322,0.320091,0.826082,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,2016.000000,0.493568,297.621504,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,10.000000,4.000000,1.000000,1.000000,0.978695,7.000000,0.000000,0.994039,1.000000,2.943363,9.000000,4.000000,0.998774,1.000000,1.780250,11.000000,2.000000,1.000000,1.000000,0.320091,7.000000,1.000000,0.871821,1.000000,3.716730,2023-01-09T22:46:47Z
98126,3,2.026081,2.283036,2.831902,2.000550,2.925816,1.778067,0.320091,3.240322,0.320091,0.867333,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,2016.000000,0.493568,297.621504,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,0.978695,7.000000,0.000000,0.994039,1.000000,2.943363,9.000000,4.000000,0.998774,1.000000,1.780250,11.000000,2.000000,1.000000,1.000000,0.320091,7.000000,1.000000,0.871821,1.000000,3.716730,2023-01-09T22:46:48Z
99134,4,2.026081,2.283036,2.831902,2.000550,2.811983,1.778067,0.320091,3.240322,0.320091,0.869025,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,2016.000000,0.493568,297.621504,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,0.978695,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.998774,1.000000,1.780250,11.000000,2.000000,1.000000,1.000000,0.320091,7.000000,1.000000,0.871821,1.000000,3.716730,2023-01-09T22:46:49Z
100146,5,2.026081,2.283036,2.831902,2.000550,2.811983,1.726904,0.320091,3.240322,0.320091,0.867507,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,2016.000000,0.493568,297.621504,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,0.978695,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,11.000000,2.000000,1.000000,1.000000,0.320091,7.000000,1.000000,0.871821,1.000000,3.716730,2023-01-09T22:46:50Z
101160,6,2.026081,2.283036,2.831902,2.000550,2.811983,1.726904,1.747738,3.240322,1.726904,0.951539,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,2016.000000,0.493568,297.621504,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,0.978695,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.320091,7.000000,1.000000,0.871821,1.000000,3.716730,2023-01-09T22:46:51Z
102166,7,2.026081,2.283036,2.831902,2.000550,2.811983,1.726904,1.747738,2.737815,1.726904,0.964274,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.758349,1.000000,2016.000000,0.493568,297.621504,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,0.978695,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.320091,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:46:52Z
116269,1,2.026081,2.186693,2.831902,2.000550,2.811983,1.726904,1.747738,2.737815,1.726904,0.963775,32.000000,8.000000,2.000000,0.948669,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2240.000000,0.616960,372.026880,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,1.070336,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.372077,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:06Z
145493,0,1.972914,2.186693,2.831902,2.000550,2.811983,1.726904,1.747738,2.737815,1.726904,0.962946,32.000000,8.000000,1.000000,0.980288,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2464.000000,0.740352,446.432256,3.010535,7.000000,0.000000,0.962131,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,1.268260,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.466853,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:36Z
147505,2,1.972914,2.186693,2.794233,2.000550,2.811983,1.726904,1.747738,2.737815,1.726904,0.963772,32.000000,8.000000,1.000000,0.980288,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2688.000000,0.863744,520.837632,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,8.000000,1.000000,0.994020,1.000000,1.268260,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.466853,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:38Z
148516,3,1.972914,2.186693,2.794233,2.764981,2.811983,1.726904,1.747738,2.737815,1.726904,0.963728,32.000000,8.000000,1.000000,0.980288,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2688.000000,0.863744,520.837632,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.316966,7.000000,0.000000,0.955364,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.466853,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:39Z
149520,4,1.972914,2.186693,2.794233,2.764981,2.811254,1.726904,1.747738,2.737815,1.726904,0.963739,32.000000,8.000000,1.000000,0.980288,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2688.000000,0.863744,520.837632,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.316966,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.970035,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.466853,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:40Z
150530,5,1.972914,2.186693,2.794233,2.764981,2.811254,1.674987,1.747738,2.737815,1.674987,0.962137,32.000000,8.000000,1.000000,0.980288,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2688.000000,0.863744,520.837632,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.316966,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.466853,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:41Z
162621,7,1.972914,2.186693,2.794233,2.764981,2.811254,1.674987,1.747738,2.308536,1.674987,0.964484,32.000000,8.000000,1.000000,0.980288,1.000000,2.123897,8.000000,3.000000,0.726347,0.833333,2912.000000,0.987136,595.243008,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.386620,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.510171,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:47:53Z
171669,6,1.972914,2.186693,2.794233,2.764981,2.811254,1.674987,1.651033,2.308536,1.651033,0.961609,32.000000,8.000000,1.000000,0.980288,1.000000,2.114153,8.000000,3.000000,0.726347,0.833333,2912.000000,0.987136,595.243008,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.450553,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.551077,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:02Z
195823,0,2.828648,2.186693,2.794233,2.764981,2.811254,1.674987,1.651033,2.308536,1.651033,0.962172,32.000000,7.000000,1.000000,0.761058,1.000000,2.093028,8.000000,3.000000,0.726347,0.833333,3136.000000,1.110528,669.648384,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.509442,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.589767,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:26Z
