TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,time
44468,0,2.675420,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.675420,NaN,32.000000,7.000000,2.000000,0.678334,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:33:24Z
45477,1,2.675420,1.164493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.164493,NaN,32.000000,7.000000,2.000000,0.678334,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:33:25Z
46487,2,2.675420,1.164493,3.707500,0.000000,0.000000,0.000000,0.000000,0.000000,1.164493,NaN,32.000000,7.000000,2.000000,0.678334,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,1.000000,0.997517,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:33:26Z
47497,3,2.675420,1.164493,3.707500,1.591842,0.000000,0.000000,0.000000,0.000000,1.164493,NaN,32.000000,7.000000,2.000000,0.678334,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,7.000000,1.000000,0.997517,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,6.000000,0.755861,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:33:27Z
95685,1,2.675420,1.164324,3.707500,1.591842,0.000000,0.000000,0.000000,0.000000,1.164324,0.842201,32.000000,7.000000,2.000000,0.678334,1.000000,1792.000000,0.200448,170.380800,3.944106,9.000000,2.000000,0.999855,1.000000,2240.000000,1.131520,961.792000,1.164493,7.000000,1.000000,0.997517,1.000000,2016.000000,0.267264,241.072128,3.716730,9.000000,6.000000,0.755861,1.000000,1792.000000,0.678912,319.088640,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:34:15Z
96697,2,2.675420,1.164324,3.592812,1.591842,0.000000,0.000000,0.000000,0.000000,1.164324,0.849897,32.000000,7.000000,2.000000,0.678334,1.000000,1792.000000,0.200448,170.380800,3.944106,9.000000,2.000000,0.999855,1.000000,2240.000000,1.131520,961.792000,1.164493,7.000000,1.000000,0.966659,1.000000,2240.000000,0.334080,301.340160,3.716730,9.000000,6.000000,0.755861,1.000000,1792.000000,0.678912,319.088640,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:34:16Z
107759,3,2.675420,1.164324,3.592812,1.638903,0.000000,0.000000,0.000000,0.000000,1.164324,0.853368,32.000000,7.000000,2.000000,0.678334,1.000000,1792.000000,0.200448,170.380800,3.944106,9.000000,2.000000,0.999855,1.000000,2464.000000,1.357824,1154.150400,1.164493,7.000000,1.000000,0.966659,1.000000,2464.000000,0.400896,361.608192,3.716730,9.000000,6.000000,0.778207,0.909091,2240.000000,1.131520,531.814400,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:34:27Z
134879,0,2.663953,1.164324,3.592812,1.638903,0.000000,0.000000,0.000000,0.000000,1.164324,0.853379,32.000000,7.000000,2.000000,0.675426,0.714286,2240.000000,0.334080,283.968000,3.944106,9.000000,2.000000,0.999855,1.000000,2912.000000,1.810432,1538.867200,1.164493,7.000000,1.000000,0.966659,1.000000,2912.000000,0.534528,482.144256,3.716730,9.000000,6.000000,0.778207,0.909091,2464.000000,1.357824,638.177280,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:34:54Z
145918,1,2.663953,3.631352,3.592812,1.638903,0.000000,0.000000,0.000000,0.000000,1.638903,0.925870,32.000000,7.000000,2.000000,0.675426,0.714286,2464.000000,0.400896,340.761600,3.944106,7.000000,1.000000,0.977029,1.000000,3360.000000,2.263040,1923.584000,1.164493,7.000000,1.000000,0.966659,1.000000,3136.000000,0.601344,542.412288,3.716730,9.000000,6.000000,0.778207,0.909091,2688.000000,1.584128,744.540160,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:35:05Z
146920,2,2.663953,3.631352,3.629589,1.638903,0.000000,0.000000,0.000000,0.000000,1.638903,0.924940,32.000000,7.000000,2.000000,0.675426,0.714286,2464.000000,0.400896,340.761600,3.944106,7.000000,1.000000,0.977029,1.000000,3360.000000,2.263040,1923.584000,1.164493,7.000000,1.000000,0.976555,1.000000,3360.000000,0.668160,602.680320,3.716730,9.000000,6.000000,0.778207,0.909091,2688.000000,1.584128,744.540160,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T20:35:06Z
