TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
45614,0,1.250299,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.250299,NaN,32.000000,10.000000,7.000000,0.999496,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:25:39Z
46625,1,1.250299,1.160428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.160428,NaN,32.000000,10.000000,7.000000,0.999496,1.000000,0.000000,9.000000,6.000000,0.551011,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:25:40Z
47622,2,1.250299,1.160428,2.943361,0.000000,0.000000,0.000000,0.000000,0.000000,1.160428,NaN,32.000000,10.000000,7.000000,0.999496,1.000000,0.000000,9.000000,6.000000,0.551011,1.000000,0.000000,7.000000,0.000000,0.999999,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:25:41Z
48635,3,1.250299,1.160428,2.943361,1.780250,0.000000,0.000000,0.000000,0.000000,1.160428,NaN,32.000000,10.000000,7.000000,0.999496,1.000000,0.000000,9.000000,6.000000,0.551011,1.000000,0.000000,7.000000,0.000000,0.999999,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:25:42Z
49635,4,1.250299,1.160428,2.943361,1.780250,3.710006,0.000000,0.000000,0.000000,1.160428,NaN,32.000000,10.000000,7.000000,0.999496,1.000000,0.000000,9.000000,6.000000,0.551011,1.000000,0.000000,7.000000,0.000000,0.999999,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.998191,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:25:43Z
50646,5,1.250299,1.160428,2.943361,1.780250,3.710006,1.615757,0.000000,0.000000,1.160428,NaN,32.000000,10.000000,7.000000,0.999496,1.000000,0.000000,9.000000,6.000000,0.551011,1.000000,0.000000,7.000000,0.000000,0.999999,1.000000,0.000000,9.000000,4.000000,1.000000,1.000000,0.000000,7.000000,1.000000,0.998191,1.000000,0.000000,9.000000,6.000000,0.767217,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:25:44Z
95871,0,3.000968,1.160428,2.943361,1.780250,3.710006,1.615757,0.000000,0.000000,1.160428,0.872867,32.000000,8.000000,3.000000,0.996822,1.000000,1.250929,9.000000,6.000000,0.551011,1.000000,2.105998,7.000000,0.000000,0.999999,1.000000,2.943363,9.000000,4.000000,1.000000,1.000000,1.780250,7.000000,1.000000,0.998191,1.000000,3.716730,9.000000,6.000000,0.767217,1.000000,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:26:29Z
97886,2,3.000968,1.160428,2.942390,1.780250,3.710006,1.615757,0.000000,0.000000,1.160428,0.872878,32.000000,8.000000,3.000000,0.996822,1.000000,1.250929,9.000000,6.000000,0.551011,1.000000,2.105998,7.000000,0.000000,0.999669,1.000000,2.943363,9.000000,4.000000,1.000000,1.000000,1.780250,7.000000,1.000000,0.998191,1.000000,3.716730,9.000000,6.000000,0.767217,1.000000,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:26:31Z
98899,3,3.000968,1.160428,2.942390,1.768370,3.710006,1.615757,0.000000,0.000000,1.160428,0.872373,32.000000,8.000000,3.000000,0.996822,1.000000,1.250929,9.000000,6.000000,0.551011,1.000000,2.105998,7.000000,0.000000,0.999669,1.000000,2.943363,9.000000,4.000000,0.993327,1.000000,1.780250,7.000000,1.000000,0.998191,1.000000,3.716730,9.000000,6.000000,0.767217,1.000000,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:26:32Z
99905,4,3.000968,1.160428,2.942390,1.768370,3.616580,1.615757,0.000000,0.000000,1.160428,0.876508,32.000000,8.000000,3.000000,0.996822,1.000000,1.250929,9.000000,6.000000,0.551011,1.000000,2.105998,7.000000,0.000000,0.999669,1.000000,2.943363,9.000000,4.000000,0.993327,1.000000,1.780250,7.000000,1.000000,0.973054,1.000000,3.716730,9.000000,6.000000,0.767217,1.000000,2.105998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-19T20:26:33Z
