TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,time
43984,0,1.338456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.338456,NaN,32.000000,7.000000,0.000000,0.454737,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:20:59Z
44983,1,1.338456,0.902392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.902392,NaN,32.000000,7.000000,0.000000,0.454737,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,3.000000,0.999979,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:00Z
45993,2,1.338456,0.902392,1.164130,0.000000,0.000000,0.000000,0.000000,0.000000,0.902392,NaN,32.000000,7.000000,0.000000,0.454737,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,3.000000,0.999979,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999688,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:01Z
47005,3,1.338456,0.902392,1.164130,1.163554,0.000000,0.000000,0.000000,0.000000,0.902392,NaN,32.000000,7.000000,0.000000,0.454737,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,3.000000,0.999979,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999688,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999194,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:02Z
48011,4,1.338456,0.902392,1.164130,1.163554,0.477747,0.000000,0.000000,0.000000,0.477747,NaN,32.000000,7.000000,0.000000,0.454737,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,3.000000,0.999979,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999688,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999194,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,896.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:03Z
49021,5,1.338456,0.902392,1.164130,1.163554,0.477747,0.978622,0.000000,0.000000,0.477747,NaN,32.000000,7.000000,0.000000,0.454737,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,3.000000,0.999979,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999688,1.000000,1120.000000,0.000000,0.000000,0.000000,9.000000,2.000000,0.999194,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,0.000000,1.000000,1.000000,1120.000000,0.000000,0.000000,0.000000,10.000000,4.000000,0.999926,1.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:04Z
95284,1,1.338456,0.568978,1.164130,1.163554,0.477747,0.978622,0.000000,0.000000,0.477747,0.898279,32.000000,7.000000,0.000000,0.454737,1.000000,1568.000000,0.133632,152.206848,2.943363,10.000000,3.000000,0.630508,1.000000,2240.000000,2.058240,1241.118720,0.902412,9.000000,2.000000,0.999688,1.000000,2016.000000,0.905216,769.433600,1.164493,9.000000,2.000000,0.999194,1.000000,2016.000000,0.905216,769.433600,1.164493,10.000000,0.000000,1.000000,1.000000,2016.000000,1.646592,1875.468288,0.477747,10.000000,4.000000,0.999926,1.000000,2016.000000,1.646592,915.505152,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:51Z
96296,2,1.338456,0.568978,0.966027,1.163554,0.477747,0.978622,0.000000,0.000000,0.477747,0.900028,32.000000,7.000000,0.000000,0.454737,1.000000,1568.000000,0.133632,152.206848,2.943363,10.000000,3.000000,0.630508,1.000000,2240.000000,2.058240,1241.118720,0.902412,9.000000,2.000000,0.829568,1.000000,2240.000000,1.131520,961.792000,1.164493,9.000000,2.000000,0.999194,1.000000,2016.000000,0.905216,769.433600,1.164493,10.000000,0.000000,1.000000,1.000000,2016.000000,1.646592,1875.468288,0.477747,10.000000,4.000000,0.999926,1.000000,2016.000000,1.646592,915.505152,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:52Z
97297,3,1.338456,0.568978,0.966027,1.888646,0.477747,0.978622,0.000000,0.000000,0.477747,0.826129,32.000000,7.000000,0.000000,0.454737,1.000000,1568.000000,0.133632,152.206848,2.943363,10.000000,3.000000,0.630508,1.000000,2240.000000,2.058240,1241.118720,0.902412,9.000000,2.000000,0.829568,1.000000,2240.000000,1.131520,961.792000,1.164493,8.000000,1.000000,0.938417,1.000000,2240.000000,1.131520,961.792000,1.164493,10.000000,0.000000,1.000000,1.000000,2016.000000,1.646592,1875.468288,0.477747,10.000000,4.000000,0.999926,1.000000,2016.000000,1.646592,915.505152,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:53Z
98304,4,1.338456,0.568978,0.966027,1.888646,0.397655,0.978622,0.000000,0.000000,0.397655,0.812286,32.000000,7.000000,0.000000,0.454737,1.000000,1568.000000,0.133632,152.206848,2.943363,10.000000,3.000000,0.630508,1.000000,2240.000000,2.058240,1241.118720,0.902412,9.000000,2.000000,0.829568,1.000000,2240.000000,1.131520,961.792000,1.164493,8.000000,1.000000,0.938417,1.000000,2240.000000,1.131520,961.792000,1.164493,10.000000,0.000000,0.832355,1.000000,2240.000000,2.058240,2344.335360,0.477747,10.000000,4.000000,0.999926,1.000000,2016.000000,1.646592,915.505152,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:54Z
99318,5,1.338456,0.568978,0.966027,1.888646,0.397655,0.638133,0.000000,0.000000,0.397655,0.780226,32.000000,7.000000,0.000000,0.454737,1.000000,1568.000000,0.133632,152.206848,2.943363,10.000000,3.000000,0.630508,1.000000,2240.000000,2.058240,1241.118720,0.902412,9.000000,2.000000,0.829568,1.000000,2240.000000,1.131520,961.792000,1.164493,8.000000,1.000000,0.938417,1.000000,2240.000000,1.131520,961.792000,1.164493,10.000000,0.000000,0.832355,1.000000,2240.000000,2.058240,2344.335360,0.477747,10.000000,5.000000,0.586353,1.000000,2240.000000,2.058240,1144.381440,0.978695,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T20:21:55Z
