TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
95295,0,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593813,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:32Z
96305,1,1.593813,1.778490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.593813,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,4.000000,0.999011,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:33Z
97320,2,1.593813,1.778490,0.640181,0.000000,0.000000,0.000000,0.000000,0.000000,0.640181,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,4.000000,0.999011,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:34Z
98330,3,1.593813,1.778490,0.640181,1.593813,0.000000,0.000000,0.000000,0.000000,0.640181,NaN,32.000000,8.000000,0.000000,1.000000,1.000000,0.000000,9.000000,4.000000,0.999011,1.000000,0.000000,10.000000,2.000000,1.000000,1.000000,0.000000,8.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:48:35Z
195709,0,2.056513,1.778490,0.640181,1.593813,0.000000,0.000000,0.000000,0.000000,0.640181,0.890338,32.000000,8.000000,2.000000,0.962918,1.000000,1.593813,9.000000,4.000000,0.999011,1.000000,1.780250,10.000000,2.000000,1.000000,1.000000,0.640181,8.000000,0.000000,1.000000,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:12Z
196702,1,2.056513,2.375003,0.640181,1.593813,0.000000,0.000000,0.000000,0.000000,0.640181,0.866404,32.000000,8.000000,2.000000,0.962918,1.000000,1.593813,8.000000,3.000000,0.788897,1.000000,1.780250,10.000000,2.000000,1.000000,1.000000,0.640181,8.000000,0.000000,1.000000,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:13Z
197708,2,2.056513,2.375003,2.002374,1.593813,0.000000,0.000000,0.000000,0.000000,1.593813,0.981204,32.000000,8.000000,2.000000,0.962918,1.000000,1.593813,8.000000,3.000000,0.788897,1.000000,1.780250,8.000000,1.000000,0.994926,1.000000,0.640181,8.000000,0.000000,1.000000,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:14Z
198710,3,2.056513,2.375003,2.002374,1.592095,0.000000,0.000000,0.000000,0.000000,1.592095,0.981111,32.000000,8.000000,2.000000,0.962918,1.000000,1.593813,8.000000,3.000000,0.788897,1.000000,1.780250,8.000000,1.000000,0.994926,1.000000,0.640181,8.000000,0.000000,0.998922,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:50:15Z
296104,0,1.954477,2.375003,2.002374,1.592095,0.000000,0.000000,0.000000,0.000000,1.592095,0.980778,32.000000,7.000000,2.000000,0.495544,1.000000,1.825392,8.000000,3.000000,0.788897,1.000000,2.060999,8.000000,1.000000,0.994926,1.000000,0.945630,8.000000,0.000000,0.998922,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:51:53Z
298112,2,1.954477,2.375003,2.973469,1.592095,0.000000,0.000000,0.000000,0.000000,1.592095,0.949299,32.000000,7.000000,2.000000,0.495544,1.000000,1.825392,8.000000,3.000000,0.788897,1.000000,2.102444,7.000000,1.000000,0.800023,1.000000,0.971378,8.000000,0.000000,0.998922,1.000000,1.593813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T20:51:55Z
