TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE11,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
112817,0,3.035579,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.035579,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:04Z
113822,1,3.035579,1.389921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:05Z
114822,2,3.035579,1.389921,1.784021,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:06Z
115825,3,3.035579,1.389921,1.784021,1.785481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:08Z
116835,4,3.035579,1.389921,1.784021,1.785481,1.898715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.678052,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:09Z
117844,5,3.035579,1.389921,1.784021,1.785481,1.898715,2.075905,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.678052,1.000000,0.000000,8.000000,2.000000,0.999993,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:10Z
118848,6,3.035579,1.389921,1.784021,1.785481,1.898715,2.075905,2.869270,0.000000,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.678052,1.000000,0.000000,8.000000,2.000000,0.999993,1.000000,0.000000,7.000000,0.000000,0.999982,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:11Z
119847,7,3.035579,1.389921,1.784021,1.785481,1.898715,2.075905,2.869270,2.259898,0.000000,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.678052,1.000000,0.000000,8.000000,2.000000,0.999993,1.000000,0.000000,7.000000,0.000000,0.999982,1.000000,0.000000,8.000000,4.000000,0.807034,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:12Z
120861,8,3.035579,1.389921,1.784021,1.785481,1.898715,2.075905,2.869270,2.259898,1.675729,0.000000,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.678052,1.000000,0.000000,8.000000,2.000000,0.999993,1.000000,0.000000,7.000000,0.000000,0.999982,1.000000,0.000000,8.000000,4.000000,0.807034,1.000000,0.000000,9.000000,5.000000,0.999692,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:13Z
121871,9,3.035579,1.389921,1.784021,1.785481,1.898715,2.075905,2.869270,2.259898,1.675729,2.075888,0.000000,0.000000,1.389921,NaN,32.000000,7.000000,1.000000,0.971080,1.000000,0.000000,9.000000,3.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.637093,1.000000,0.000000,8.000000,1.000000,1.000000,1.000000,0.000000,8.000000,4.000000,0.678052,1.000000,0.000000,8.000000,2.000000,0.999993,1.000000,0.000000,7.000000,0.000000,0.999982,1.000000,0.000000,8.000000,4.000000,0.807034,1.000000,0.000000,9.000000,5.000000,0.999692,1.000000,0.000000,8.000000,2.000000,0.999985,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-03-25T16:07:14Z
