TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,EE9,EE10,EE1,EE12,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,SF9,TP9,PRR9,InstantPRR9,InstantEE9,SF10,TP10,PRR10,InstantPRR10,InstantEE10,SF11,TP11,PRR11,InstantPRR11,InstantEE11,SF12,TP12,PRR12,InstantPRR12,InstantEE12,time
144567,0,1.901647,0,0,0,0,0,0,0,0,0,0,0,1.901647,NaN,32,9,5,0.960603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:30:20Z
145566,1,1.901647,2.11111,0,0,0,0,0,0,0,0,0,0,1.901647,NaN,32,9,5,0.960603,1,0,8,2,0.988482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:30:21Z
146569,2,1.901647,2.11111,0.978695,0,0,0,0,0,0,0,0,0,0.978695,NaN,32,9,5,0.960603,1,0,8,2,0.988482,1,0,10,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:30:22Z
147576,3,1.901647,2.11111,0.978695,0.603275,0,0,0,0,0,0,0,0,0.603275,NaN,32,9,5,0.960603,1,0,8,2,0.988482,1,0,10,4,1,1,0,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:30:23Z
299968,0,1.790619,2.11111,0.978695,0.603275,0,0,0,0,0,0,0,0,0.603275,0.836709,32,9,5,0.904518,1,1.979638,8,2,0.988482,1,2.135709,10,4,1,1,0.978695,10,1,1,1,0.603275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:32:55Z
301082,1,1.790619,2.044657,0.978695,0.603275,0,0,0,0,0,0,0,0,0.603275,0.842447,32,9,5,0.904518,1,1.979638,8,2,0.957367,1,2.135709,10,4,1,1,0.978695,10,1,1,1,0.603275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:32:57Z
304384,2,1.790619,2.044657,2.184942,0.603275,0,0,0,0,0,0,0,0,0.603275,0.875672,32,9,5,0.904518,1,1.979638,8,2,0.957367,1,2.135709,8,3,0.725765,1,0.978695,10,1,1,1,0.603275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:33:00Z
304688,3,1.790619,2.044657,2.184942,2.006277,0,0,0,0,0,0,0,0,1.790619,0.995064,32,9,5,0.904518,1,1.979638,8,2,0.957367,1,2.135709,8,3,0.725765,1,0.978695,8,1,0.996865,1,0.603275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:33:00Z
446847,1,1.790619,2.908538,2.184942,2.006277,0,0,0,0,0,0,0,0,1.790619,0.965535,32,9,5,0.904518,1,1.979638,7,0,0.988168,1,2.135709,8,3,0.725765,1,1.246339,8,1,0.996865,1,0.911362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:35:22Z
448864,3,1.790619,2.908538,2.184942,3.206636,0,0,0,0,0,0,0,0,1.790619,0.952599,32,9,5,0.904518,1,1.979638,7,0,0.988168,1,2.135709,8,3,0.725765,1,1.278924,7,1,0.862757,1,0.928293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:35:24Z
455890,0,1.795315,2.908538,2.184942,3.206636,0,0,0,0,0,0,0,0,1.795315,0.952886,32,9,5,0.906891,0.978261,1.979638,7,0,0.988168,1,2.135709,8,3,0.725765,1,1.278924,7,1,0.862757,1,0.928293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-18T12:35:31Z
