TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,ExisTP1,IncreGain1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,ExisTP2,IncreGain2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,ExisTP3,IncreGain3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,ExisTP4,IncreGain4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,ExisTP5,IncreGain5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,ExisTP6,IncreGain6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,ExisTP7,IncreGain7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,ExisTP8,IncreGain8,time
194987,0,1.137871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.137871,NaN,32.000000,8.000000,4.000000,0.348503,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:15:40Z
195996,1,1.137871,2.122175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.137871,NaN,32.000000,8.000000,4.000000,0.348503,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.993663,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:15:41Z
197000,2,1.137871,2.122175,2.654121,0.000000,0.000000,0.000000,0.000000,0.000000,1.137871,NaN,32.000000,8.000000,4.000000,0.348503,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.993663,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,0.881611,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:15:42Z
198007,3,1.137871,2.122175,2.654121,0.477747,0.000000,0.000000,0.000000,0.000000,0.477747,NaN,32.000000,8.000000,4.000000,0.348503,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.993663,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,0.881611,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.000000,0.000000,1.000000,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:15:43Z
396866,1,1.137871,1.995054,2.654121,0.477747,0.000000,0.000000,0.000000,0.000000,0.477747,0.781976,32.000000,8.000000,4.000000,0.348503,1.000000,6496.000000,1.110528,617.453568,3.265023,0.000000,-4.900000,8.000000,2.000000,0.934141,1.000000,8960.000000,2.467840,2097.664000,2.135709,2.000000,-2.500000,8.000000,3.000000,0.881611,1.000000,7392.000000,1.604096,967.269888,3.010535,0.000000,-3.700000,10.000000,0.000000,1.000000,1.000000,8736.000000,7.821312,8908.474368,0.477747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:19:02Z
398884,3,1.137871,1.995054,2.654121,1.993842,0.000000,0.000000,0.000000,0.000000,1.137871,0.928861,32.000000,8.000000,4.000000,0.348503,1.000000,6496.000000,1.110528,617.453568,3.265023,0.000000,-4.900000,8.000000,2.000000,0.934141,1.000000,8960.000000,2.467840,2097.664000,2.135709,2.000000,-2.500000,8.000000,3.000000,0.881611,1.000000,7616.000000,1.727488,1041.675264,3.010535,0.000000,-3.700000,8.000000,1.000000,0.990686,1.000000,8960.000000,8.232960,9377.341440,0.477747,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:19:04Z
468169,2,1.137871,1.995054,2.089912,1.993842,0.000000,0.000000,0.000000,0.000000,1.137871,0.956087,32.000000,8.000000,4.000000,0.348503,1.000000,6496.000000,1.110528,617.453568,3.265023,0.000000,-4.900000,8.000000,2.000000,0.934141,1.000000,10528.000000,3.331584,2831.846400,2.135709,2.000000,-2.500000,8.000000,3.000000,0.694199,0.851064,8960.000000,2.467840,1488.107520,3.010535,3.000000,-3.700000,8.000000,1.000000,0.990686,1.000000,10304.000000,8.973312,10045.138944,0.579783,0.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:20:13Z
599792,3,1.137871,1.995054,2.089912,3.138787,0.000000,0.000000,0.000000,0.000000,1.137871,0.896612,32.000000,8.000000,4.000000,0.348503,1.000000,7616.000000,1.727488,960.483328,3.265023,0.000000,-4.900000,8.000000,2.000000,0.934141,1.000000,13216.000000,4.812288,4090.444800,2.135709,2.000000,-2.500000,8.000000,3.000000,0.694199,0.851064,11648.000000,3.948544,2380.972032,3.010535,3.000000,-3.700000,7.000000,1.000000,0.844502,1.000000,13440.000000,10.700800,11603.333120,0.772192,1.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:22:25Z
607813,1,1.137871,1.962658,2.089912,3.138787,0.000000,0.000000,0.000000,0.000000,1.137871,0.895568,32.000000,8.000000,4.000000,0.348503,1.000000,7616.000000,1.727488,960.483328,3.265023,0.000000,-4.900000,8.000000,2.000000,0.918973,0.983607,13440.000000,4.935680,4195.328000,2.135709,2.000000,-2.500000,8.000000,3.000000,0.694199,0.851064,11648.000000,3.948544,2380.972032,3.010535,3.000000,-3.700000,7.000000,1.000000,0.844502,1.000000,13440.000000,10.700800,11603.333120,0.772192,1.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:22:33Z
699185,2,1.137871,1.962658,2.415178,3.138787,0.000000,0.000000,0.000000,0.000000,1.137871,0.898867,32.000000,8.000000,4.000000,0.348503,1.000000,8512.000000,2.221056,1234.907136,3.265023,0.000000,-4.900000,8.000000,2.000000,0.918973,0.983607,15232.000000,5.922816,5034.393600,2.135709,2.000000,-2.500000,8.000000,3.000000,0.802242,0.857143,13440.000000,4.935680,2976.215040,3.010535,3.000000,-3.700000,7.000000,1.000000,0.844502,1.000000,15456.000000,11.302144,12145.745408,0.903691,1.000000,-1.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T19:24:04Z
