TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,time
195028,0,1.154390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.154390,NaN,32.000000,10.000000,6.000000,0.997077,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:53:55Z
196035,1,1.154390,2.118190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.154390,NaN,32.000000,10.000000,6.000000,0.997077,1.000000,4480.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.991797,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:53:56Z
197050,2,1.154390,2.118190,0.301638,0.000000,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,10.000000,6.000000,0.997077,1.000000,4480.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.991797,1.000000,4480.000000,0.000000,0.000000,0.000000,11.000000,1.000000,1.000000,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4256.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:53:57Z
198052,3,1.154390,2.118190,0.301638,2.374738,0.000000,0.000000,0.000000,0.000000,0.301638,NaN,32.000000,10.000000,6.000000,0.997077,1.000000,4480.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.991797,1.000000,4480.000000,0.000000,0.000000,0.000000,11.000000,1.000000,1.000000,1.000000,4480.000000,0.000000,0.000000,0.000000,8.000000,3.000000,0.788809,1.000000,4480.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:53:58Z
395881,0,1.065453,2.118190,0.301638,2.374738,0.000000,0.000000,0.000000,0.000000,0.301638,0.756231,32.000000,10.000000,6.000000,0.920259,1.000000,8960.000000,8.232960,3869.491200,1.157775,8.000000,2.000000,0.991797,1.000000,8736.000000,2.344448,1992.780800,2.135709,11.000000,1.000000,1.000000,1.000000,8736.000000,15.642624,14109.646848,0.301638,8.000000,3.000000,0.788809,1.000000,8064.000000,1.974272,1190.486016,3.010535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:57:15Z
396886,1,1.065453,2.916570,0.301638,2.374738,0.000000,0.000000,0.000000,0.000000,0.301638,0.721026,32.000000,10.000000,6.000000,0.920259,1.000000,8960.000000,8.232960,3869.491200,1.157775,7.000000,0.000000,0.990897,1.000000,8960.000000,2.467840,2097.664000,2.135709,11.000000,1.000000,1.000000,1.000000,8736.000000,15.642624,14109.646848,0.301638,8.000000,3.000000,0.788809,1.000000,8064.000000,1.974272,1190.486016,3.010535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:57:16Z
397895,2,1.065453,2.916570,0.299673,2.374738,0.000000,0.000000,0.000000,0.000000,0.299673,0.720656,32.000000,10.000000,6.000000,0.920259,1.000000,8960.000000,8.232960,3869.491200,1.157775,7.000000,0.000000,0.990897,1.000000,8960.000000,2.467840,2097.664000,2.135709,11.000000,1.000000,0.993487,1.000000,8960.000000,16.465920,14852.259840,0.301638,8.000000,3.000000,0.788809,1.000000,8064.000000,1.974272,1190.486016,3.010535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:57:17Z
429050,3,1.065453,2.916570,0.299673,2.241768,0.000000,0.000000,0.000000,0.000000,0.299673,0.720944,32.000000,10.000000,6.000000,0.920259,1.000000,9632.000000,9.467904,4449.914880,1.157775,7.000000,0.000000,0.990897,1.000000,9632.000000,2.668288,2325.974272,2.214986,11.000000,1.000000,0.993487,1.000000,9408.000000,18.112512,16337.485824,0.301638,8.000000,3.000000,0.744641,0.930233,8960.000000,2.467840,1488.107520,3.010535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T14:57:49Z
597787,1,1.065453,2.875240,0.299673,2.241768,0.000000,0.000000,0.000000,0.000000,0.299673,0.723575,32.000000,10.000000,6.000000,0.920259,1.000000,12992.000000,15.642624,7352.033280,1.157775,7.000000,0.000000,0.976856,1.000000,13440.000000,3.804160,3619.732480,2.475321,11.000000,1.000000,0.993487,1.000000,12992.000000,31.285248,28219.293696,0.301638,8.000000,3.000000,0.744641,0.930233,12096.000000,4.195328,2529.782784,3.010535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T15:00:37Z
608843,2,1.065453,2.875240,1.908763,2.241768,0.000000,0.000000,0.000000,0.000000,1.065453,0.905699,32.000000,10.000000,6.000000,0.920259,1.000000,13216.000000,16.054272,7545.507840,1.157775,7.000000,0.000000,0.976856,1.000000,13664.000000,3.870976,3695.835904,2.484959,9.000000,5.000000,0.964198,0.983607,13440.000000,32.931840,29704.519680,0.301638,8.000000,3.000000,0.744641,0.930233,12320.000000,4.318720,2604.188160,3.010535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-18T15:00:48Z
