TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,Received1,TotalTime1,TotalPower1,InstantEE1,ExisTP1,IncreGain1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,ExisTP2,IncreGain2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,ExisTP3,IncreGain3,SF4,TP4,PRR4,InstantPRR4,Received4,TotalTime4,TotalPower4,InstantEE4,ExisTP4,IncreGain4,SF5,TP5,PRR5,InstantPRR5,Received5,TotalTime5,TotalPower5,InstantEE5,ExisTP5,IncreGain5,SF6,TP6,PRR6,InstantPRR6,Received6,TotalTime6,TotalPower6,InstantEE6,ExisTP6,IncreGain6,SF7,TP7,PRR7,InstantPRR7,Received7,TotalTime7,TotalPower7,InstantEE7,ExisTP7,IncreGain7,SF8,TP8,PRR8,InstantPRR8,Received8,TotalTime8,TotalPower8,InstantEE8,ExisTP8,IncreGain8,time
55301,0,1.779752,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.779752,NaN,32.000000,9.000000,4.000000,0.999720,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:33:25Z
56310,1,1.779752,2.124534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.779752,NaN,32.000000,9.000000,4.000000,0.999720,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.994767,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:33:26Z
57314,2,1.779752,2.124534,1.663965,0.000000,0.000000,0.000000,0.000000,0.000000,1.663965,NaN,32.000000,9.000000,4.000000,0.999720,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.994767,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,6.000000,0.790108,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1120.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:33:27Z
58322,3,1.779752,2.124534,1.663965,2.781799,0.000000,0.000000,0.000000,0.000000,1.663965,NaN,32.000000,9.000000,4.000000,0.999720,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,2.000000,0.994767,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.000000,6.000000,0.790108,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.000000,3.000000,0.924021,1.000000,1344.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:33:28Z
115476,0,2.523665,2.124534,1.663965,2.781799,0.000000,0.000000,0.000000,0.000000,1.663965,0.966588,32.000000,8.000000,3.000000,0.838278,1.000000,2688.000000,1.357824,754.950144,1.780250,4.000000,-4.900000,8.000000,2.000000,0.994767,1.000000,2464.000000,0.616960,524.416000,2.135709,0.000000,-2.500000,9.000000,6.000000,0.790108,1.000000,2464.000000,1.131520,531.814400,2.105998,0.000000,-7.300000,8.000000,3.000000,0.924021,1.000000,2464.000000,0.616960,372.026880,3.010535,0.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:34:25Z
116493,1,2.523665,2.359790,1.663965,2.781799,0.000000,0.000000,0.000000,0.000000,1.663965,0.969432,32.000000,8.000000,3.000000,0.838278,1.000000,2688.000000,1.357824,754.950144,1.780250,4.000000,-4.900000,8.000000,3.000000,0.783844,1.000000,2688.000000,0.740352,629.299200,2.135709,2.000000,-2.500000,9.000000,6.000000,0.790108,1.000000,2464.000000,1.131520,531.814400,2.105998,0.000000,-7.300000,8.000000,3.000000,0.924021,1.000000,2464.000000,0.616960,372.026880,3.010535,0.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:34:26Z
117487,2,2.523665,2.359790,1.503863,2.781799,0.000000,0.000000,0.000000,0.000000,1.503863,0.958093,32.000000,8.000000,3.000000,0.838278,1.000000,2688.000000,1.357824,754.950144,1.780250,4.000000,-4.900000,8.000000,3.000000,0.783844,1.000000,2688.000000,0.740352,629.299200,2.135709,2.000000,-2.500000,9.000000,6.000000,0.714086,1.000000,2688.000000,1.357824,638.177280,2.105998,6.000000,-7.300000,8.000000,3.000000,0.924021,1.000000,2464.000000,0.616960,372.026880,3.010535,0.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:34:27Z
118504,3,2.523665,2.359790,1.503863,2.367890,0.000000,0.000000,0.000000,0.000000,1.503863,0.967556,32.000000,8.000000,3.000000,0.838278,1.000000,2688.000000,1.357824,754.950144,1.780250,4.000000,-4.900000,8.000000,3.000000,0.783844,1.000000,2688.000000,0.740352,629.299200,2.135709,2.000000,-2.500000,9.000000,6.000000,0.714086,1.000000,2688.000000,1.357824,638.177280,2.105998,6.000000,-7.300000,8.000000,3.000000,0.786535,1.000000,2688.000000,0.740352,446.432256,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:34:28Z
175762,0,2.380632,2.359790,1.503863,2.367890,0.000000,0.000000,0.000000,0.000000,1.503863,0.970576,32.000000,8.000000,3.000000,0.790767,1.000000,4032.000000,2.098176,1201.382400,2.237422,3.000000,-3.700000,8.000000,3.000000,0.783844,1.000000,3808.000000,1.357312,1001.326080,2.460737,2.000000,-3.700000,9.000000,6.000000,0.714086,1.000000,3808.000000,2.489344,1169.991680,2.105998,6.000000,-7.300000,8.000000,3.000000,0.786535,1.000000,3808.000000,1.357312,818.459136,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:35:25Z
176770,1,2.380632,2.440900,1.503863,2.367890,0.000000,0.000000,0.000000,0.000000,1.503863,0.969190,32.000000,8.000000,3.000000,0.790767,1.000000,4032.000000,2.098176,1201.382400,2.237422,3.000000,-3.700000,8.000000,3.000000,0.810786,1.000000,4032.000000,1.480704,1075.731456,2.498765,3.000000,-3.700000,9.000000,6.000000,0.714086,1.000000,3808.000000,2.489344,1169.991680,2.105998,6.000000,-7.300000,8.000000,3.000000,0.786535,1.000000,3808.000000,1.357312,818.459136,3.010535,3.000000,-3.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-10T14:35:26Z
